la_code,la_name,cluster_id,year,centroid_lon,centroid_lat,n_collisions,n_casualties,n_fatal,n_serious,n_slight,speed_limit,urban_or_rural,first_road_class,road_type,junction_detail
S12000048,Perth and Kinross,1,2019,-4.021883,56.380541,1,2,0,0,1,60,2,3,6,0
S12000048,Perth and Kinross,1,2020,-4.021883,56.380541,0,0,0,0,0,60,2,3,6,0
S12000048,Perth and Kinross,1,2021,-4.021883,56.380541,0,0,0,0,0,60,2,3,6,0
S12000048,Perth and Kinross,1,2022,-4.021883,56.380541,0,0,0,0,0,60,2,3,6,0
S12000048,Perth and Kinross,1,2023,-4.021883,56.380541,0,0,0,0,0,60,2,3,6,0
S12000048,Perth and Kinross,1,2024,-4.021883,56.380541,0,0,0,0,0,60,2,3,6,0
S12000048,Perth and Kinross,2,2019,-3.473389666666667,56.458383,1,1,0,0,1,60,2,4,6,0
S12000048,Perth and Kinross,2,2020,-3.473389666666667,56.458383,0,0,0,0,0,60,2,4,6,0
S12000048,Perth and Kinross,2,2021,-3.473389666666667,56.458383,0,0,0,0,0,60,2,4,6,0
S12000048,Perth and Kinross,2,2022,-3.473389666666667,56.458383,1,2,0,1,0,60,2,4,6,0
S12000048,Perth and Kinross,2,2023,-3.473389666666667,56.458383,1,1,0,0,1,60,2,4,6,0
S12000048,Perth and Kinross,2,2024,-3.473389666666667,56.458383,0,0,0,0,0,60,2,4,6,0
S12000048,Perth and Kinross,3,2019,-4.132088,56.816473,1,3,0,1,0,70,2,3,3,0
S12000048,Perth and Kinross,3,2020,-4.132088,56.816473,0,0,0,0,0,70,2,3,3,0
S12000048,Perth and Kinross,3,2021,-4.132088,56.816473,0,0,0,0,0,70,2,3,3,0
S12000048,Perth and Kinross,3,2022,-4.132088,56.816473,0,0,0,0,0,70,2,3,3,0
S12000048,Perth and Kinross,3,2023,-4.132088,56.816473,0,0,0,0,0,70,2,3,3,0
S12000048,Perth and Kinross,3,2024,-4.132088,56.816473,0,0,0,0,0,70,2,3,3,0
S12000048,Perth and Kinross,4,2019,-3.2947534999999997,56.338915,1,2,0,1,0,60,2,3,6,0
S12000048,Perth and Kinross,4,2020,-3.2947534999999997,56.338915,0,0,0,0,0,60,2,3,6,0
S12000048,Perth and Kinross,4,2021,-3.2947534999999997,56.338915,0,0,0,0,0,60,2,3,6,0
S12000048,Perth and Kinross,4,2022,-3.2947534999999997,56.338915,0,0,0,0,0,60,2,3,6,0
S12000048,Perth and Kinross,4,2023,-3.2947534999999997,56.338915,1,1,0,1,0,60,2,3,6,0
S12000048,Perth and Kinross,4,2024,-3.2947534999999997,56.338915,0,0,0,0,0,60,2,3,6,0
S12000048,Perth and Kinross,5,2019,-3.317317,56.374266000000006,1,4,1,0,0,70,2,3,3,0
