la_code,la_name,cluster_id,year,centroid_lon,centroid_lat,n_collisions,n_casualties,n_fatal,n_serious,n_slight,speed_limit,urban_or_rural,first_road_class,road_type,junction_detail
E06000031,Peterborough,1,2019,-0.18601533333333337,52.65549933333333,1,5,1,0,0,60,2,3,6,0
E06000031,Peterborough,1,2020,-0.18601533333333337,52.65549933333333,2,2,2,0,0,60,2,3,6,0
E06000031,Peterborough,1,2021,-0.18601533333333337,52.65549933333333,0,0,0,0,0,60,2,3,6,0
E06000031,Peterborough,1,2022,-0.18601533333333337,52.65549933333333,0,0,0,0,0,60,2,3,6,0
E06000031,Peterborough,1,2023,-0.18601533333333337,52.65549933333333,0,0,0,0,0,60,2,3,6,0
E06000031,Peterborough,1,2024,-0.18601533333333337,52.65549933333333,0,0,0,0,0,60,2,3,6,0
E06000031,Peterborough,2,2019,-0.22800185714285712,52.55411035714286,3,6,1,1,1,30,1,3,1,0
E06000031,Peterborough,2,2020,-0.22800185714285712,52.55411035714286,0,0,0,0,0,30,1,3,1,0
E06000031,Peterborough,2,2021,-0.22800185714285712,52.55411035714286,4,5,0,0,4,30,1,3,1,0
E06000031,Peterborough,2,2022,-0.22800185714285712,52.55411035714286,4,4,0,0,4,30,1,3,1,0
E06000031,Peterborough,2,2023,-0.22800185714285712,52.55411035714286,3,3,0,0,3,30,1,3,1,0
E06000031,Peterborough,2,2024,-0.22800185714285712,52.55411035714286,0,0,0,0,0,30,1,3,1,0
E06000031,Peterborough,3,2019,-0.25825117647058826,52.59465911764706,7,7,0,1,6,30,1,6,6,0
E06000031,Peterborough,3,2020,-0.25825117647058826,52.59465911764706,2,3,0,0,2,30,1,6,6,0
E06000031,Peterborough,3,2021,-0.25825117647058826,52.59465911764706,0,0,0,0,0,30,1,6,6,0
E06000031,Peterborough,3,2022,-0.25825117647058826,52.59465911764706,4,4,0,1,3,30,1,6,6,0
E06000031,Peterborough,3,2023,-0.25825117647058826,52.59465911764706,4,4,0,1,3,30,1,6,6,0
E06000031,Peterborough,3,2024,-0.25825117647058826,52.59465911764706,0,0,0,0,0,30,1,6,6,0
E06000031,Peterborough,4,2019,-0.3099,52.549528,1,1,1,0,0,70,2,3,3,0
E06000031,Peterborough,4,2020,-0.3099,52.549528,0,0,0,0,0,70,2,3,3,0
E06000031,Peterborough,4,2021,-0.3099,52.549528,0,0,0,0,0,70,2,3,3,0
E06000031,Peterborough,4,2022,-0.3099,52.549528,1,1,0,1,0,70,2,3,3,0
E06000031,Peterborough,4,2023,-0.3099,52.549528,1,1,0,0,1,70,2,3,3,0
E06000031,Peterborough,4,2024,-0.3099,52.549528,0,0,0,0,0,70,2,3,3,0
E06000031,Peterborough,5,2019,-0.20983525,52.59871846875,12,20,1,1,10,40,2,3,1,1
E06000031,Peterborough,5,2020,-0.20983525,52.59871846875,3,4,0,0,3,40,2,3,1,1
E06000031,Peterborough,5,2021,-0.20983525,52.59871846875,6,12,0,1,5,40,2,3,1,1
E06000031,Peterborough,5,2022,-0.20983525,52.59871846875,3,5,0,0,3,40,2,3,1,1
E06000031,Peterborough,5,2023,-0.20983525,52.59871846875,8,8,0,0,8,40,2,3,1,1
E06000031,Peterborough,5,2024,-0.20983525,52.59871846875,0,0,0,0,0,40,2,3,1,1
E06000031,Peterborough,6,2019,-0.2581603684210526,52.57816510526316,2,2,0,1,1,30,1,6,6,0
E06000031,Peterborough,6,2020,-0.2581603684210526,52.57816510526316,4,5,0,0,4,30,1,6,6,0
E06000031,Peterborough,6,2021,-0.2581603684210526,52.57816510526316,5,5,1,1,3,30,1,6,6,0
E06000031,Peterborough,6,2022,-0.2581603684210526,52.57816510526316,4,5,0,2,2,30,1,6,6,0
E06000031,Peterborough,6,2023,-0.2581603684210526,52.57816510526316,4,4,0,1,3,30,1,6,6,0
E06000031,Peterborough,6,2024,-0.2581603684210526,52.57816510526316,0,0,0,0,0,30,1,6,6,0
E06000031,Peterborough,7,2019,-0.2625642857142857,52.59917085714286,5,10,0,0,5,30,1,3,3,0
E06000031,Peterborough,7,2020,-0.2625642857142857,52.59917085714286,4,9,1,0,3,30,1,3,3,0
E06000031,Peterborough,7,2021,-0.2625642857142857,52.59917085714286,4,5,0,1,3,30,1,3,3,0
E06000031,Peterborough,7,2022,-0.2625642857142857,52.59917085714286,14,17,0,2,12,30,1,3,3,0
E06000031,Peterborough,7,2023,-0.2625642857142857,52.59917085714286,1,1,0,0,1,30,1,3,3,0
E06000031,Peterborough,7,2024,-0.2625642857142857,52.59917085714286,0,0,0,0,0,30,1,3,3,0
E06000031,Peterborough,8,2019,-0.15273,52.61571266666667,1,1,0,0,1,60,2,3,6,0
E06000031,Peterborough,8,2020,-0.15273,52.61571266666667,1,2,0,1,0,60,2,3,6,0
E06000031,Peterborough,8,2021,-0.15273,52.61571266666667,0,0,0,0,0,60,2,3,6,0
E06000031,Peterborough,8,2022,-0.15273,52.61571266666667,1,2,0,0,1,60,2,3,6,0
E06000031,Peterborough,8,2023,-0.15273,52.61571266666667,0,0,0,0,0,60,2,3,6,0
E06000031,Peterborough,8,2024,-0.15273,52.61571266666667,0,0,0,0,0,60,2,3,6,0
E06000031,Peterborough,9,2019,-0.2754185333333333,52.557617533333335,5,9,0,0,5,30,1,3,6,0
E06000031,Peterborough,9,2020,-0.2754185333333333,52.557617533333335,3,4,0,0,3,30,1,3,6,0
E06000031,Peterborough,9,2021,-0.2754185333333333,52.557617533333335,2,2,0,0,2,30,1,3,6,0
E06000031,Peterborough,9,2022,-0.2754185333333333,52.557617533333335,2,2,0,1,1,30,1,3,6,0
E06000031,Peterborough,9,2023,-0.2754185333333333,52.557617533333335,3,5,0,1,2,30,1,3,6,0
E06000031,Peterborough,9,2024,-0.2754185333333333,52.557617533333335,0,0,0,0,0,30,1,3,6,0
E06000031,Peterborough,10,2019,-0.24680045,52.57362435,4,5,0,0,4,30,1,3,1,1
E06000031,Peterborough,10,2020,-0.24680045,52.57362435,4,5,0,0,4,30,1,3,1,1
E06000031,Peterborough,10,2021,-0.24680045,52.57362435,5,6,0,1,4,30,1,3,1,1
E06000031,Peterborough,10,2022,-0.24680045,52.57362435,2,3,0,0,2,30,1,3,1,1
E06000031,Peterborough,10,2023,-0.24680045,52.57362435,5,6,0,0,5,30,1,3,1,1
E06000031,Peterborough,10,2024,-0.24680045,52.57362435,0,0,0,0,0,30,1,3,1,1
E06000031,Peterborough,11,2019,-0.24671844444444443,52.58682944444445,4,4,0,2,2,30,1,6,6,3
E06000031,Peterborough,11,2020,-0.24671844444444443,52.58682944444445,1,1,0,0,1,30,1,6,6,3
E06000031,Peterborough,11,2021,-0.24671844444444443,52.58682944444445,1,1,0,0,1,30,1,6,6,3
E06000031,Peterborough,11,2022,-0.24671844444444443,52.58682944444445,8,10,0,2,6,30,1,6,6,3
E06000031,Peterborough,11,2023,-0.24671844444444443,52.58682944444445,4,6,0,1,3,30,1,6,6,3
E06000031,Peterborough,11,2024,-0.24671844444444443,52.58682944444445,0,0,0,0,0,30,1,6,6,3
E06000031,Peterborough,12,2019,-0.31884049999999997,52.6678065,1,1,0,0,1,60,2,3,6,0
E06000031,Peterborough,12,2020,-0.31884049999999997,52.6678065,0,0,0,0,0,60,2,3,6,0
E06000031,Peterborough,12,2021,-0.31884049999999997,52.6678065,0,0,0,0,0,60,2,3,6,0
E06000031,Peterborough,12,2022,-0.31884049999999997,52.6678065,0,0,0,0,0,60,2,3,6,0
E06000031,Peterborough,12,2023,-0.31884049999999997,52.6678065,1,1,0,1,0,60,2,3,6,0
E06000031,Peterborough,12,2024,-0.31884049999999997,52.6678065,0,0,0,0,0,60,2,3,6,0
E06000031,Peterborough,13,2019,-0.24087305,52.5877645,7,9,0,2,5,30,1,6,6,0
