la_code,la_name,cluster_id,year,centroid_lon,centroid_lat,n_collisions,n_casualties,n_fatal,n_serious,n_slight,speed_limit,urban_or_rural,first_road_class,road_type,junction_detail
E06000026,Plymouth,1,2019,-4.162298222222222,50.36904633333333,6,7,0,2,4,30,1,3,1,1
E06000026,Plymouth,1,2020,-4.162298222222222,50.36904633333333,7,8,0,0,7,30,1,3,1,1
E06000026,Plymouth,1,2021,-4.162298222222222,50.36904633333333,2,2,0,1,1,30,1,3,1,1
E06000026,Plymouth,1,2022,-4.162298222222222,50.36904633333333,3,4,0,1,2,30,1,3,1,1
E06000026,Plymouth,1,2023,-4.162298222222222,50.36904633333333,7,7,0,2,5,30,1,3,1,1
E06000026,Plymouth,1,2024,-4.162298222222222,50.36904633333333,1,1,0,0,0,30,1,3,1,1
E06000026,Plymouth,1,2025,-4.162298222222222,50.36904633333333,1,1,0,0,0,30,1,3,1,1
E06000026,Plymouth,2,2019,-4.142662033333333,50.3749342,5,5,0,0,5,30,1,6,6,0
E06000026,Plymouth,2,2020,-4.142662033333333,50.3749342,2,2,0,1,1,30,1,6,6,0
E06000026,Plymouth,2,2021,-4.142662033333333,50.3749342,4,4,1,0,3,30,1,6,6,0
E06000026,Plymouth,2,2022,-4.142662033333333,50.3749342,6,6,0,1,5,30,1,6,6,0
E06000026,Plymouth,2,2023,-4.142662033333333,50.3749342,3,3,0,0,3,30,1,6,6,0
E06000026,Plymouth,2,2024,-4.142662033333333,50.3749342,7,9,0,0,0,30,1,6,6,0
E06000026,Plymouth,2,2025,-4.142662033333333,50.3749342,3,3,0,0,0,30,1,6,6,0
E06000026,Plymouth,3,2019,-4.172964851851852,50.3703327037037,5,5,0,0,5,30,1,3,6,0
E06000026,Plymouth,3,2020,-4.172964851851852,50.3703327037037,7,9,0,0,7,30,1,3,6,0
E06000026,Plymouth,3,2021,-4.172964851851852,50.3703327037037,2,2,0,0,2,30,1,3,6,0
E06000026,Plymouth,3,2022,-4.172964851851852,50.3703327037037,6,7,0,1,5,30,1,3,6,0
