la_code,la_name,cluster_id,year,centroid_lon,centroid_lat,n_collisions,n_casualties,n_fatal,n_serious,n_slight,speed_limit,urban_or_rural,first_road_class,road_type,junction_detail
E06000044,Portsmouth,1,2019,-1.0794226734693877,50.79479769387755,7,10,0,0,7,30,1,3,6,1
E06000044,Portsmouth,1,2020,-1.0794226734693877,50.79479769387755,8,9,0,1,7,30,1,3,6,1
E06000044,Portsmouth,1,2021,-1.0794226734693877,50.79479769387755,7,8,0,3,4,30,1,3,6,1
E06000044,Portsmouth,1,2022,-1.0794226734693877,50.79479769387755,8,10,0,1,7,30,1,3,6,1
E06000044,Portsmouth,1,2023,-1.0794226734693877,50.79479769387755,7,9,0,0,7,30,1,3,6,1
E06000044,Portsmouth,1,2024,-1.0794226734693877,50.79479769387755,8,8,0,0,0,30,1,3,6,1
E06000044,Portsmouth,1,2025,-1.0794226734693877,50.79479769387755,4,4,0,0,0,30,1,3,6,1
E06000044,Portsmouth,2,2019,-1.0807700384615384,50.818786153846155,4,4,0,2,2,30,1,3,6,3
E06000044,Portsmouth,2,2020,-1.0807700384615384,50.818786153846155,3,4,0,1,2,30,1,3,6,3
E06000044,Portsmouth,2,2021,-1.0807700384615384,50.818786153846155,4,4,0,3,1,30,1,3,6,3
E06000044,Portsmouth,2,2022,-1.0807700384615384,50.818786153846155,4,4,0,0,4,30,1,3,6,3
E06000044,Portsmouth,2,2023,-1.0807700384615384,50.818786153846155,3,3,0,1,2,30,1,3,6,3
E06000044,Portsmouth,2,2024,-1.0807700384615384,50.818786153846155,7,8,0,0,0,30,1,3,6,3
E06000044,Portsmouth,2,2025,-1.0807700384615384,50.818786153846155,1,1,0,0,0,30,1,3,6,3
E06000044,Portsmouth,3,2019,-1.08571825,50.812603,8,10,1,1,6,30,1,3,6,0
E06000044,Portsmouth,3,2020,-1.08571825,50.812603,6,9,0,2,4,30,1,3,6,0
E06000044,Portsmouth,3,2021,-1.08571825,50.812603,3,3,0,0,3,30,1,3,6,0
E06000044,Portsmouth,3,2022,-1.08571825,50.812603,4,5,0,1,3,30,1,3,6,0
E06000044,Portsmouth,3,2023,-1.08571825,50.812603,5,9,0,1,4,30,1,3,6,0
E06000044,Portsmouth,3,2024,-1.08571825,50.812603,2,2,0,0,0,30,1,3,6,0
E06000044,Portsmouth,4,2019,-1.0603345,50.782570875,1,1,0,0,1,30,2,6,6,0
E06000044,Portsmouth,4,2020,-1.0603345,50.782570875,1,1,0,1,0,30,2,6,6,0
E06000044,Portsmouth,4,2021,-1.0603345,50.782570875,0,0,0,0,0,30,2,6,6,0
E06000044,Portsmouth,4,2022,-1.0603345,50.782570875,3,4,0,2,1,30,2,6,6,0
