la_code,la_name,cluster_id,year,centroid_lon,centroid_lat,n_collisions,n_casualties,n_fatal,n_serious,n_slight,speed_limit,urban_or_rural,first_road_class,road_type,junction_detail
W06000023,Powys,1,2019,-3.272028,52.02440566666667,2,2,0,0,2,60,2,3,6,0
W06000023,Powys,1,2020,-3.272028,52.02440566666667,0,0,0,0,0,60,2,3,6,0
W06000023,Powys,1,2021,-3.272028,52.02440566666667,1,1,0,0,1,60,2,3,6,0
W06000023,Powys,1,2022,-3.272028,52.02440566666667,0,0,0,0,0,60,2,3,6,0
W06000023,Powys,1,2023,-3.272028,52.02440566666667,0,0,0,0,0,60,2,3,6,0
W06000023,Powys,1,2024,-3.272028,52.02440566666667,0,0,0,0,0,60,2,3,6,0
W06000023,Powys,2,2019,-3.37278625,52.51294225,3,4,0,2,1,60,2,3,6,0
W06000023,Powys,2,2020,-3.37278625,52.51294225,0,0,0,0,0,60,2,3,6,0
W06000023,Powys,2,2021,-3.37278625,52.51294225,0,0,0,0,0,60,2,3,6,0
W06000023,Powys,2,2022,-3.37278625,52.51294225,0,0,0,0,0,60,2,3,6,0
W06000023,Powys,2,2023,-3.37278625,52.51294225,0,0,0,0,0,60,2,3,6,0
W06000023,Powys,2,2024,-3.37278625,52.51294225,1,1,0,0,0,60,2,3,6,0
W06000023,Powys,3,2019,-3.3155655416666665,52.51325454166667,6,9,0,2,4,30,1,3,6,3
W06000023,Powys,3,2020,-3.3155655416666665,52.51325454166667,0,0,0,0,0,30,1,3,6,3
W06000023,Powys,3,2021,-3.3155655416666665,52.51325454166667,6,8,0,1,5,30,1,3,6,3
W06000023,Powys,3,2022,-3.3155655416666665,52.51325454166667,4,4,0,1,3,30,1,3,6,3
W06000023,Powys,3,2023,-3.3155655416666665,52.51325454166667,4,5,0,1,3,30,1,3,6,3
W06000023,Powys,3,2024,-3.3155655416666665,52.51325454166667,3,3,0,0,0,30,1,3,6,3
W06000023,Powys,3,2025,-3.3155655416666665,52.51325454166667,1,1,0,0,0,30,1,3,6,3
W06000023,Powys,4,2019,-3.284898111111111,51.998322333333334,2,3,0,0,2,60,2,3,6,6
W06000023,Powys,4,2020,-3.284898111111111,51.998322333333334,1,1,0,0,1,60,2,3,6,6
W06000023,Powys,4,2021,-3.284898111111111,51.998322333333334,1,1,0,0,1,60,2,3,6,6
W06000023,Powys,4,2022,-3.284898111111111,51.998322333333334,1,1,0,0,1,60,2,3,6,6
W06000023,Powys,4,2023,-3.284898111111111,51.998322333333334,1,2,0,0,1,60,2,3,6,6
W06000023,Powys,4,2024,-3.284898111111111,51.998322333333334,3,4,0,0,0,60,2,3,6,6
W06000023,Powys,5,2019,-3.41806,52.15088566666667,1,1,0,0,1,30,2,3,6,0
W06000023,Powys,5,2020,-3.41806,52.15088566666667,0,0,0,0,0,30,2,3,6,0
W06000023,Powys,5,2021,-3.41806,52.15088566666667,0,0,0,0,0,30,2,3,6,0
W06000023,Powys,5,2022,-3.41806,52.15088566666667,1,2,0,0,1,30,2,3,6,0
W06000023,Powys,5,2023,-3.41806,52.15088566666667,0,0,0,0,0,30,2,3,6,0
W06000023,Powys,5,2024,-3.41806,52.15088566666667,1,1,0,0,0,30,2,3,6,0
W06000023,Powys,6,2019,-3.420388,52.5267235,1,2,0,1,0,60,2,4,6,6
W06000023,Powys,6,2020,-3.420388,52.5267235,0,0,0,0,0,60,2,4,6,6
W06000023,Powys,6,2021,-3.420388,52.5267235,0,0,0,0,0,60,2,4,6,6
W06000023,Powys,6,2022,-3.420388,52.5267235,0,0,0,0,0,60,2,4,6,6
W06000023,Powys,6,2023,-3.420388,52.5267235,0,0,0,0,0,60,2,4,6,6
W06000023,Powys,6,2024,-3.420388,52.5267235,0,0,0,0,0,60,2,4,6,6
W06000023,Powys,6,2025,-3.420388,52.5267235,1,1,0,0,0,60,2,4,6,6
W06000023,Powys,7,2019,-3.374587,51.813982,1,1,1,0,0,60,2,6,6,0
W06000023,Powys,7,2020,-3.374587,51.813982,0,0,0,0,0,60,2,6,6,0
W06000023,Powys,7,2021,-3.374587,51.813982,0,0,0,0,0,60,2,6,6,0
W06000023,Powys,7,2022,-3.374587,51.813982,0,0,0,0,0,60,2,6,6,0
W06000023,Powys,7,2023,-3.374587,51.813982,0,0,0,0,0,60,2,6,6,0
W06000023,Powys,7,2024,-3.374587,51.813982,0,0,0,0,0,60,2,6,6,0
W06000023,Powys,8,2019,-3.094072,52.331229,1,1,0,0,1,30,2,3,6,0
W06000023,Powys,8,2020,-3.094072,52.331229,0,0,0,0,0,30,2,3,6,0
W06000023,Powys,8,2021,-3.094072,52.331229,0,0,0,0,0,30,2,3,6,0
W06000023,Powys,8,2022,-3.094072,52.331229,0,0,0,0,0,30,2,3,6,0
W06000023,Powys,8,2023,-3.094072,52.331229,0,0,0,0,0,30,2,3,6,0
W06000023,Powys,8,2024,-3.094072,52.331229,0,0,0,0,0,30,2,3,6,0
W06000023,Powys,8,2025,-3.094072,52.331229,1,1,0,0,0,30,2,3,6,0
W06000023,Powys,9,2019,-3.149037666666666,52.06666533333333,1,1,0,0,1,60,2,4,6,0
W06000023,Powys,9,2020,-3.149037666666666,52.06666533333333,1,1,0,1,0,60,2,4,6,0
W06000023,Powys,9,2021,-3.149037666666666,52.06666533333333,0,0,0,0,0,60,2,4,6,0
W06000023,Powys,9,2022,-3.149037666666666,52.06666533333333,0,0,0,0,0,60,2,4,6,0
W06000023,Powys,9,2023,-3.149037666666666,52.06666533333333,0,0,0,0,0,60,2,4,6,0
W06000023,Powys,9,2024,-3.149037666666666,52.06666533333333,0,0,0,0,0,60,2,4,6,0
W06000023,Powys,9,2025,-3.149037666666666,52.06666533333333,1,1,0,0,0,60,2,4,6,0
W06000023,Powys,10,2019,-3.2767334999999997,52.0000965,1,1,0,0,1,60,2,3,6,0
