la_code,la_name,cluster_id,year,centroid_lon,centroid_lat,n_collisions,n_casualties,n_fatal,n_serious,n_slight,speed_limit,urban_or_rural,first_road_class,road_type,junction_detail
E06000038,Reading,1,2019,-0.968001,51.45747926666667,3,3,0,1,2,30,1,3,3,0
E06000038,Reading,1,2020,-0.968001,51.45747926666667,3,6,0,0,3,30,1,3,3,0
E06000038,Reading,1,2021,-0.968001,51.45747926666667,2,3,0,0,2,30,1,3,3,0
E06000038,Reading,1,2022,-0.968001,51.45747926666667,4,4,0,0,4,30,1,3,3,0
E06000038,Reading,1,2023,-0.968001,51.45747926666667,3,3,0,0,3,30,1,3,3,0
E06000038,Reading,1,2024,-0.968001,51.45747926666667,0,0,0,0,0,30,1,3,3,0
E06000038,Reading,2,2019,-0.9767865,51.455525475,6,6,0,1,5,30,1,6,6,3
E06000038,Reading,2,2020,-0.9767865,51.455525475,4,4,0,0,4,30,1,6,6,3
E06000038,Reading,2,2021,-0.9767865,51.455525475,5,5,0,0,5,30,1,6,6,3
E06000038,Reading,2,2022,-0.9767865,51.455525475,10,11,0,0,10,30,1,6,6,3
E06000038,Reading,2,2023,-0.9767865,51.455525475,15,16,0,3,12,30,1,6,6,3
E06000038,Reading,2,2024,-0.9767865,51.455525475,0,0,0,0,0,30,1,6,6,3
E06000038,Reading,3,2019,-0.9951400555555556,51.456293555555554,5,6,0,1,4,30,1,3,6,3
E06000038,Reading,3,2020,-0.9951400555555556,51.456293555555554,8,8,0,1,7,30,1,3,6,3
E06000038,Reading,3,2021,-0.9951400555555556,51.456293555555554,8,8,0,1,7,30,1,3,6,3
E06000038,Reading,3,2022,-0.9951400555555556,51.456293555555554,6,6,0,0,6,30,1,3,6,3
E06000038,Reading,3,2023,-0.9951400555555556,51.456293555555554,9,9,0,1,8,30,1,3,6,3
E06000038,Reading,3,2024,-0.9951400555555556,51.456293555555554,0,0,0,0,0,30,1,3,6,3
E06000038,Reading,4,2019,-1.02734375,51.46828275,2,2,0,1,1,30,1,6,6,0
E06000038,Reading,4,2020,-1.02734375,51.46828275,0,0,0,0,0,30,1,6,6,0
E06000038,Reading,4,2021,-1.02734375,51.46828275,0,0,0,0,0,30,1,6,6,0
E06000038,Reading,4,2022,-1.02734375,51.46828275,1,2,0,1,0,30,1,6,6,0
E06000038,Reading,4,2023,-1.02734375,51.46828275,1,1,0,0,1,30,1,6,6,0
E06000038,Reading,4,2024,-1.02734375,51.46828275,0,0,0,0,0,30,1,6,6,0
E06000038,Reading,5,2019,-0.9794565625,51.42296675,7,7,0,1,6,40,1,3,3,1
E06000038,Reading,5,2020,-0.9794565625,51.42296675,4,4,0,0,4,40,1,3,3,1
E06000038,Reading,5,2021,-0.9794565625,51.42296675,1,1,0,0,1,40,1,3,3,1
E06000038,Reading,5,2022,-0.9794565625,51.42296675,2,2,0,0,2,40,1,3,3,1
E06000038,Reading,5,2023,-0.9794565625,51.42296675,2,2,0,0,2,40,1,3,3,1
E06000038,Reading,5,2024,-0.9794565625,51.42296675,0,0,0,0,0,40,1,3,3,1
E06000038,Reading,6,2019,-0.9419504545454546,51.451458,1,1,0,0,1,30,1,3,6,0
E06000038,Reading,6,2020,-0.9419504545454546,51.451458,2,2,0,1,1,30,1,3,6,0
E06000038,Reading,6,2021,-0.9419504545454546,51.451458,1,1,0,0,1,30,1,3,6,0
E06000038,Reading,6,2022,-0.9419504545454546,51.451458,3,3,0,1,2,30,1,3,6,0
E06000038,Reading,6,2023,-0.9419504545454546,51.451458,4,4,0,1,3,30,1,3,6,0
E06000038,Reading,6,2024,-0.9419504545454546,51.451458,0,0,0,0,0,30,1,3,6,0
E06000038,Reading,7,2019,-0.9464581333333332,51.428357133333336,3,4,0,1,2,30,1,3,6,3
E06000038,Reading,7,2020,-0.9464581333333332,51.428357133333336,5,5,0,0,5,30,1,3,6,3
E06000038,Reading,7,2021,-0.9464581333333332,51.428357133333336,3,3,0,0,3,30,1,3,6,3
E06000038,Reading,7,2022,-0.9464581333333332,51.428357133333336,3,3,0,0,3,30,1,3,6,3
E06000038,Reading,7,2023,-0.9464581333333332,51.428357133333336,1,1,0,0,1,30,1,3,6,3
