la_code,la_name,cluster_id,year,centroid_lon,centroid_lat,n_collisions,n_casualties,n_fatal,n_serious,n_slight,speed_limit,urban_or_rural,first_road_class,road_type,junction_detail
E09000026,Redbridge,1,2019,0.07208013157894737,51.55611639473684,15,18,0,1,14,30,1,3,6,1
E09000026,Redbridge,1,2020,0.07208013157894737,51.55611639473684,16,18,0,1,15,30,1,3,6,1
E09000026,Redbridge,1,2021,0.07208013157894737,51.55611639473684,12,15,0,0,12,30,1,3,6,1
E09000026,Redbridge,1,2022,0.07208013157894737,51.55611639473684,16,28,0,0,16,30,1,3,6,1
E09000026,Redbridge,1,2023,0.07208013157894737,51.55611639473684,17,20,0,3,14,30,1,3,6,1
E09000026,Redbridge,1,2024,0.07208013157894737,51.55611639473684,0,0,0,0,0,30,1,3,6,1
E09000026,Redbridge,2,2019,0.07053457142857143,51.557743357142854,10,15,0,2,8,30,1,3,2,0
E09000026,Redbridge,2,2020,0.07053457142857143,51.557743357142854,11,12,0,0,11,30,1,3,2,0
E09000026,Redbridge,2,2021,0.07053457142857143,51.557743357142854,11,11,0,2,9,30,1,3,2,0
E09000026,Redbridge,2,2022,0.07053457142857143,51.557743357142854,17,19,0,0,17,30,1,3,2,0
E09000026,Redbridge,2,2023,0.07053457142857143,51.557743357142854,7,8,0,2,5,30,1,3,2,0
E09000026,Redbridge,2,2024,0.07053457142857143,51.557743357142854,0,0,0,0,0,30,1,3,2,0
E09000026,Redbridge,3,2019,0.0823095918367347,51.55970089795918,16,22,0,1,15,30,1,3,6,3
E09000026,Redbridge,3,2020,0.0823095918367347,51.55970089795918,7,11,0,1,6,30,1,3,6,3
E09000026,Redbridge,3,2021,0.0823095918367347,51.55970089795918,7,7,0,0,7,30,1,3,6,3
E09000026,Redbridge,3,2022,0.0823095918367347,51.55970089795918,10,11,0,0,10,30,1,3,6,3
E09000026,Redbridge,3,2023,0.0823095918367347,51.55970089795918,9,12,0,1,8,30,1,3,6,3
E09000026,Redbridge,3,2024,0.0823095918367347,51.55970089795918,0,0,0,0,0,30,1,3,6,3
E09000026,Redbridge,4,2019,0.06702484210526316,51.55510715789474,10,12,0,1,9,30,1,3,7,5
E09000026,Redbridge,4,2020,0.06702484210526316,51.55510715789474,6,8,0,0,6,30,1,3,7,5
E09000026,Redbridge,4,2021,0.06702484210526316,51.55510715789474,7,9,0,0,7,30,1,3,7,5
E09000026,Redbridge,4,2022,0.06702484210526316,51.55510715789474,10,12,0,1,9,30,1,3,7,5
E09000026,Redbridge,4,2023,0.06702484210526316,51.55510715789474,5,8,0,0,5,30,1,3,7,5
E09000026,Redbridge,4,2024,0.06702484210526316,51.55510715789474,0,0,0,0,0,30,1,3,7,5
E09000026,Redbridge,5,2019,0.07060110714285714,51.57840625,7,9,0,1,6,30,1,3,6,9
E09000026,Redbridge,5,2020,0.07060110714285714,51.57840625,4,5,1,0,3,30,1,3,6,9
E09000026,Redbridge,5,2021,0.07060110714285714,51.57840625,3,3,0,0,3,30,1,3,6,9
E09000026,Redbridge,5,2022,0.07060110714285714,51.57840625,6,7,0,2,4,30,1,3,6,9
E09000026,Redbridge,5,2023,0.07060110714285714,51.57840625,8,9,1,2,5,30,1,3,6,9
E09000026,Redbridge,5,2024,0.07060110714285714,51.57840625,0,0,0,0,0,30,1,3,6,9
E09000026,Redbridge,6,2019,0.11607284615384617,51.56310942307693,8,10,0,1,7,30,1,3,6,3
E09000026,Redbridge,6,2020,0.11607284615384617,51.56310942307693,5,5,0,0,5,30,1,3,6,3
E09000026,Redbridge,6,2021,0.11607284615384617,51.56310942307693,1,1,0,0,1,30,1,3,6,3
E09000026,Redbridge,6,2022,0.11607284615384617,51.56310942307693,2,2,0,1,1,30,1,3,6,3
E09000026,Redbridge,6,2023,0.11607284615384617,51.56310942307693,10,11,0,1,9,30,1,3,6,3
E09000026,Redbridge,6,2024,0.11607284615384617,51.56310942307693,0,0,0,0,0,30,1,3,6,3
E09000026,Redbridge,7,2019,0.11174984615384616,51.57068069230769,5,6,0,1,4,30,1,4,6,0
E09000026,Redbridge,7,2020,0.11174984615384616,51.57068069230769,2,2,0,0,2,30,1,4,6,0
E09000026,Redbridge,7,2021,0.11174984615384616,51.57068069230769,4,5,0,0,4,30,1,4,6,0
E09000026,Redbridge,7,2022,0.11174984615384616,51.57068069230769,1,1,0,0,1,30,1,4,6,0
E09000026,Redbridge,7,2023,0.11174984615384616,51.57068069230769,1,2,0,0,1,30,1,4,6,0
E09000026,Redbridge,7,2024,0.11174984615384616,51.57068069230769,0,0,0,0,0,30,1,4,6,0
E09000026,Redbridge,8,2019,0.03685668421052631,51.59383484210526,22,32,0,2,20,30,2,3,1,1
E09000026,Redbridge,8,2020,0.03685668421052631,51.59383484210526,18,23,0,4,14,30,2,3,1,1
E09000026,Redbridge,8,2021,0.03685668421052631,51.59383484210526,9,10,0,1,8,30,2,3,1,1
E09000026,Redbridge,8,2022,0.03685668421052631,51.59383484210526,16,22,0,1,15,30,2,3,1,1
E09000026,Redbridge,8,2023,0.03685668421052631,51.59383484210526,11,12,0,1,10,30,2,3,1,1
E09000026,Redbridge,8,2024,0.03685668421052631,51.59383484210526,0,0,0,0,0,30,2,3,1,1
E09000026,Redbridge,9,2019,0.02198546875,51.6095034375,5,5,0,0,5,30,1,3,6,3
E09000026,Redbridge,9,2020,0.02198546875,51.6095034375,5,5,0,1,4,30,1,3,6,3
E09000026,Redbridge,9,2021,0.02198546875,51.6095034375,7,8,0,3,4,30,1,3,6,3
E09000026,Redbridge,9,2022,0.02198546875,51.6095034375,7,8,0,2,5,30,1,3,6,3
E09000026,Redbridge,9,2023,0.02198546875,51.6095034375,8,10,0,1,7,30,1,3,6,3
E09000026,Redbridge,9,2024,0.02198546875,51.6095034375,0,0,0,0,0,30,1,3,6,3
E09000026,Redbridge,10,2019,0.045234,51.6067350625,4,8,0,1,3,30,1,5,6,0
E09000026,Redbridge,10,2020,0.045234,51.6067350625,2,3,0,0,2,30,1,5,6,0
