la_code,la_name,cluster_id,year,centroid_lon,centroid_lat,n_collisions,n_casualties,n_fatal,n_serious,n_slight,speed_limit,urban_or_rural,first_road_class,road_type,junction_detail
S12000038,Renfrewshire,1,2019,-4.399349,55.84692866666667,1,1,0,1,0,30,1,3,3,0
S12000038,Renfrewshire,1,2020,-4.399349,55.84692866666667,1,1,0,1,0,30,1,3,3,0
S12000038,Renfrewshire,1,2021,-4.399349,55.84692866666667,1,1,0,1,0,30,1,3,3,0
S12000038,Renfrewshire,1,2022,-4.399349,55.84692866666667,0,0,0,0,0,30,1,3,3,0
S12000038,Renfrewshire,1,2023,-4.399349,55.84692866666667,3,3,0,1,2,30,1,3,3,0
S12000038,Renfrewshire,1,2024,-4.399349,55.84692866666667,0,0,0,0,0,30,1,3,3,0
S12000038,Renfrewshire,2,2019,-4.4253912,55.8870094,2,2,0,0,2,50,2,3,6,0
S12000038,Renfrewshire,2,2020,-4.4253912,55.8870094,2,2,0,0,2,50,2,3,6,0
S12000038,Renfrewshire,2,2021,-4.4253912,55.8870094,1,1,0,1,0,50,2,3,6,0
S12000038,Renfrewshire,2,2022,-4.4253912,55.8870094,0,0,0,0,0,50,2,3,6,0
S12000038,Renfrewshire,2,2023,-4.4253912,55.8870094,0,0,0,0,0,50,2,3,6,0
S12000038,Renfrewshire,2,2024,-4.4253912,55.8870094,0,0,0,0,0,50,2,3,6,0
S12000038,Renfrewshire,3,2019,-4.447346888888889,55.821283,2,2,1,1,0,30,1,6,6,3
S12000038,Renfrewshire,3,2020,-4.447346888888889,55.821283,2,2,0,1,1,30,1,6,6,3
S12000038,Renfrewshire,3,2021,-4.447346888888889,55.821283,1,1,0,0,1,30,1,6,6,3
S12000038,Renfrewshire,3,2022,-4.447346888888889,55.821283,2,4,0,1,1,30,1,6,6,3
S12000038,Renfrewshire,3,2023,-4.447346888888889,55.821283,2,2,0,2,0,30,1,6,6,3
S12000038,Renfrewshire,3,2024,-4.447346888888889,55.821283,0,0,0,0,0,30,1,6,6,3
S12000038,Renfrewshire,4,2019,-4.416389166666667,55.85203583333333,2,2,0,1,1,30,1,6,6,3
S12000038,Renfrewshire,4,2020,-4.416389166666667,55.85203583333333,0,0,0,0,0,30,1,6,6,3
S12000038,Renfrewshire,4,2021,-4.416389166666667,55.85203583333333,1,1,0,1,0,30,1,6,6,3
S12000038,Renfrewshire,4,2022,-4.416389166666667,55.85203583333333,1,1,0,0,1,30,1,6,6,3
S12000038,Renfrewshire,4,2023,-4.416389166666667,55.85203583333333,2,2,0,2,0,30,1,6,6,3
S12000038,Renfrewshire,4,2024,-4.416389166666667,55.85203583333333,0,0,0,0,0,30,1,6,6,3
S12000038,Renfrewshire,5,2019,-4.6428705,55.78399075,2,7,0,0,2,60,2,3,6,0
S12000038,Renfrewshire,5,2020,-4.6428705,55.78399075,0,0,0,0,0,60,2,3,6,0
S12000038,Renfrewshire,5,2021,-4.6428705,55.78399075,0,0,0,0,0,60,2,3,6,0
S12000038,Renfrewshire,5,2022,-4.6428705,55.78399075,2,2,0,1,1,60,2,3,6,0
S12000038,Renfrewshire,5,2023,-4.6428705,55.78399075,0,0,0,0,0,60,2,3,6,0
S12000038,Renfrewshire,5,2024,-4.6428705,55.78399075,0,0,0,0,0,60,2,3,6,0
S12000038,Renfrewshire,6,2019,-4.4178547777777775,55.84538522222222,3,4,0,1,2,30,1,3,3,9
S12000038,Renfrewshire,6,2020,-4.4178547777777775,55.84538522222222,3,3,0,0,3,30,1,3,3,9
S12000038,Renfrewshire,6,2021,-4.4178547777777775,55.84538522222222,1,2,0,0,1,30,1,3,3,9
S12000038,Renfrewshire,6,2022,-4.4178547777777775,55.84538522222222,2,2,0,0,2,30,1,3,3,9
S12000038,Renfrewshire,6,2023,-4.4178547777777775,55.84538522222222,0,0,0,0,0,30,1,3,3,9
S12000038,Renfrewshire,6,2024,-4.4178547777777775,55.84538522222222,0,0,0,0,0,30,1,3,3,9
S12000038,Renfrewshire,7,2019,-4.4550643333333335,55.880206333333334,1,1,0,0,1,30,2,3,6,3
S12000038,Renfrewshire,7,2020,-4.4550643333333335,55.880206333333334,1,2,0,0,1,30,2,3,6,3
S12000038,Renfrewshire,7,2021,-4.4550643333333335,55.880206333333334,0,0,0,0,0,30,2,3,6,3
S12000038,Renfrewshire,7,2022,-4.4550643333333335,55.880206333333334,0,0,0,0,0,30,2,3,6,3
S12000038,Renfrewshire,7,2023,-4.4550643333333335,55.880206333333334,1,1,0,0,1,30,2,3,6,3
S12000038,Renfrewshire,7,2024,-4.4550643333333335,55.880206333333334,0,0,0,0,0,30,2,3,6,3
S12000038,Renfrewshire,8,2019,-4.5142339,55.8357012,4,4,0,1,3,30,1,4,6,6
S12000038,Renfrewshire,8,2020,-4.5142339,55.8357012,2,2,0,2,0,30,1,4,6,6
S12000038,Renfrewshire,8,2021,-4.5142339,55.8357012,1,1,0,0,1,30,1,4,6,6
S12000038,Renfrewshire,8,2022,-4.5142339,55.8357012,2,2,0,0,2,30,1,4,6,6
S12000038,Renfrewshire,8,2023,-4.5142339,55.8357012,1,1,0,1,0,30,1,4,6,6
S12000038,Renfrewshire,8,2024,-4.5142339,55.8357012,0,0,0,0,0,30,1,4,6,6
S12000038,Renfrewshire,9,2019,-4.385573,55.864162,3,5,0,0,3,70,1,1,3,0
S12000038,Renfrewshire,9,2020,-4.385573,55.864162,0,0,0,0,0,70,1,1,3,0
S12000038,Renfrewshire,9,2021,-4.385573,55.864162,0,0,0,0,0,70,1,1,3,0
S12000038,Renfrewshire,9,2022,-4.385573,55.864162,0,0,0,0,0,70,1,1,3,0
S12000038,Renfrewshire,9,2023,-4.385573,55.864162,0,0,0,0,0,70,1,1,3,0
S12000038,Renfrewshire,9,2024,-4.385573,55.864162,0,0,0,0,0,70,1,1,3,0
S12000038,Renfrewshire,10,2019,-4.43193,55.862252166666664,4,7,0,0,4,50,1,1,3,0
S12000038,Renfrewshire,10,2020,-4.43193,55.862252166666664,2,4,0,0,2,50,1,1,3,0
S12000038,Renfrewshire,10,2021,-4.43193,55.862252166666664,5,7,0,2,3,50,1,1,3,0
S12000038,Renfrewshire,10,2022,-4.43193,55.862252166666664,1,1,0,1,0,50,1,1,3,0
S12000038,Renfrewshire,10,2023,-4.43193,55.862252166666664,0,0,0,0,0,50,1,1,3,0
S12000038,Renfrewshire,10,2024,-4.43193,55.862252166666664,0,0,0,0,0,50,1,1,3,0
S12000038,Renfrewshire,11,2019,-4.4407706,55.847963,4,4,0,3,1,30,1,6,6,0
S12000038,Renfrewshire,11,2020,-4.4407706,55.847963,2,2,0,0,2,30,1,6,6,0
S12000038,Renfrewshire,11,2021,-4.4407706,55.847963,3,3,0,1,2,30,1,6,6,0
S12000038,Renfrewshire,11,2022,-4.4407706,55.847963,1,1,0,0,1,30,1,6,6,0
S12000038,Renfrewshire,11,2023,-4.4407706,55.847963,0,0,0,0,0,30,1,6,6,0
S12000038,Renfrewshire,11,2024,-4.4407706,55.847963,0,0,0,0,0,30,1,6,6,0
S12000038,Renfrewshire,12,2019,-4.456048,55.855395,2,2,0,0,2,60,2,3,3,0
S12000038,Renfrewshire,12,2020,-4.456048,55.855395,0,0,0,0,0,60,2,3,3,0
S12000038,Renfrewshire,12,2021,-4.456048,55.855395,0,0,0,0,0,60,2,3,3,0
S12000038,Renfrewshire,12,2022,-4.456048,55.855395,0,0,0,0,0,60,2,3,3,0
S12000038,Renfrewshire,12,2023,-4.456048,55.855395,0,0,0,0,0,60,2,3,3,0
S12000038,Renfrewshire,12,2024,-4.456048,55.855395,0,0,0,0,0,60,2,3,3,0
S12000038,Renfrewshire,13,2019,-4.459929333333333,55.84016633333333,3,3,0,1,2,30,1,3,6,3
S12000038,Renfrewshire,13,2020,-4.459929333333333,55.84016633333333,2,3,0,1,1,30,1,3,6,3
S12000038,Renfrewshire,13,2021,-4.459929333333333,55.84016633333333,0,0,0,0,0,30,1,3,6,3
S12000038,Renfrewshire,13,2022,-4.459929333333333,55.84016633333333,1,1,0,0,1,30,1,3,6,3
S12000038,Renfrewshire,13,2023,-4.459929333333333,55.84016633333333,0,0,0,0,0,30,1,3,6,3
S12000038,Renfrewshire,13,2024,-4.459929333333333,55.84016633333333,0,0,0,0,0,30,1,3,6,3
S12000038,Renfrewshire,14,2019,-4.469547,55.821856749999995,1,1,0,1,0,30,1,6,6,0
S12000038,Renfrewshire,14,2020,-4.469547,55.821856749999995,1,1,0,0,1,30,1,6,6,0
S12000038,Renfrewshire,14,2021,-4.469547,55.821856749999995,0,0,0,0,0,30,1,6,6,0
S12000038,Renfrewshire,14,2022,-4.469547,55.821856749999995,1,1,0,1,0,30,1,6,6,0
S12000038,Renfrewshire,14,2023,-4.469547,55.821856749999995,1,1,0,0,1,30,1,6,6,0
S12000038,Renfrewshire,14,2024,-4.469547,55.821856749999995,0,0,0,0,0,30,1,6,6,0
S12000038,Renfrewshire,15,2019,-4.4499515,55.8585015625,9,14,0,1,8,30,2,3,3,1
S12000038,Renfrewshire,15,2020,-4.4499515,55.8585015625,2,2,0,2,0,30,2,3,3,1
S12000038,Renfrewshire,15,2021,-4.4499515,55.8585015625,1,2,0,1,0,30,2,3,3,1
S12000038,Renfrewshire,15,2022,-4.4499515,55.8585015625,3,3,0,0,3,30,2,3,3,1
S12000038,Renfrewshire,15,2023,-4.4499515,55.8585015625,1,1,0,0,1,30,2,3,3,1
S12000038,Renfrewshire,15,2024,-4.4499515,55.8585015625,0,0,0,0,0,30,2,3,3,1
S12000038,Renfrewshire,16,2019,-4.518501666666666,55.827558,1,1,0,0,1,30,1,6,6,3
S12000038,Renfrewshire,16,2020,-4.518501666666666,55.827558,0,0,0,0,0,30,1,6,6,3
S12000038,Renfrewshire,16,2021,-4.518501666666666,55.827558,1,1,0,1,0,30,1,6,6,3
S12000038,Renfrewshire,16,2022,-4.518501666666666,55.827558,0,0,0,0,0,30,1,6,6,3
S12000038,Renfrewshire,16,2023,-4.518501666666666,55.827558,1,2,0,0,1,30,1,6,6,3
S12000038,Renfrewshire,16,2024,-4.518501666666666,55.827558,0,0,0,0,0,30,1,6,6,3
S12000038,Renfrewshire,17,2019,-4.498604833333333,55.84550933333333,2,6,0,2,0,30,1,3,6,0
S12000038,Renfrewshire,17,2020,-4.498604833333333,55.84550933333333,1,5,0,1,0,30,1,3,6,0
S12000038,Renfrewshire,17,2021,-4.498604833333333,55.84550933333333,0,0,0,0,0,30,1,3,6,0
S12000038,Renfrewshire,17,2022,-4.498604833333333,55.84550933333333,2,2,0,1,1,30,1,3,6,0
S12000038,Renfrewshire,17,2023,-4.498604833333333,55.84550933333333,1,2,0,1,0,30,1,3,6,0
S12000038,Renfrewshire,17,2024,-4.498604833333333,55.84550933333333,0,0,0,0,0,30,1,3,6,0
S12000038,Renfrewshire,18,2019,-4.495869166666667,55.83395066666667,2,3,0,1,1,30,1,6,6,3
S12000038,Renfrewshire,18,2020,-4.495869166666667,55.83395066666667,2,2,0,1,1,30,1,6,6,3
S12000038,Renfrewshire,18,2021,-4.495869166666667,55.83395066666667,2,2,0,0,2,30,1,6,6,3
S12000038,Renfrewshire,18,2022,-4.495869166666667,55.83395066666667,0,0,0,0,0,30,1,6,6,3
S12000038,Renfrewshire,18,2023,-4.495869166666667,55.83395066666667,0,0,0,0,0,30,1,6,6,3
S12000038,Renfrewshire,18,2024,-4.495869166666667,55.83395066666667,0,0,0,0,0,30,1,6,6,3
S12000038,Renfrewshire,19,2019,-4.453538,55.9036415,2,2,0,2,0,30,1,3,1,1
S12000038,Renfrewshire,19,2020,-4.453538,55.9036415,0,0,0,0,0,30,1,3,1,1
S12000038,Renfrewshire,19,2021,-4.453538,55.9036415,0,0,0,0,0,30,1,3,1,1
S12000038,Renfrewshire,19,2022,-4.453538,55.9036415,0,0,0,0,0,30,1,3,1,1
S12000038,Renfrewshire,19,2023,-4.453538,55.9036415,0,0,0,0,0,30,1,3,1,1
S12000038,Renfrewshire,19,2024,-4.453538,55.9036415,0,0,0,0,0,30,1,3,1,1
S12000038,Renfrewshire,20,2019,-4.4382787142857145,55.84455857142857,1,1,0,1,0,30,1,6,6,3
S12000038,Renfrewshire,20,2020,-4.4382787142857145,55.84455857142857,1,1,0,1,0,30,1,6,6,3
S12000038,Renfrewshire,20,2021,-4.4382787142857145,55.84455857142857,0,0,0,0,0,30,1,6,6,3
S12000038,Renfrewshire,20,2022,-4.4382787142857145,55.84455857142857,4,5,0,2,2,30,1,6,6,3
S12000038,Renfrewshire,20,2023,-4.4382787142857145,55.84455857142857,1,1,0,1,0,30,1,6,6,3
S12000038,Renfrewshire,20,2024,-4.4382787142857145,55.84455857142857,0,0,0,0,0,30,1,6,6,3
S12000038,Renfrewshire,21,2019,-4.437324714285714,55.84167742857143,1,1,0,0,1,30,1,4,6,0
S12000038,Renfrewshire,21,2020,-4.437324714285714,55.84167742857143,2,3,0,2,0,30,1,4,6,0
S12000038,Renfrewshire,21,2021,-4.437324714285714,55.84167742857143,0,0,0,0,0,30,1,4,6,0
S12000038,Renfrewshire,21,2022,-4.437324714285714,55.84167742857143,2,2,0,0,2,30,1,4,6,0
S12000038,Renfrewshire,21,2023,-4.437324714285714,55.84167742857143,2,2,0,1,1,30,1,4,6,0
S12000038,Renfrewshire,21,2024,-4.437324714285714,55.84167742857143,0,0,0,0,0,30,1,4,6,0
S12000038,Renfrewshire,22,2019,-4.470655285714286,55.843631571428574,2,5,0,1,1,30,1,6,1,1
S12000038,Renfrewshire,22,2020,-4.470655285714286,55.843631571428574,0,0,0,0,0,30,1,6,1,1
S12000038,Renfrewshire,22,2021,-4.470655285714286,55.843631571428574,1,1,0,0,1,30,1,6,1,1
S12000038,Renfrewshire,22,2022,-4.470655285714286,55.843631571428574,2,2,0,0,2,30,1,6,1,1
