la_code,la_name,cluster_id,year,centroid_lon,centroid_lat,n_collisions,n_casualties,n_fatal,n_serious,n_slight,speed_limit,urban_or_rural,first_road_class,road_type,junction_detail
W06000016,Rhondda Cynon Taf,1,2019,-3.416112,51.5609082,3,6,0,1,2,60,2,3,6,0
W06000016,Rhondda Cynon Taf,1,2020,-3.416112,51.5609082,0,0,0,0,0,60,2,3,6,0
W06000016,Rhondda Cynon Taf,1,2021,-3.416112,51.5609082,0,0,0,0,0,60,2,3,6,0
W06000016,Rhondda Cynon Taf,1,2022,-3.416112,51.5609082,1,1,0,0,1,60,2,3,6,0
W06000016,Rhondda Cynon Taf,1,2023,-3.416112,51.5609082,1,9,1,0,0,60,2,3,6,0
W06000016,Rhondda Cynon Taf,1,2024,-3.416112,51.5609082,0,0,0,0,0,60,2,3,6,0
W06000016,Rhondda Cynon Taf,2,2019,-3.490048,51.686275,1,4,0,1,0,60,2,3,6,0
W06000016,Rhondda Cynon Taf,2,2020,-3.490048,51.686275,0,0,0,0,0,60,2,3,6,0
W06000016,Rhondda Cynon Taf,2,2021,-3.490048,51.686275,0,0,0,0,0,60,2,3,6,0
W06000016,Rhondda Cynon Taf,2,2022,-3.490048,51.686275,0,0,0,0,0,60,2,3,6,0
W06000016,Rhondda Cynon Taf,2,2023,-3.490048,51.686275,0,0,0,0,0,60,2,3,6,0
W06000016,Rhondda Cynon Taf,2,2024,-3.490048,51.686275,0,0,0,0,0,60,2,3,6,0
W06000016,Rhondda Cynon Taf,3,2019,-3.4485758333333334,51.61908258333333,4,4,0,1,3,30,1,4,6,0
W06000016,Rhondda Cynon Taf,3,2020,-3.4485758333333334,51.61908258333333,1,2,0,0,1,30,1,4,6,0
W06000016,Rhondda Cynon Taf,3,2021,-3.4485758333333334,51.61908258333333,2,2,0,0,2,30,1,4,6,0
W06000016,Rhondda Cynon Taf,3,2022,-3.4485758333333334,51.61908258333333,4,4,0,1,3,30,1,4,6,0
W06000016,Rhondda Cynon Taf,3,2023,-3.4485758333333334,51.61908258333333,1,1,0,0,1,30,1,4,6,0
W06000016,Rhondda Cynon Taf,3,2024,-3.4485758333333334,51.61908258333333,0,0,0,0,0,30,1,4,6,0
W06000016,Rhondda Cynon Taf,4,2019,-3.412372714285714,51.61571728571429,2,5,0,1,1,30,1,4,6,0
W06000016,Rhondda Cynon Taf,4,2020,-3.412372714285714,51.61571728571429,1,1,0,0,1,30,1,4,6,0
W06000016,Rhondda Cynon Taf,4,2021,-3.412372714285714,51.61571728571429,1,1,0,0,1,30,1,4,6,0
W06000016,Rhondda Cynon Taf,4,2022,-3.412372714285714,51.61571728571429,2,2,0,0,2,30,1,4,6,0
W06000016,Rhondda Cynon Taf,4,2023,-3.412372714285714,51.61571728571429,1,1,0,0,1,30,1,4,6,0
W06000016,Rhondda Cynon Taf,4,2024,-3.412372714285714,51.61571728571429,0,0,0,0,0,30,1,4,6,0
W06000016,Rhondda Cynon Taf,5,2019,-3.4189746666666667,51.63394366666667,1,1,0,0,1,40,1,3,6,1
