la_code,la_name,cluster_id,year,centroid_lon,centroid_lat,n_collisions,n_casualties,n_fatal,n_serious,n_slight,speed_limit,urban_or_rural,first_road_class,road_type,junction_detail
E09000027,Richmond upon Thames,1,2019,-0.24920957142857145,51.46508609523809,5,5,0,1,4,30,2,3,6,6
E09000027,Richmond upon Thames,1,2020,-0.24920957142857145,51.46508609523809,1,1,0,0,1,30,2,3,6,6
E09000027,Richmond upon Thames,1,2021,-0.24920957142857145,51.46508609523809,0,0,0,0,0,30,2,3,6,6
E09000027,Richmond upon Thames,1,2022,-0.24920957142857145,51.46508609523809,9,9,0,2,7,30,2,3,6,6
E09000027,Richmond upon Thames,1,2023,-0.24920957142857145,51.46508609523809,2,2,0,0,2,30,2,3,6,6
E09000027,Richmond upon Thames,1,2024,-0.24920957142857145,51.46508609523809,4,4,0,0,0,30,2,3,6,6
E09000027,Richmond upon Thames,2,2019,-0.29830290476190474,51.461450142857146,6,8,0,0,6,20,1,3,6,6
E09000027,Richmond upon Thames,2,2020,-0.29830290476190474,51.461450142857146,1,1,0,1,0,20,1,3,6,6
E09000027,Richmond upon Thames,2,2021,-0.29830290476190474,51.461450142857146,2,2,0,1,1,20,1,3,6,6
E09000027,Richmond upon Thames,2,2022,-0.29830290476190474,51.461450142857146,4,6,0,1,3,20,1,3,6,6
E09000027,Richmond upon Thames,2,2023,-0.29830290476190474,51.461450142857146,2,2,0,0,2,20,1,3,6,6
E09000027,Richmond upon Thames,2,2024,-0.29830290476190474,51.461450142857146,5,5,0,0,0,20,1,3,6,6
E09000027,Richmond upon Thames,2,2025,-0.29830290476190474,51.461450142857146,1,1,0,0,0,20,1,3,6,6
E09000027,Richmond upon Thames,3,2019,-0.324171652173913,51.428832782608694,4,4,0,1,3,20,1,3,6,6
E09000027,Richmond upon Thames,3,2020,-0.324171652173913,51.428832782608694,5,7,0,1,4,20,1,3,6,6
E09000027,Richmond upon Thames,3,2021,-0.324171652173913,51.428832782608694,2,2,0,1,1,20,1,3,6,6
E09000027,Richmond upon Thames,3,2022,-0.324171652173913,51.428832782608694,3,3,0,0,3,20,1,3,6,6
E09000027,Richmond upon Thames,3,2023,-0.324171652173913,51.428832782608694,7,8,0,1,6,20,1,3,6,6
E09000027,Richmond upon Thames,3,2024,-0.324171652173913,51.428832782608694,2,3,0,0,0,20,1,3,6,6
E09000027,Richmond upon Thames,4,2019,-0.34279175,51.40588069642857,4,5,0,0,4,30,1,3,6,0
E09000027,Richmond upon Thames,4,2020,-0.34279175,51.40588069642857,13,13,0,0,13,30,1,3,6,0
E09000027,Richmond upon Thames,4,2021,-0.34279175,51.40588069642857,7,7,0,2,5,30,1,3,6,0
E09000027,Richmond upon Thames,4,2022,-0.34279175,51.40588069642857,5,5,0,1,4,30,1,3,6,0
E09000027,Richmond upon Thames,4,2023,-0.34279175,51.40588069642857,13,13,0,4,9,30,1,3,6,0
E09000027,Richmond upon Thames,4,2024,-0.34279175,51.40588069642857,9,9,0,0,0,30,1,3,6,0
E09000027,Richmond upon Thames,4,2025,-0.34279175,51.40588069642857,5,5,0,0,0,30,1,3,6,0
E09000027,Richmond upon Thames,5,2019,-0.3733551212121212,51.455768393939394,5,5,0,0,5,20,1,3,6,6
E09000027,Richmond upon Thames,5,2020,-0.3733551212121212,51.455768393939394,6,8,0,2,4,20,1,3,6,6
E09000027,Richmond upon Thames,5,2021,-0.3733551212121212,51.455768393939394,4,4,0,0,4,20,1,3,6,6
E09000027,Richmond upon Thames,5,2022,-0.3733551212121212,51.455768393939394,1,2,0,0,1,20,1,3,6,6
E09000027,Richmond upon Thames,5,2023,-0.3733551212121212,51.455768393939394,6,6,0,0,6,20,1,3,6,6
E09000027,Richmond upon Thames,5,2024,-0.3733551212121212,51.455768393939394,10,13,0,0,0,20,1,3,6,6
E09000027,Richmond upon Thames,5,2025,-0.3733551212121212,51.455768393939394,1,1,0,0,0,20,1,3,6,6
E09000027,Richmond upon Thames,6,2019,-0.291641,51.458143846153845,1,1,0,0,1,20,1,4,6,3
E09000027,Richmond upon Thames,6,2020,-0.291641,51.458143846153845,3,3,0,1,2,20,1,4,6,3
E09000027,Richmond upon Thames,6,2021,-0.291641,51.458143846153845,2,3,0,1,1,20,1,4,6,3
E09000027,Richmond upon Thames,6,2022,-0.291641,51.458143846153845,2,2,0,1,1,20,1,4,6,3
E09000027,Richmond upon Thames,6,2023,-0.291641,51.458143846153845,0,0,0,0,0,20,1,4,6,3
E09000027,Richmond upon Thames,6,2024,-0.291641,51.458143846153845,3,4,0,0,0,20,1,4,6,3
E09000027,Richmond upon Thames,6,2025,-0.291641,51.458143846153845,2,2,0,0,0,20,1,4,6,3
E09000027,Richmond upon Thames,7,2019,-0.26665982089552237,51.46484035820895,12,13,0,1,11,30,1,3,6,3
E09000027,Richmond upon Thames,7,2020,-0.26665982089552237,51.46484035820895,11,11,0,0,11,30,1,3,6,3
E09000027,Richmond upon Thames,7,2021,-0.26665982089552237,51.46484035820895,10,11,0,7,3,30,1,3,6,3
E09000027,Richmond upon Thames,7,2022,-0.26665982089552237,51.46484035820895,9,10,0,2,7,30,1,3,6,3
E09000027,Richmond upon Thames,7,2023,-0.26665982089552237,51.46484035820895,16,17,0,4,12,30,1,3,6,3
E09000027,Richmond upon Thames,7,2024,-0.26665982089552237,51.46484035820895,5,5,0,0,0,30,1,3,6,3
E09000027,Richmond upon Thames,7,2025,-0.26665982089552237,51.46484035820895,4,4,0,0,0,30,1,3,6,3
E09000027,Richmond upon Thames,8,2019,-0.36016676923076923,51.43952765384616,5,6,0,1,4,30,1,3,6,3
E09000027,Richmond upon Thames,8,2020,-0.36016676923076923,51.43952765384616,2,2,0,0,2,30,1,3,6,3
E09000027,Richmond upon Thames,8,2021,-0.36016676923076923,51.43952765384616,5,6,0,1,4,30,1,3,6,3
E09000027,Richmond upon Thames,8,2022,-0.36016676923076923,51.43952765384616,5,7,0,4,1,30,1,3,6,3
E09000027,Richmond upon Thames,8,2023,-0.36016676923076923,51.43952765384616,2,2,0,1,1,30,1,3,6,3
E09000027,Richmond upon Thames,8,2024,-0.36016676923076923,51.43952765384616,5,5,0,0,0,30,1,3,6,3
E09000027,Richmond upon Thames,8,2025,-0.36016676923076923,51.43952765384616,2,2,0,0,0,30,1,3,6,3
E09000027,Richmond upon Thames,9,2019,-0.2571973684210526,51.45216952631579,3,3,0,0,3,20,2,6,6,0
E09000027,Richmond upon Thames,9,2020,-0.2571973684210526,51.45216952631579,4,4,0,2,2,20,2,6,6,0
E09000027,Richmond upon Thames,9,2021,-0.2571973684210526,51.45216952631579,2,3,0,2,0,20,2,6,6,0
E09000027,Richmond upon Thames,9,2022,-0.2571973684210526,51.45216952631579,1,1,0,0,1,20,2,6,6,0
E09000027,Richmond upon Thames,9,2023,-0.2571973684210526,51.45216952631579,4,5,0,4,0,20,2,6,6,0
E09000027,Richmond upon Thames,9,2024,-0.2571973684210526,51.45216952631579,2,2,0,0,0,20,2,6,6,0
E09000027,Richmond upon Thames,9,2025,-0.2571973684210526,51.45216952631579,3,3,0,0,0,20,2,6,6,0
E09000027,Richmond upon Thames,10,2019,-0.327179,51.44763392307692,11,11,0,0,11,20,1,3,6,3
E09000027,Richmond upon Thames,10,2020,-0.327179,51.44763392307692,3,4,0,0,3,20,1,3,6,3
E09000027,Richmond upon Thames,10,2021,-0.327179,51.44763392307692,8,8,0,4,4,20,1,3,6,3
E09000027,Richmond upon Thames,10,2022,-0.327179,51.44763392307692,5,5,0,1,4,20,1,3,6,3
E09000027,Richmond upon Thames,10,2023,-0.327179,51.44763392307692,3,5,0,0,3,20,1,3,6,3
E09000027,Richmond upon Thames,10,2024,-0.327179,51.44763392307692,5,6,0,0,0,20,1,3,6,3
