la_code,la_name,cluster_id,year,centroid_lon,centroid_lat,n_collisions,n_casualties,n_fatal,n_serious,n_slight,speed_limit,urban_or_rural,first_road_class,road_type,junction_detail
E08000005,Rochdale,1,2019,-2.150847652173913,53.614466695652176,5,6,1,1,3,30,1,3,6,3
E08000005,Rochdale,1,2020,-2.150847652173913,53.614466695652176,3,3,0,0,3,30,1,3,6,3
E08000005,Rochdale,1,2021,-2.150847652173913,53.614466695652176,3,4,0,0,3,30,1,3,6,3
E08000005,Rochdale,1,2022,-2.150847652173913,53.614466695652176,5,5,0,2,3,30,1,3,6,3
E08000005,Rochdale,1,2023,-2.150847652173913,53.614466695652176,4,8,0,0,4,30,1,3,6,3
E08000005,Rochdale,1,2024,-2.150847652173913,53.614466695652176,3,3,0,0,0,30,1,3,6,3
E08000005,Rochdale,2,2019,-2.1684604166666666,53.605186333333336,3,5,0,0,3,30,1,3,6,3
E08000005,Rochdale,2,2020,-2.1684604166666666,53.605186333333336,1,1,0,0,1,30,1,3,6,3
E08000005,Rochdale,2,2021,-2.1684604166666666,53.605186333333336,1,1,0,0,1,30,1,3,6,3
E08000005,Rochdale,2,2022,-2.1684604166666666,53.605186333333336,2,2,0,1,1,30,1,3,6,3
E08000005,Rochdale,2,2023,-2.1684604166666666,53.605186333333336,3,3,0,1,2,30,1,3,6,3
E08000005,Rochdale,2,2024,-2.1684604166666666,53.605186333333336,0,0,0,0,0,30,1,3,6,3
E08000005,Rochdale,2,2025,-2.1684604166666666,53.605186333333336,2,2,0,0,0,30,1,3,6,3
E08000005,Rochdale,3,2019,-2.1419707,53.6213343,2,2,0,1,1,30,1,6,6,3
E08000005,Rochdale,3,2020,-2.1419707,53.6213343,3,3,0,0,3,30,1,6,6,3
E08000005,Rochdale,3,2021,-2.1419707,53.6213343,2,4,0,0,2,30,1,6,6,3
E08000005,Rochdale,3,2022,-2.1419707,53.6213343,2,6,0,1,1,30,1,6,6,3
E08000005,Rochdale,3,2023,-2.1419707,53.6213343,0,0,0,0,0,30,1,6,6,3
E08000005,Rochdale,3,2024,-2.1419707,53.6213343,0,0,0,0,0,30,1,6,6,3
E08000005,Rochdale,3,2025,-2.1419707,53.6213343,1,1,0,0,0,30,1,6,6,3
E08000005,Rochdale,4,2019,-2.156479230769231,53.616307,2,2,0,1,1,30,1,6,6,0
E08000005,Rochdale,4,2020,-2.156479230769231,53.616307,1,1,1,0,0,30,1,6,6,0
E08000005,Rochdale,4,2021,-2.156479230769231,53.616307,2,2,0,0,2,30,1,6,6,0
E08000005,Rochdale,4,2022,-2.156479230769231,53.616307,1,1,0,0,1,30,1,6,6,0
E08000005,Rochdale,4,2023,-2.156479230769231,53.616307,2,2,0,1,1,30,1,6,6,0
E08000005,Rochdale,4,2024,-2.156479230769231,53.616307,3,3,0,0,0,30,1,6,6,0
E08000005,Rochdale,4,2025,-2.156479230769231,53.616307,2,2,0,0,0,30,1,6,6,0
