la_code,la_name,cluster_id,year,centroid_lon,centroid_lat,n_collisions,n_casualties,n_fatal,n_serious,n_slight,speed_limit,urban_or_rural,first_road_class,road_type,junction_detail
E08000028,Sandwell,1,2019,-1.9777685869565216,52.49957854347826,8,9,0,0,8,30,1,3,6,0
E08000028,Sandwell,1,2020,-1.9777685869565216,52.49957854347826,5,6,0,0,5,30,1,3,6,0
E08000028,Sandwell,1,2021,-1.9777685869565216,52.49957854347826,5,7,0,2,3,30,1,3,6,0
E08000028,Sandwell,1,2022,-1.9777685869565216,52.49957854347826,12,17,0,0,12,30,1,3,6,0
E08000028,Sandwell,1,2023,-1.9777685869565216,52.49957854347826,6,10,0,0,6,30,1,3,6,0
E08000028,Sandwell,1,2024,-1.9777685869565216,52.49957854347826,8,8,0,0,0,30,1,3,6,0
E08000028,Sandwell,1,2025,-1.9777685869565216,52.49957854347826,2,3,0,0,0,30,1,3,6,0
E08000028,Sandwell,2,2019,-1.9726947142857143,52.51594428571428,2,3,0,0,2,70,1,1,3,0
E08000028,Sandwell,2,2020,-1.9726947142857143,52.51594428571428,1,1,0,0,1,70,1,1,3,0
E08000028,Sandwell,2,2021,-1.9726947142857143,52.51594428571428,0,0,0,0,0,70,1,1,3,0
E08000028,Sandwell,2,2022,-1.9726947142857143,52.51594428571428,1,1,0,0,1,70,1,1,3,0
E08000028,Sandwell,2,2023,-1.9726947142857143,52.51594428571428,1,5,0,0,1,70,1,1,3,0
E08000028,Sandwell,2,2024,-1.9726947142857143,52.51594428571428,1,2,0,0,0,70,1,1,3,0
E08000028,Sandwell,2,2025,-1.9726947142857143,52.51594428571428,1,1,0,0,0,70,1,1,3,0
E08000028,Sandwell,3,2019,-1.9684486666666667,52.537517916666665,2,3,0,0,2,70,2,1,3,0
E08000028,Sandwell,3,2020,-1.9684486666666667,52.537517916666665,0,0,0,0,0,70,2,1,3,0
E08000028,Sandwell,3,2021,-1.9684486666666667,52.537517916666665,3,4,0,0,3,70,2,1,3,0
E08000028,Sandwell,3,2022,-1.9684486666666667,52.537517916666665,5,12,0,1,4,70,2,1,3,0
E08000028,Sandwell,3,2023,-1.9684486666666667,52.537517916666665,8,13,1,2,5,70,2,1,3,0
E08000028,Sandwell,3,2024,-1.9684486666666667,52.537517916666665,3,5,0,0,0,70,2,1,3,0
E08000028,Sandwell,3,2025,-1.9684486666666667,52.537517916666665,3,4,0,0,0,70,2,1,3,0
E08000028,Sandwell,4,2019,-1.9922605,52.54538216666667,2,2,0,0,2,30,1,6,6,0
