la_code,la_name,cluster_id,year,centroid_lon,centroid_lat,n_collisions,n_casualties,n_fatal,n_serious,n_slight,speed_limit,urban_or_rural,first_road_class,road_type,junction_detail
S12000026,Scottish Borders,1,2019,-2.472622,55.67631,1,1,0,0,1,60,2,4,6,0
S12000026,Scottish Borders,1,2020,-2.472622,55.67631,0,0,0,0,0,60,2,4,6,0
S12000026,Scottish Borders,1,2021,-2.472622,55.67631,0,0,0,0,0,60,2,4,6,0
S12000026,Scottish Borders,1,2022,-2.472622,55.67631,1,5,0,1,0,60,2,4,6,0
S12000026,Scottish Borders,1,2023,-2.472622,55.67631,0,0,0,0,0,60,2,4,6,0
S12000026,Scottish Borders,1,2024,-2.472622,55.67631,0,0,0,0,0,60,2,4,6,0
S12000026,Scottish Borders,2,2019,-3.37266,55.741812,1,1,0,0,1,60,2,3,6,0
S12000026,Scottish Borders,2,2020,-3.37266,55.741812,0,0,0,0,0,60,2,3,6,0
S12000026,Scottish Borders,2,2021,-3.37266,55.741812,0,0,0,0,0,60,2,3,6,0
S12000026,Scottish Borders,2,2022,-3.37266,55.741812,0,0,0,0,0,60,2,3,6,0
S12000026,Scottish Borders,2,2023,-3.37266,55.741812,0,0,0,0,0,60,2,3,6,0
S12000026,Scottish Borders,2,2024,-3.37266,55.741812,0,0,0,0,0,60,2,3,6,0
S12000026,Scottish Borders,3,2019,-2.462153,55.549499,1,2,0,0,1,60,2,3,6,8
S12000026,Scottish Borders,3,2020,-2.462153,55.549499,0,0,0,0,0,60,2,3,6,8
S12000026,Scottish Borders,3,2021,-2.462153,55.549499,0,0,0,0,0,60,2,3,6,8
S12000026,Scottish Borders,3,2022,-2.462153,55.549499,0,0,0,0,0,60,2,3,6,8
S12000026,Scottish Borders,3,2023,-2.462153,55.549499,0,0,0,0,0,60,2,3,6,8
S12000026,Scottish Borders,3,2024,-2.462153,55.549499,0,0,0,0,0,60,2,3,6,8
S12000026,Scottish Borders,4,2019,-2.4573713333333336,55.56629566666667,2,2,0,0,2,30,2,3,6,0
S12000026,Scottish Borders,4,2020,-2.4573713333333336,55.56629566666667,1,4,0,1,0,30,2,3,6,0
S12000026,Scottish Borders,4,2021,-2.4573713333333336,55.56629566666667,0,0,0,0,0,30,2,3,6,0
S12000026,Scottish Borders,4,2022,-2.4573713333333336,55.56629566666667,0,0,0,0,0,30,2,3,6,0
S12000026,Scottish Borders,4,2023,-2.4573713333333336,55.56629566666667,0,0,0,0,0,30,2,3,6,0
S12000026,Scottish Borders,4,2024,-2.4573713333333336,55.56629566666667,0,0,0,0,0,30,2,3,6,0
S12000026,Scottish Borders,5,2019,-2.075765,55.840573,1,1,0,0,1,60,2,3,6,9
S12000026,Scottish Borders,5,2020,-2.075765,55.840573,0,0,0,0,0,60,2,3,6,9
S12000026,Scottish Borders,5,2021,-2.075765,55.840573,0,0,0,0,0,60,2,3,6,9
S12000026,Scottish Borders,5,2022,-2.075765,55.840573,0,0,0,0,0,60,2,3,6,9
S12000026,Scottish Borders,5,2023,-2.075765,55.840573,0,0,0,0,0,60,2,3,6,9
S12000026,Scottish Borders,5,2024,-2.075765,55.840573,0,0,0,0,0,60,2,3,6,9
S12000026,Scottish Borders,6,2019,-3.1918295,55.659208500000005,1,2,0,0,1,30,1,6,6,0
S12000026,Scottish Borders,6,2020,-3.1918295,55.659208500000005,0,0,0,0,0,30,1,6,6,0
S12000026,Scottish Borders,6,2021,-3.1918295,55.659208500000005,0,0,0,0,0,30,1,6,6,0
S12000026,Scottish Borders,6,2022,-3.1918295,55.659208500000005,0,0,0,0,0,30,1,6,6,0
S12000026,Scottish Borders,6,2023,-3.1918295,55.659208500000005,1,1,0,1,0,30,1,6,6,0
S12000026,Scottish Borders,6,2024,-3.1918295,55.659208500000005,0,0,0,0,0,30,1,6,6,0
S12000026,Scottish Borders,7,2019,-2.784706,55.4268158,2,2,1,0,1,20,1,3,6,0
S12000026,Scottish Borders,7,2020,-2.784706,55.4268158,0,0,0,0,0,20,1,3,6,0
S12000026,Scottish Borders,7,2021,-2.784706,55.4268158,0,0,0,0,0,20,1,3,6,0
S12000026,Scottish Borders,7,2022,-2.784706,55.4268158,1,1,0,1,0,20,1,3,6,0
S12000026,Scottish Borders,7,2023,-2.784706,55.4268158,2,2,0,1,1,20,1,3,6,0
S12000026,Scottish Borders,7,2024,-2.784706,55.4268158,0,0,0,0,0,20,1,3,6,0
S12000026,Scottish Borders,8,2019,-2.373754,55.683114,1,1,0,0,1,60,2,6,6,3
S12000026,Scottish Borders,8,2020,-2.373754,55.683114,0,0,0,0,0,60,2,6,6,3
S12000026,Scottish Borders,8,2021,-2.373754,55.683114,1,1,0,1,0,60,2,6,6,3
S12000026,Scottish Borders,8,2022,-2.373754,55.683114,0,0,0,0,0,60,2,6,6,3
S12000026,Scottish Borders,8,2023,-2.373754,55.683114,0,0,0,0,0,60,2,6,6,3
S12000026,Scottish Borders,8,2024,-2.373754,55.683114,0,0,0,0,0,60,2,6,6,3
S12000026,Scottish Borders,9,2019,-2.595844,55.387919,1,3,0,0,1,60,2,3,6,0
S12000026,Scottish Borders,9,2020,-2.595844,55.387919,0,0,0,0,0,60,2,3,6,0
S12000026,Scottish Borders,9,2021,-2.595844,55.387919,0,0,0,0,0,60,2,3,6,0
S12000026,Scottish Borders,9,2022,-2.595844,55.387919,0,0,0,0,0,60,2,3,6,0
S12000026,Scottish Borders,9,2023,-2.595844,55.387919,0,0,0,0,0,60,2,3,6,0
S12000026,Scottish Borders,9,2024,-2.595844,55.387919,0,0,0,0,0,60,2,3,6,0
S12000026,Scottish Borders,10,2019,-3.4949276666666664,55.472433,2,4,0,1,1,60,2,3,6,0
