la_code,la_name,cluster_id,year,centroid_lon,centroid_lat,n_collisions,n_casualties,n_fatal,n_serious,n_slight,speed_limit,urban_or_rural,first_road_class,road_type,junction_detail
E08000014,Sefton,1,2019,-2.9708204736842108,53.63326868421053,5,6,0,1,4,30,1,3,6,1
E08000014,Sefton,1,2020,-2.9708204736842108,53.63326868421053,6,6,0,1,5,30,1,3,6,1
E08000014,Sefton,1,2021,-2.9708204736842108,53.63326868421053,3,3,0,2,1,30,1,3,6,1
E08000014,Sefton,1,2022,-2.9708204736842108,53.63326868421053,2,2,0,0,2,30,1,3,6,1
E08000014,Sefton,1,2023,-2.9708204736842108,53.63326868421053,3,4,0,0,3,30,1,3,6,1
E08000014,Sefton,1,2024,-2.9708204736842108,53.63326868421053,0,0,0,0,0,30,1,3,6,1
E08000014,Sefton,2,2019,-3.0026369787234044,53.64944638297872,15,19,0,5,10,30,1,3,6,0
E08000014,Sefton,2,2020,-3.0026369787234044,53.64944638297872,7,16,0,0,7,30,1,3,6,0
E08000014,Sefton,2,2021,-3.0026369787234044,53.64944638297872,9,10,0,0,9,30,1,3,6,0
E08000014,Sefton,2,2022,-3.0026369787234044,53.64944638297872,8,9,0,3,5,30,1,3,6,0
E08000014,Sefton,2,2023,-3.0026369787234044,53.64944638297872,8,11,0,3,5,30,1,3,6,0
E08000014,Sefton,2,2024,-3.0026369787234044,53.64944638297872,0,0,0,0,0,30,1,3,6,0
E08000014,Sefton,3,2019,-2.9358004,53.524416,2,2,0,0,2,30,1,6,6,3
E08000014,Sefton,3,2020,-2.9358004,53.524416,1,1,0,0,1,30,1,6,6,3
E08000014,Sefton,3,2021,-2.9358004,53.524416,2,4,0,0,2,30,1,6,6,3
E08000014,Sefton,3,2022,-2.9358004,53.524416,0,0,0,0,0,30,1,6,6,3
E08000014,Sefton,3,2023,-2.9358004,53.524416,0,0,0,0,0,30,1,6,6,3
E08000014,Sefton,3,2024,-2.9358004,53.524416,0,0,0,0,0,30,1,6,6,3
E08000014,Sefton,4,2019,-3.0544495,53.55062775,1,1,0,0,1,30,1,4,6,2
E08000014,Sefton,4,2020,-3.0544495,53.55062775,2,2,0,1,1,30,1,4,6,2
E08000014,Sefton,4,2021,-3.0544495,53.55062775,0,0,0,0,0,30,1,4,6,2
E08000014,Sefton,4,2022,-3.0544495,53.55062775,1,1,0,0,1,30,1,4,6,2
E08000014,Sefton,4,2023,-3.0544495,53.55062775,0,0,0,0,0,30,1,4,6,2
E08000014,Sefton,4,2024,-3.0544495,53.55062775,0,0,0,0,0,30,1,4,6,2
E08000014,Sefton,5,2019,-2.997879642857143,53.444482785714285,4,9,0,2,2,30,1,3,6,6
E08000014,Sefton,5,2020,-2.997879642857143,53.444482785714285,3,5,0,0,3,30,1,3,6,6
E08000014,Sefton,5,2021,-2.997879642857143,53.444482785714285,4,6,0,1,3,30,1,3,6,6
E08000014,Sefton,5,2022,-2.997879642857143,53.444482785714285,3,3,1,0,2,30,1,3,6,6
E08000014,Sefton,5,2023,-2.997879642857143,53.444482785714285,0,0,0,0,0,30,1,3,6,6
E08000014,Sefton,5,2024,-2.997879642857143,53.444482785714285,0,0,0,0,0,30,1,3,6,6
E08000014,Sefton,6,2019,-2.9937123333333333,53.46747,2,2,0,0,2,30,1,3,6,0
E08000014,Sefton,6,2020,-2.9937123333333333,53.46747,1,2,0,0,1,30,1,3,6,0
E08000014,Sefton,6,2021,-2.9937123333333333,53.46747,1,2,0,0,1,30,1,3,6,0
E08000014,Sefton,6,2022,-2.9937123333333333,53.46747,2,2,0,0,2,30,1,3,6,0
E08000014,Sefton,6,2023,-2.9937123333333333,53.46747,0,0,0,0,0,30,1,3,6,0
E08000014,Sefton,6,2024,-2.9937123333333333,53.46747,0,0,0,0,0,30,1,3,6,0
E08000014,Sefton,7,2019,-2.965476307692308,53.66277269230769,5,8,0,2,3,30,1,3,6,0
E08000014,Sefton,7,2020,-2.965476307692308,53.66277269230769,1,1,0,0,1,30,1,3,6,0
E08000014,Sefton,7,2021,-2.965476307692308,53.66277269230769,2,3,0,0,2,30,1,3,6,0
E08000014,Sefton,7,2022,-2.965476307692308,53.66277269230769,3,3,0,0,3,30,1,3,6,0
E08000014,Sefton,7,2023,-2.965476307692308,53.66277269230769,2,5,0,0,2,30,1,3,6,0
E08000014,Sefton,7,2024,-2.965476307692308,53.66277269230769,0,0,0,0,0,30,1,3,6,0
E08000014,Sefton,8,2019,-2.994664625,53.63833341666667,7,8,0,1,6,30,1,3,6,6
E08000014,Sefton,8,2020,-2.994664625,53.63833341666667,2,2,0,0,2,30,1,3,6,6
E08000014,Sefton,8,2021,-2.994664625,53.63833341666667,4,6,0,0,4,30,1,3,6,6
E08000014,Sefton,8,2022,-2.994664625,53.63833341666667,4,4,0,1,3,30,1,3,6,6
E08000014,Sefton,8,2023,-2.994664625,53.63833341666667,7,8,0,2,5,30,1,3,6,6
E08000014,Sefton,8,2024,-2.994664625,53.63833341666667,0,0,0,0,0,30,1,3,6,6
E08000014,Sefton,9,2019,-3.0062203636363636,53.643915,4,4,0,0,4,30,1,6,6,0
