la_code,la_name,cluster_id,year,centroid_lon,centroid_lat,n_collisions,n_casualties,n_fatal,n_serious,n_slight,speed_limit,urban_or_rural,first_road_class,road_type,junction_detail
E08000019,Sheffield,1,2019,-1.400944,53.340326375,1,1,0,1,0,30,2,6,6,0
E08000019,Sheffield,1,2020,-1.400944,53.340326375,2,2,0,0,2,30,2,6,6,0
E08000019,Sheffield,1,2021,-1.400944,53.340326375,1,1,0,1,0,30,2,6,6,0
E08000019,Sheffield,1,2022,-1.400944,53.340326375,3,3,0,1,2,30,2,6,6,0
E08000019,Sheffield,1,2023,-1.400944,53.340326375,2,2,0,0,2,30,2,6,6,0
E08000019,Sheffield,1,2024,-1.400944,53.340326375,0,0,0,0,0,30,2,6,6,0
E08000019,Sheffield,2,2019,-1.49479009375,53.40367309375,10,14,0,2,8,30,1,3,3,0
E08000019,Sheffield,2,2020,-1.49479009375,53.40367309375,5,6,0,2,3,30,1,3,3,0
E08000019,Sheffield,2,2021,-1.49479009375,53.40367309375,2,2,0,1,1,30,1,3,3,0
E08000019,Sheffield,2,2022,-1.49479009375,53.40367309375,5,5,0,2,3,30,1,3,3,0
E08000019,Sheffield,2,2023,-1.49479009375,53.40367309375,4,8,0,1,3,30,1,3,3,0
E08000019,Sheffield,2,2024,-1.49479009375,53.40367309375,4,4,0,0,0,30,1,3,3,0
E08000019,Sheffield,2,2025,-1.49479009375,53.40367309375,1,4,0,0,0,30,1,3,3,0
E08000019,Sheffield,3,2019,-1.4487916363636364,53.418412136363635,4,6,0,2,2,30,1,6,6,0
E08000019,Sheffield,3,2020,-1.4487916363636364,53.418412136363635,2,2,0,0,2,30,1,6,6,0
E08000019,Sheffield,3,2021,-1.4487916363636364,53.418412136363635,5,5,0,1,4,30,1,6,6,0
E08000019,Sheffield,3,2022,-1.4487916363636364,53.418412136363635,2,2,0,1,1,30,1,6,6,0
E08000019,Sheffield,3,2023,-1.4487916363636364,53.418412136363635,3,3,0,1,2,30,1,6,6,0
E08000019,Sheffield,3,2024,-1.4487916363636364,53.418412136363635,3,3,0,0,0,30,1,6,6,0
E08000019,Sheffield,3,2025,-1.4487916363636364,53.418412136363635,3,4,0,0,0,30,1,6,6,0
E08000019,Sheffield,4,2019,-1.41743984,53.37191992,4,4,0,2,2,40,1,3,3,6
E08000019,Sheffield,4,2020,-1.41743984,53.37191992,5,9,0,1,4,40,1,3,3,6
E08000019,Sheffield,4,2021,-1.41743984,53.37191992,3,3,0,0,3,40,1,3,3,6
E08000019,Sheffield,4,2022,-1.41743984,53.37191992,3,4,0,2,1,40,1,3,3,6
E08000019,Sheffield,4,2023,-1.41743984,53.37191992,4,5,0,1,3,40,1,3,3,6
E08000019,Sheffield,4,2024,-1.41743984,53.37191992,3,4,0,0,0,40,1,3,3,6
E08000019,Sheffield,4,2025,-1.41743984,53.37191992,1,1,0,0,0,40,1,3,3,6
E08000019,Sheffield,5,2019,-1.506975,53.36511642424242,6,6,0,4,2,30,1,6,6,3
E08000019,Sheffield,5,2020,-1.506975,53.36511642424242,9,9,0,2,7,30,1,6,6,3
E08000019,Sheffield,5,2021,-1.506975,53.36511642424242,2,2,0,0,2,30,1,6,6,3
E08000019,Sheffield,5,2022,-1.506975,53.36511642424242,6,6,0,3,3,30,1,6,6,3
E08000019,Sheffield,5,2023,-1.506975,53.36511642424242,5,7,0,2,3,30,1,6,6,3
E08000019,Sheffield,5,2024,-1.506975,53.36511642424242,6,7,0,0,0,30,1,6,6,3
E08000019,Sheffield,5,2025,-1.506975,53.36511642424242,1,1,0,0,0,30,1,6,6,3
E08000019,Sheffield,6,2019,-1.458589,53.38854473529412,10,18,0,4,6,30,1,3,3,0
E08000019,Sheffield,6,2020,-1.458589,53.38854473529412,5,5,0,3,2,30,1,3,3,0
E08000019,Sheffield,6,2021,-1.458589,53.38854473529412,5,7,0,2,3,30,1,3,3,0
E08000019,Sheffield,6,2022,-1.458589,53.38854473529412,3,6,0,0,3,30,1,3,3,0
E08000019,Sheffield,6,2023,-1.458589,53.38854473529412,6,9,0,2,4,30,1,3,3,0
E08000019,Sheffield,6,2024,-1.458589,53.38854473529412,3,5,0,0,0,30,1,3,3,0
E08000019,Sheffield,6,2025,-1.458589,53.38854473529412,3,3,0,0,0,30,1,3,3,0
E08000019,Sheffield,7,2019,-1.4179726296296296,53.42229774074074,6,6,0,1,5,30,1,6,6,6
E08000019,Sheffield,7,2020,-1.4179726296296296,53.42229774074074,2,2,0,0,2,30,1,6,6,6
E08000019,Sheffield,7,2021,-1.4179726296296296,53.42229774074074,5,7,0,0,5,30,1,6,6,6
E08000019,Sheffield,7,2022,-1.4179726296296296,53.42229774074074,4,4,0,2,2,30,1,6,6,6
E08000019,Sheffield,7,2023,-1.4179726296296296,53.42229774074074,8,9,1,3,4,30,1,6,6,6
E08000019,Sheffield,7,2024,-1.4179726296296296,53.42229774074074,1,1,0,0,0,30,1,6,6,6
E08000019,Sheffield,7,2025,-1.4179726296296296,53.42229774074074,1,1,0,0,0,30,1,6,6,6
E08000019,Sheffield,8,2019,-1.501431416666667,53.377141583333334,2,2,0,1,1,30,1,6,6,3
E08000019,Sheffield,8,2020,-1.501431416666667,53.377141583333334,0,0,0,0,0,30,1,6,6,3
E08000019,Sheffield,8,2021,-1.501431416666667,53.377141583333334,5,7,0,0,5,30,1,6,6,3
E08000019,Sheffield,8,2022,-1.501431416666667,53.377141583333334,1,1,0,1,0,30,1,6,6,3
E08000019,Sheffield,8,2023,-1.501431416666667,53.377141583333334,3,3,0,1,2,30,1,6,6,3
E08000019,Sheffield,8,2024,-1.501431416666667,53.377141583333334,2,2,0,0,0,30,1,6,6,3
E08000019,Sheffield,8,2025,-1.501431416666667,53.377141583333334,1,1,0,0,0,30,1,6,6,3
E08000019,Sheffield,9,2019,-1.4517257142857145,53.39902466666667,3,5,0,0,3,30,1,6,6,6
E08000019,Sheffield,9,2020,-1.4517257142857145,53.39902466666667,6,13,0,2,4,30,1,6,6,6
E08000019,Sheffield,9,2021,-1.4517257142857145,53.39902466666667,4,8,0,1,3,30,1,6,6,6
