la_code,la_name,cluster_id,year,centroid_lon,centroid_lat,n_collisions,n_casualties,n_fatal,n_serious,n_slight,speed_limit,urban_or_rural,first_road_class,road_type,junction_detail
S12000027,Shetland Islands,1,2019,-1.284225,60.198324666666664,2,3,0,0,2,60,2,3,6,3
S12000027,Shetland Islands,1,2020,-1.284225,60.198324666666664,0,0,0,0,0,60,2,3,6,3
S12000027,Shetland Islands,1,2021,-1.284225,60.198324666666664,0,0,0,0,0,60,2,3,6,3
S12000027,Shetland Islands,1,2022,-1.284225,60.198324666666664,1,1,0,1,0,60,2,3,6,3
S12000027,Shetland Islands,1,2023,-1.284225,60.198324666666664,0,0,0,0,0,60,2,3,6,3
S12000027,Shetland Islands,1,2024,-1.284225,60.198324666666664,0,0,0,0,0,60,2,3,6,3
S12000027,Shetland Islands,2,2019,-1.143804,60.154431,1,1,0,1,0,20,1,6,2,0
S12000027,Shetland Islands,2,2020,-1.143804,60.154431,0,0,0,0,0,20,1,6,2,0
S12000027,Shetland Islands,2,2021,-1.143804,60.154431,0,0,0,0,0,20,1,6,2,0
S12000027,Shetland Islands,2,2022,-1.143804,60.154431,0,0,0,0,0,20,1,6,2,0
S12000027,Shetland Islands,2,2023,-1.143804,60.154431,0,0,0,0,0,20,1,6,2,0
S12000027,Shetland Islands,2,2024,-1.143804,60.154431,0,0,0,0,0,20,1,6,2,0
S12000027,Shetland Islands,3,2019,-1.019491,60.343852,1,1,1,0,0,30,2,6,6,9
S12000027,Shetland Islands,3,2020,-1.019491,60.343852,0,0,0,0,0,30,2,6,6,9
S12000027,Shetland Islands,3,2021,-1.019491,60.343852,0,0,0,0,0,30,2,6,6,9
S12000027,Shetland Islands,3,2022,-1.019491,60.343852,0,0,0,0,0,30,2,6,6,9
S12000027,Shetland Islands,3,2023,-1.019491,60.343852,0,0,0,0,0,30,2,6,6,9
S12000027,Shetland Islands,3,2024,-1.019491,60.343852,0,0,0,0,0,30,2,6,6,9
S12000027,Shetland Islands,4,2019,-1.2341585,60.2200335,1,1,0,0,1,60,2,3,6,0
S12000027,Shetland Islands,4,2020,-1.2341585,60.2200335,0,0,0,0,0,60,2,3,6,0
S12000027,Shetland Islands,4,2021,-1.2341585,60.2200335,0,0,0,0,0,60,2,3,6,0
S12000027,Shetland Islands,4,2022,-1.2341585,60.2200335,0,0,0,0,0,60,2,3,6,0
S12000027,Shetland Islands,4,2023,-1.2341585,60.2200335,1,2,0,0,1,60,2,3,6,0
S12000027,Shetland Islands,4,2024,-1.2341585,60.2200335,0,0,0,0,0,60,2,3,6,0
S12000027,Shetland Islands,5,2019,-1.230479,60.074696,1,2,0,1,0,60,2,3,6,0
S12000027,Shetland Islands,5,2020,-1.230479,60.074696,0,0,0,0,0,60,2,3,6,0
S12000027,Shetland Islands,5,2021,-1.230479,60.074696,1,2,0,1,0,60,2,3,6,0
S12000027,Shetland Islands,5,2022,-1.230479,60.074696,0,0,0,0,0,60,2,3,6,0
S12000027,Shetland Islands,5,2023,-1.230479,60.074696,0,0,0,0,0,60,2,3,6,0
