la_code,la_name,cluster_id,year,centroid_lon,centroid_lat,n_collisions,n_casualties,n_fatal,n_serious,n_slight,speed_limit,urban_or_rural,first_road_class,road_type,junction_detail
E06000039,Slough,1,2019,-0.6085073125,51.5117204375,3,3,0,1,2,30,1,3,3,3
E06000039,Slough,1,2020,-0.6085073125,51.5117204375,1,1,0,1,0,30,1,3,3,3
E06000039,Slough,1,2021,-0.6085073125,51.5117204375,6,7,1,2,3,30,1,3,3,3
E06000039,Slough,1,2022,-0.6085073125,51.5117204375,5,5,1,1,3,30,1,3,3,3
E06000039,Slough,1,2023,-0.6085073125,51.5117204375,1,1,0,0,1,30,1,3,3,3
E06000039,Slough,1,2024,-0.6085073125,51.5117204375,0,0,0,0,0,30,1,3,3,3
E06000039,Slough,2,2019,-0.5888374285714285,51.509725,4,9,0,0,4,30,1,3,3,1
E06000039,Slough,2,2020,-0.5888374285714285,51.509725,4,8,0,0,4,30,1,3,3,1
E06000039,Slough,2,2021,-0.5888374285714285,51.509725,3,3,0,0,3,30,1,3,3,1
E06000039,Slough,2,2022,-0.5888374285714285,51.509725,2,5,0,0,2,30,1,3,3,1
E06000039,Slough,2,2023,-0.5888374285714285,51.509725,1,2,0,0,1,30,1,3,3,1
E06000039,Slough,2,2024,-0.5888374285714285,51.509725,0,0,0,0,0,30,1,3,3,1
E06000039,Slough,3,2019,-0.6513514,51.5192769,2,3,0,1,1,30,1,3,3,0
E06000039,Slough,3,2020,-0.6513514,51.5192769,3,6,0,0,3,30,1,3,3,0
E06000039,Slough,3,2021,-0.6513514,51.5192769,1,1,0,0,1,30,1,3,3,0
E06000039,Slough,3,2022,-0.6513514,51.5192769,4,6,0,0,4,30,1,3,3,0
E06000039,Slough,3,2023,-0.6513514,51.5192769,0,0,0,0,0,30,1,3,3,0
E06000039,Slough,3,2024,-0.6513514,51.5192769,0,0,0,0,0,30,1,3,3,0
E06000039,Slough,4,2019,-0.54696975,51.4951075625,2,3,0,0,2,30,1,6,6,3
E06000039,Slough,4,2020,-0.54696975,51.4951075625,4,4,0,1,3,30,1,6,6,3
E06000039,Slough,4,2021,-0.54696975,51.4951075625,4,4,0,2,2,30,1,6,6,3
E06000039,Slough,4,2022,-0.54696975,51.4951075625,2,3,0,0,2,30,1,6,6,3
E06000039,Slough,4,2023,-0.54696975,51.4951075625,4,4,0,0,4,30,1,6,6,3
E06000039,Slough,4,2024,-0.54696975,51.4951075625,0,0,0,0,0,30,1,6,6,3
E06000039,Slough,5,2019,-0.5790078,51.50754792,6,6,0,1,5,30,1,3,3,1
E06000039,Slough,5,2020,-0.5790078,51.50754792,6,6,0,0,6,30,1,3,3,1
