la_code,la_name,cluster_id,year,centroid_lon,centroid_lat,n_collisions,n_casualties,n_fatal,n_serious,n_slight,speed_limit,urban_or_rural,first_road_class,road_type,junction_detail
E06000066,Somerset,1,2019,-2.516236,51.12388,0,0,0,0,0,60,2,3,6,0
E06000066,Somerset,1,2020,-2.516236,51.12388,0,0,0,0,0,60,2,3,6,0
E06000066,Somerset,1,2021,-2.516236,51.12388,0,0,0,0,0,60,2,3,6,0
E06000066,Somerset,1,2022,-2.516236,51.12388,0,0,0,0,0,60,2,3,6,0
E06000066,Somerset,1,2023,-2.516236,51.12388,1,1,1,0,0,60,2,3,6,0
E06000066,Somerset,1,2024,-2.516236,51.12388,0,0,0,0,0,60,2,3,6,0
E06000066,Somerset,2,2019,-2.4090012,51.2783928,0,0,0,0,0,40,2,3,6,6
E06000066,Somerset,2,2020,-2.4090012,51.2783928,0,0,0,0,0,40,2,3,6,6
E06000066,Somerset,2,2021,-2.4090012,51.2783928,0,0,0,0,0,40,2,3,6,6
E06000066,Somerset,2,2022,-2.4090012,51.2783928,0,0,0,0,0,40,2,3,6,6
E06000066,Somerset,2,2023,-2.4090012,51.2783928,5,9,0,0,5,40,2,3,6,6
E06000066,Somerset,2,2024,-2.4090012,51.2783928,0,0,0,0,0,40,2,3,6,6
E06000066,Somerset,3,2019,-3.240059,50.966944,0,0,0,0,0,60,2,3,6,3
E06000066,Somerset,3,2020,-3.240059,50.966944,0,0,0,0,0,60,2,3,6,3
E06000066,Somerset,3,2021,-3.240059,50.966944,0,0,0,0,0,60,2,3,6,3
E06000066,Somerset,3,2022,-3.240059,50.966944,0,0,0,0,0,60,2,3,6,3
E06000066,Somerset,3,2023,-3.240059,50.966944,1,1,0,0,1,60,2,3,6,3
E06000066,Somerset,3,2024,-3.240059,50.966944,0,0,0,0,0,60,2,3,6,3
E06000066,Somerset,4,2019,-3.0336776666666667,51.046337333333334,0,0,0,0,0,50,2,3,3,3
E06000066,Somerset,4,2020,-3.0336776666666667,51.046337333333334,0,0,0,0,0,50,2,3,3,3
E06000066,Somerset,4,2021,-3.0336776666666667,51.046337333333334,0,0,0,0,0,50,2,3,3,3
E06000066,Somerset,4,2022,-3.0336776666666667,51.046337333333334,0,0,0,0,0,50,2,3,3,3
E06000066,Somerset,4,2023,-3.0336776666666667,51.046337333333334,3,3,0,0,3,50,2,3,3,3
E06000066,Somerset,4,2024,-3.0336776666666667,51.046337333333334,0,0,0,0,0,50,2,3,3,3
E06000066,Somerset,5,2019,-3.0708172,51.0248098,0,0,0,0,0,40,1,3,6,6
E06000066,Somerset,5,2020,-3.0708172,51.0248098,0,0,0,0,0,40,1,3,6,6
E06000066,Somerset,5,2021,-3.0708172,51.0248098,0,0,0,0,0,40,1,3,6,6
E06000066,Somerset,5,2022,-3.0708172,51.0248098,0,0,0,0,0,40,1,3,6,6
E06000066,Somerset,5,2023,-3.0708172,51.0248098,5,6,0,0,5,40,1,3,6,6
E06000066,Somerset,5,2024,-3.0708172,51.0248098,0,0,0,0,0,40,1,3,6,6
E06000066,Somerset,6,2019,-2.6170133333333334,50.945092,0,0,0,0,0,30,1,6,6,3
E06000066,Somerset,6,2020,-2.6170133333333334,50.945092,0,0,0,0,0,30,1,6,6,3
E06000066,Somerset,6,2021,-2.6170133333333334,50.945092,0,0,0,0,0,30,1,6,6,3
E06000066,Somerset,6,2022,-2.6170133333333334,50.945092,0,0,0,0,0,30,1,6,6,3
E06000066,Somerset,6,2023,-2.6170133333333334,50.945092,3,3,0,0,3,30,1,6,6,3
E06000066,Somerset,6,2024,-2.6170133333333334,50.945092,0,0,0,0,0,30,1,6,6,3
E06000066,Somerset,7,2019,-2.9952312,51.1022588,0,0,0,0,0,60,2,1,3,1
E06000066,Somerset,7,2020,-2.9952312,51.1022588,0,0,0,0,0,60,2,1,3,1
E06000066,Somerset,7,2021,-2.9952312,51.1022588,0,0,0,0,0,60,2,1,3,1
E06000066,Somerset,7,2022,-2.9952312,51.1022588,0,0,0,0,0,60,2,1,3,1
E06000066,Somerset,7,2023,-2.9952312,51.1022588,5,7,0,1,4,60,2,1,3,1
E06000066,Somerset,7,2024,-2.9952312,51.1022588,0,0,0,0,0,60,2,1,3,1
