la_code,la_name,cluster_id,year,centroid_lon,centroid_lat,n_collisions,n_casualties,n_fatal,n_serious,n_slight,speed_limit,urban_or_rural,first_road_class,road_type,junction_detail
S12000029,South Lanarkshire,1,2019,-4.17262,55.75832425,4,5,0,1,3,50,1,6,3,1
S12000029,South Lanarkshire,1,2020,-4.17262,55.75832425,0,0,0,0,0,50,1,6,3,1
S12000029,South Lanarkshire,1,2021,-4.17262,55.75832425,1,3,0,1,0,50,1,6,3,1
S12000029,South Lanarkshire,1,2022,-4.17262,55.75832425,1,1,1,0,0,50,1,6,3,1
S12000029,South Lanarkshire,1,2023,-4.17262,55.75832425,2,5,0,0,2,50,1,6,3,1
S12000029,South Lanarkshire,1,2024,-4.17262,55.75832425,0,0,0,0,0,50,1,6,3,1
S12000029,South Lanarkshire,2,2019,-3.535607,55.68159,1,1,0,1,0,60,2,3,6,0
S12000029,South Lanarkshire,2,2020,-3.535607,55.68159,0,0,0,0,0,60,2,3,6,0
S12000029,South Lanarkshire,2,2021,-3.535607,55.68159,0,0,0,0,0,60,2,3,6,0
S12000029,South Lanarkshire,2,2022,-3.535607,55.68159,0,0,0,0,0,60,2,3,6,0
S12000029,South Lanarkshire,2,2023,-3.535607,55.68159,0,0,0,0,0,60,2,3,6,0
S12000029,South Lanarkshire,2,2024,-3.535607,55.68159,0,0,0,0,0,60,2,3,6,0
S12000029,South Lanarkshire,3,2019,-4.09389875,55.79282025,1,1,0,0,1,30,1,6,6,3
S12000029,South Lanarkshire,3,2020,-4.09389875,55.79282025,0,0,0,0,0,30,1,6,6,3
S12000029,South Lanarkshire,3,2021,-4.09389875,55.79282025,2,2,0,0,2,30,1,6,6,3
S12000029,South Lanarkshire,3,2022,-4.09389875,55.79282025,0,0,0,0,0,30,1,6,6,3
S12000029,South Lanarkshire,3,2023,-4.09389875,55.79282025,1,1,0,0,1,30,1,6,6,3
S12000029,South Lanarkshire,3,2024,-4.09389875,55.79282025,0,0,0,0,0,30,1,6,6,3
