la_code,la_name,cluster_id,year,centroid_lon,centroid_lat,n_collisions,n_casualties,n_fatal,n_serious,n_slight,speed_limit,urban_or_rural,first_road_class,road_type,junction_detail
E08000013,St. Helens,1,2019,-2.7415690833333333,53.403522,2,3,0,0,2,70,2,1,3,0
E08000013,St. Helens,1,2020,-2.7415690833333333,53.403522,0,0,0,0,0,70,2,1,3,0
E08000013,St. Helens,1,2021,-2.7415690833333333,53.403522,4,6,0,2,2,70,2,1,3,0
E08000013,St. Helens,1,2022,-2.7415690833333333,53.403522,1,1,0,0,1,70,2,1,3,0
E08000013,St. Helens,1,2023,-2.7415690833333333,53.403522,3,7,0,0,3,70,2,1,3,0
E08000013,St. Helens,1,2024,-2.7415690833333333,53.403522,1,1,0,0,0,70,2,1,3,0
E08000013,St. Helens,1,2025,-2.7415690833333333,53.403522,1,1,0,0,0,70,2,1,3,0
E08000013,St. Helens,2,2019,-2.7933975,53.5058355,1,2,0,0,1,30,1,4,6,0
E08000013,St. Helens,2,2020,-2.7933975,53.5058355,1,1,0,0,1,30,1,4,6,0
E08000013,St. Helens,2,2021,-2.7933975,53.5058355,0,0,0,0,0,30,1,4,6,0
E08000013,St. Helens,2,2022,-2.7933975,53.5058355,0,0,0,0,0,30,1,4,6,0
E08000013,St. Helens,2,2023,-2.7933975,53.5058355,0,0,0,0,0,30,1,4,6,0
E08000013,St. Helens,2,2024,-2.7933975,53.5058355,0,0,0,0,0,30,1,4,6,0
E08000013,St. Helens,3,2019,-2.704484,53.4354399,2,2,0,1,1,30,1,6,6,0
E08000013,St. Helens,3,2020,-2.704484,53.4354399,4,4,0,1,3,30,1,6,6,0
E08000013,St. Helens,3,2021,-2.704484,53.4354399,1,1,0,0,1,30,1,6,6,0
E08000013,St. Helens,3,2022,-2.704484,53.4354399,1,1,0,0,1,30,1,6,6,0
E08000013,St. Helens,3,2023,-2.704484,53.4354399,0,0,0,0,0,30,1,6,6,0
E08000013,St. Helens,3,2024,-2.704484,53.4354399,2,2,0,0,0,30,1,6,6,0
E08000013,St. Helens,4,2019,-2.76691715,53.46936675,3,3,0,1,2,40,1,3,3,6
E08000013,St. Helens,4,2020,-2.76691715,53.46936675,2,7,0,0,2,40,1,3,3,6
E08000013,St. Helens,4,2021,-2.76691715,53.46936675,1,1,0,0,1,40,1,3,3,6
