la_code,la_name,cluster_id,year,centroid_lon,centroid_lat,n_collisions,n_casualties,n_fatal,n_serious,n_slight,speed_limit,urban_or_rural,first_road_class,road_type,junction_detail
S12000030,Stirling,1,2019,-3.98507575,56.13950375,2,2,0,1,1,60,2,3,6,0
S12000030,Stirling,1,2020,-3.98507575,56.13950375,2,3,1,0,1,60,2,3,6,0
S12000030,Stirling,1,2021,-3.98507575,56.13950375,0,0,0,0,0,60,2,3,6,0
S12000030,Stirling,1,2022,-3.98507575,56.13950375,0,0,0,0,0,60,2,3,6,0
S12000030,Stirling,1,2023,-3.98507575,56.13950375,0,0,0,0,0,60,2,3,6,0
S12000030,Stirling,1,2024,-3.98507575,56.13950375,0,0,0,0,0,60,2,3,6,0
S12000030,Stirling,2,2019,-3.9733102,56.135884,2,2,0,0,2,60,1,1,7,0
S12000030,Stirling,2,2020,-3.9733102,56.135884,1,2,0,1,0,60,1,1,7,0
S12000030,Stirling,2,2021,-3.9733102,56.135884,1,1,1,0,0,60,1,1,7,0
S12000030,Stirling,2,2022,-3.9733102,56.135884,0,0,0,0,0,60,1,1,7,0
S12000030,Stirling,2,2023,-3.9733102,56.135884,1,1,0,1,0,60,1,1,7,0
S12000030,Stirling,2,2024,-3.9733102,56.135884,0,0,0,0,0,60,1,1,7,0
S12000030,Stirling,3,2019,-4.131854,56.208987,1,2,0,1,0,60,2,3,6,0
S12000030,Stirling,3,2020,-4.131854,56.208987,0,0,0,0,0,60,2,3,6,0
S12000030,Stirling,3,2021,-4.131854,56.208987,0,0,0,0,0,60,2,3,6,0
S12000030,Stirling,3,2022,-4.131854,56.208987,0,0,0,0,0,60,2,3,6,0
S12000030,Stirling,3,2023,-4.131854,56.208987,0,0,0,0,0,60,2,3,6,0
S12000030,Stirling,3,2024,-4.131854,56.208987,0,0,0,0,0,60,2,3,6,0
S12000030,Stirling,4,2019,-4.643359,56.37898233333333,1,1,0,1,0,60,2,3,6,9
S12000030,Stirling,4,2020,-4.643359,56.37898233333333,0,0,0,0,0,60,2,3,6,9
S12000030,Stirling,4,2021,-4.643359,56.37898233333333,1,1,0,1,0,60,2,3,6,9
S12000030,Stirling,4,2022,-4.643359,56.37898233333333,1,2,0,1,0,60,2,3,6,9
