la_code,la_name,cluster_id,year,centroid_lon,centroid_lat,n_collisions,n_casualties,n_fatal,n_serious,n_slight,speed_limit,urban_or_rural,first_road_class,road_type,junction_detail
E08000007,Stockport,1,2019,-2.0684009999999997,53.364024,2,2,0,0,2,30,1,3,6,0
E08000007,Stockport,1,2020,-2.0684009999999997,53.364024,1,1,0,1,0,30,1,3,6,0
E08000007,Stockport,1,2021,-2.0684009999999997,53.364024,0,0,0,0,0,30,1,3,6,0
E08000007,Stockport,1,2022,-2.0684009999999997,53.364024,1,1,0,0,1,30,1,3,6,0
E08000007,Stockport,1,2023,-2.0684009999999997,53.364024,0,0,0,0,0,30,1,3,6,0
E08000007,Stockport,1,2024,-2.0684009999999997,53.364024,0,0,0,0,0,30,1,3,6,0
E08000007,Stockport,2,2019,-2.199943,53.3561942,3,3,0,0,3,70,2,3,3,1
E08000007,Stockport,2,2020,-2.199943,53.3561942,2,6,0,0,2,70,2,3,3,1
E08000007,Stockport,2,2021,-2.199943,53.3561942,1,1,0,1,0,70,2,3,3,1
E08000007,Stockport,2,2022,-2.199943,53.3561942,2,3,0,0,2,70,2,3,3,1
E08000007,Stockport,2,2023,-2.199943,53.3561942,2,2,0,1,1,70,2,3,3,1
E08000007,Stockport,2,2024,-2.199943,53.3561942,0,0,0,0,0,70,2,3,3,1
E08000007,Stockport,3,2019,-2.149207777777778,53.40854077777778,5,6,2,0,3,30,1,3,6,0
E08000007,Stockport,3,2020,-2.149207777777778,53.40854077777778,1,2,0,0,1,30,1,3,6,0
E08000007,Stockport,3,2021,-2.149207777777778,53.40854077777778,3,5,1,1,1,30,1,3,6,0
E08000007,Stockport,3,2022,-2.149207777777778,53.40854077777778,6,7,0,0,6,30,1,3,6,0
E08000007,Stockport,3,2023,-2.149207777777778,53.40854077777778,3,4,0,1,2,30,1,3,6,0
E08000007,Stockport,3,2024,-2.149207777777778,53.40854077777778,0,0,0,0,0,30,1,3,6,0
E08000007,Stockport,4,2019,-2.1931571333333335,53.40124,8,8,0,1,7,30,1,3,6,0
E08000007,Stockport,4,2020,-2.1931571333333335,53.40124,1,2,0,0,1,30,1,3,6,0
E08000007,Stockport,4,2021,-2.1931571333333335,53.40124,3,4,0,0,3,30,1,3,6,0
E08000007,Stockport,4,2022,-2.1931571333333335,53.40124,2,3,0,1,1,30,1,3,6,0
E08000007,Stockport,4,2023,-2.1931571333333335,53.40124,1,1,0,1,0,30,1,3,6,0
