la_code,la_name,cluster_id,year,centroid_lon,centroid_lat,n_collisions,n_casualties,n_fatal,n_serious,n_slight,speed_limit,urban_or_rural,first_road_class,road_type,junction_detail
E06000021,Stoke-on-Trent,1,2019,-2.171767125,53.053278875,4,4,0,1,3,30,1,4,6,3
E06000021,Stoke-on-Trent,1,2020,-2.171767125,53.053278875,1,2,0,0,1,30,1,4,6,3
E06000021,Stoke-on-Trent,1,2021,-2.171767125,53.053278875,2,3,0,0,2,30,1,4,6,3
E06000021,Stoke-on-Trent,1,2022,-2.171767125,53.053278875,0,0,0,0,0,30,1,4,6,3
E06000021,Stoke-on-Trent,1,2023,-2.171767125,53.053278875,1,1,0,0,1,30,1,4,6,3
E06000021,Stoke-on-Trent,1,2024,-2.171767125,53.053278875,0,0,0,0,0,30,1,4,6,3
E06000021,Stoke-on-Trent,2,2019,-2.1854603333333333,53.01632855555555,3,5,0,0,3,30,1,3,6,3
E06000021,Stoke-on-Trent,2,2020,-2.1854603333333333,53.01632855555555,1,1,0,0,1,30,1,3,6,3
E06000021,Stoke-on-Trent,2,2021,-2.1854603333333333,53.01632855555555,2,3,0,0,2,30,1,3,6,3
E06000021,Stoke-on-Trent,2,2022,-2.1854603333333333,53.01632855555555,1,1,0,0,1,30,1,3,6,3
E06000021,Stoke-on-Trent,2,2023,-2.1854603333333333,53.01632855555555,2,2,0,0,2,30,1,3,6,3
E06000021,Stoke-on-Trent,2,2024,-2.1854603333333333,53.01632855555555,0,0,0,0,0,30,1,3,6,3
E06000021,Stoke-on-Trent,3,2019,-2.145099142857143,53.03755228571429,5,7,0,2,3,30,1,3,6,3
E06000021,Stoke-on-Trent,3,2020,-2.145099142857143,53.03755228571429,2,4,0,0,2,30,1,3,6,3
E06000021,Stoke-on-Trent,3,2021,-2.145099142857143,53.03755228571429,0,0,0,0,0,30,1,3,6,3
E06000021,Stoke-on-Trent,3,2022,-2.145099142857143,53.03755228571429,0,0,0,0,0,30,1,3,6,3
E06000021,Stoke-on-Trent,3,2023,-2.145099142857143,53.03755228571429,0,0,0,0,0,30,1,3,6,3
E06000021,Stoke-on-Trent,3,2024,-2.145099142857143,53.03755228571429,0,0,0,0,0,30,1,3,6,3
E06000021,Stoke-on-Trent,4,2019,-2.1727581666666667,52.98821083333333,4,5,0,1,3,30,1,4,3,0
E06000021,Stoke-on-Trent,4,2020,-2.1727581666666667,52.98821083333333,2,2,0,0,2,30,1,4,3,0
E06000021,Stoke-on-Trent,4,2021,-2.1727581666666667,52.98821083333333,0,0,0,0,0,30,1,4,3,0
E06000021,Stoke-on-Trent,4,2022,-2.1727581666666667,52.98821083333333,0,0,0,0,0,30,1,4,3,0
E06000021,Stoke-on-Trent,4,2023,-2.1727581666666667,52.98821083333333,0,0,0,0,0,30,1,4,3,0
E06000021,Stoke-on-Trent,4,2024,-2.1727581666666667,52.98821083333333,0,0,0,0,0,30,1,4,3,0
E06000021,Stoke-on-Trent,5,2019,-2.20105025,53.06440558333333,6,11,0,1,5,30,1,3,6,0
E06000021,Stoke-on-Trent,5,2020,-2.20105025,53.06440558333333,0,0,0,0,0,30,1,3,6,0
E06000021,Stoke-on-Trent,5,2021,-2.20105025,53.06440558333333,4,4,0,1,3,30,1,3,6,0
E06000021,Stoke-on-Trent,5,2022,-2.20105025,53.06440558333333,1,1,0,0,1,30,1,3,6,0
E06000021,Stoke-on-Trent,5,2023,-2.20105025,53.06440558333333,1,1,0,1,0,30,1,3,6,0
E06000021,Stoke-on-Trent,5,2024,-2.20105025,53.06440558333333,0,0,0,0,0,30,1,3,6,0
E06000021,Stoke-on-Trent,6,2019,-2.1779866470588236,53.0490984117647,6,9,0,2,4,30,1,4,1,1
E06000021,Stoke-on-Trent,6,2020,-2.1779866470588236,53.0490984117647,5,5,0,1,4,30,1,4,1,1
E06000021,Stoke-on-Trent,6,2021,-2.1779866470588236,53.0490984117647,3,4,0,0,3,30,1,4,1,1
E06000021,Stoke-on-Trent,6,2022,-2.1779866470588236,53.0490984117647,1,1,0,0,1,30,1,4,1,1
E06000021,Stoke-on-Trent,6,2023,-2.1779866470588236,53.0490984117647,2,4,0,0,2,30,1,4,1,1
E06000021,Stoke-on-Trent,6,2024,-2.1779866470588236,53.0490984117647,0,0,0,0,0,30,1,4,1,1
E06000021,Stoke-on-Trent,7,2019,-2.2127031818181817,53.042733727272726,5,5,0,1,4,30,1,3,6,3
E06000021,Stoke-on-Trent,7,2020,-2.2127031818181817,53.042733727272726,4,5,0,0,4,30,1,3,6,3
E06000021,Stoke-on-Trent,7,2021,-2.2127031818181817,53.042733727272726,1,1,0,0,1,30,1,3,6,3
E06000021,Stoke-on-Trent,7,2022,-2.2127031818181817,53.042733727272726,1,1,0,0,1,30,1,3,6,3
E06000021,Stoke-on-Trent,7,2023,-2.2127031818181817,53.042733727272726,0,0,0,0,0,30,1,3,6,3
E06000021,Stoke-on-Trent,7,2024,-2.2127031818181817,53.042733727272726,0,0,0,0,0,30,1,3,6,3
E06000021,Stoke-on-Trent,8,2019,-2.1425153333333333,52.98941533333333,2,2,0,1,1,50,1,3,3,0
E06000021,Stoke-on-Trent,8,2020,-2.1425153333333333,52.98941533333333,1,1,0,0,1,50,1,3,3,0
E06000021,Stoke-on-Trent,8,2021,-2.1425153333333333,52.98941533333333,3,5,0,0,3,50,1,3,3,0
E06000021,Stoke-on-Trent,8,2022,-2.1425153333333333,52.98941533333333,5,5,1,0,4,50,1,3,3,0
E06000021,Stoke-on-Trent,8,2023,-2.1425153333333333,52.98941533333333,1,1,0,0,1,50,1,3,3,0
E06000021,Stoke-on-Trent,8,2024,-2.1425153333333333,52.98941533333333,0,0,0,0,0,50,1,3,3,0
E06000021,Stoke-on-Trent,9,2019,-2.1743326,53.0283577,3,3,0,1,2,30,1,6,6,0
E06000021,Stoke-on-Trent,9,2020,-2.1743326,53.0283577,2,2,0,0,2,30,1,6,6,0
E06000021,Stoke-on-Trent,9,2021,-2.1743326,53.0283577,3,4,0,0,3,30,1,6,6,0
E06000021,Stoke-on-Trent,9,2022,-2.1743326,53.0283577,1,1,0,0,1,30,1,6,6,0
E06000021,Stoke-on-Trent,9,2023,-2.1743326,53.0283577,1,1,0,0,1,30,1,6,6,0
E06000021,Stoke-on-Trent,9,2024,-2.1743326,53.0283577,0,0,0,0,0,30,1,6,6,0
E06000021,Stoke-on-Trent,10,2019,-2.119639,52.979598714285714,4,5,0,1,3,30,1,6,6,3
E06000021,Stoke-on-Trent,10,2020,-2.119639,52.979598714285714,0,0,0,0,0,30,1,6,6,3
E06000021,Stoke-on-Trent,10,2021,-2.119639,52.979598714285714,1,1,0,0,1,30,1,6,6,3
E06000021,Stoke-on-Trent,10,2022,-2.119639,52.979598714285714,1,1,0,0,1,30,1,6,6,3
E06000021,Stoke-on-Trent,10,2023,-2.119639,52.979598714285714,1,1,0,0,1,30,1,6,6,3
E06000021,Stoke-on-Trent,10,2024,-2.119639,52.979598714285714,0,0,0,0,0,30,1,6,6,3
E06000021,Stoke-on-Trent,11,2019,-2.1955322857142856,53.04645542857143,2,2,0,0,2,30,1,3,6,3
E06000021,Stoke-on-Trent,11,2020,-2.1955322857142856,53.04645542857143,4,5,0,0,4,30,1,3,6,3
E06000021,Stoke-on-Trent,11,2021,-2.1955322857142856,53.04645542857143,0,0,0,0,0,30,1,3,6,3
E06000021,Stoke-on-Trent,11,2022,-2.1955322857142856,53.04645542857143,1,1,0,0,1,30,1,3,6,3
E06000021,Stoke-on-Trent,11,2023,-2.1955322857142856,53.04645542857143,0,0,0,0,0,30,1,3,6,3
E06000021,Stoke-on-Trent,11,2024,-2.1955322857142856,53.04645542857143,0,0,0,0,0,30,1,3,6,3
E06000021,Stoke-on-Trent,12,2019,-2.1695153529411764,53.01484823529412,5,10,0,1,4,30,1,3,6,0
