la_code,la_name,cluster_id,year,centroid_lon,centroid_lat,n_collisions,n_casualties,n_fatal,n_serious,n_slight,speed_limit,urban_or_rural,first_road_class,road_type,junction_detail
E09000029,Sutton,1,2019,-0.1826756,51.381393,4,7,0,0,4,30,1,4,6,0
E09000029,Sutton,1,2020,-0.1826756,51.381393,0,0,0,0,0,30,1,4,6,0
E09000029,Sutton,1,2021,-0.1826756,51.381393,2,2,0,0,2,30,1,4,6,0
E09000029,Sutton,1,2022,-0.1826756,51.381393,2,2,0,0,2,30,1,4,6,0
E09000029,Sutton,1,2023,-0.1826756,51.381393,2,2,0,1,1,30,1,4,6,0
E09000029,Sutton,1,2024,-0.1826756,51.381393,0,0,0,0,0,30,1,4,6,0
E09000029,Sutton,2,2019,-0.18951727941176472,51.384221102941176,13,13,0,2,11,30,1,3,1,1
E09000029,Sutton,2,2020,-0.18951727941176472,51.384221102941176,13,14,1,2,10,30,1,3,1,1
E09000029,Sutton,2,2021,-0.18951727941176472,51.384221102941176,10,18,0,0,10,30,1,3,1,1
E09000029,Sutton,2,2022,-0.18951727941176472,51.384221102941176,19,21,0,4,15,30,1,3,1,1
E09000029,Sutton,2,2023,-0.18951727941176472,51.384221102941176,13,16,0,1,12,30,1,3,1,1
E09000029,Sutton,2,2024,-0.18951727941176472,51.384221102941176,0,0,0,0,0,30,1,3,1,1
E09000029,Sutton,3,2019,-0.1402203125,51.352587,6,7,0,1,5,30,1,5,6,3
E09000029,Sutton,3,2020,-0.1402203125,51.352587,3,4,0,0,3,30,1,5,6,3
E09000029,Sutton,3,2021,-0.1402203125,51.352587,3,4,0,0,3,30,1,5,6,3
E09000029,Sutton,3,2022,-0.1402203125,51.352587,1,1,0,0,1,30,1,5,6,3
E09000029,Sutton,3,2023,-0.1402203125,51.352587,3,4,0,0,3,30,1,5,6,3
E09000029,Sutton,3,2024,-0.1402203125,51.352587,0,0,0,0,0,30,1,5,6,3
E09000029,Sutton,4,2019,-0.1729318823529412,51.37990123529412,5,5,0,0,5,30,1,5,6,3
E09000029,Sutton,4,2020,-0.1729318823529412,51.37990123529412,3,4,0,0,3,30,1,5,6,3
E09000029,Sutton,4,2021,-0.1729318823529412,51.37990123529412,4,4,0,1,3,30,1,5,6,3
E09000029,Sutton,4,2022,-0.1729318823529412,51.37990123529412,5,6,0,0,5,30,1,5,6,3
E09000029,Sutton,4,2023,-0.1729318823529412,51.37990123529412,0,0,0,0,0,30,1,5,6,3
E09000029,Sutton,4,2024,-0.1729318823529412,51.37990123529412,0,0,0,0,0,30,1,5,6,3
E09000029,Sutton,5,2019,-0.1293588125,51.3543794375,6,9,0,1,5,30,1,5,6,0
E09000029,Sutton,5,2020,-0.1293588125,51.3543794375,4,5,0,1,3,30,1,5,6,0
E09000029,Sutton,5,2021,-0.1293588125,51.3543794375,1,1,0,0,1,30,1,5,6,0
E09000029,Sutton,5,2022,-0.1293588125,51.3543794375,4,4,0,0,4,30,1,5,6,0
E09000029,Sutton,5,2023,-0.1293588125,51.3543794375,1,1,0,1,0,30,1,5,6,0
E09000029,Sutton,5,2024,-0.1293588125,51.3543794375,0,0,0,0,0,30,1,5,6,0
