la_code,la_name,cluster_id,year,centroid_lon,centroid_lat,n_collisions,n_casualties,n_fatal,n_serious,n_slight,speed_limit,urban_or_rural,first_road_class,road_type,junction_detail
W06000011,Swansea,1,2019,-4.0408471666666665,51.715039,2,2,1,0,1,30,2,3,6,0
W06000011,Swansea,1,2020,-4.0408471666666665,51.715039,2,3,0,0,2,30,2,3,6,0
W06000011,Swansea,1,2021,-4.0408471666666665,51.715039,0,0,0,0,0,30,2,3,6,0
W06000011,Swansea,1,2022,-4.0408471666666665,51.715039,0,0,0,0,0,30,2,3,6,0
W06000011,Swansea,1,2023,-4.0408471666666665,51.715039,0,0,0,0,0,30,2,3,6,0
W06000011,Swansea,1,2024,-4.0408471666666665,51.715039,2,2,0,0,0,30,2,3,6,0
W06000011,Swansea,2,2019,-3.9567097857142857,51.61497207142857,7,8,0,0,7,30,1,6,6,6
W06000011,Swansea,2,2020,-3.9567097857142857,51.61497207142857,0,0,0,0,0,30,1,6,6,6
W06000011,Swansea,2,2021,-3.9567097857142857,51.61497207142857,1,1,0,0,1,30,1,6,6,6
W06000011,Swansea,2,2022,-3.9567097857142857,51.61497207142857,3,3,0,0,3,30,1,6,6,6
W06000011,Swansea,2,2023,-3.9567097857142857,51.61497207142857,0,0,0,0,0,30,1,6,6,6
W06000011,Swansea,2,2024,-3.9567097857142857,51.61497207142857,1,1,0,0,0,30,1,6,6,6
W06000011,Swansea,2,2025,-3.9567097857142857,51.61497207142857,2,2,0,0,0,30,1,6,6,6
W06000011,Swansea,3,2019,-4.052838333333333,51.66923066666667,2,2,0,0,2,30,1,6,6,3
W06000011,Swansea,3,2020,-4.052838333333333,51.66923066666667,0,0,0,0,0,30,1,6,6,3
W06000011,Swansea,3,2021,-4.052838333333333,51.66923066666667,0,0,0,0,0,30,1,6,6,3
W06000011,Swansea,3,2022,-4.052838333333333,51.66923066666667,1,1,0,1,0,30,1,6,6,3
W06000011,Swansea,3,2023,-4.052838333333333,51.66923066666667,0,0,0,0,0,30,1,6,6,3
W06000011,Swansea,3,2024,-4.052838333333333,51.66923066666667,0,0,0,0,0,30,1,6,6,3
W06000011,Swansea,4,2019,-3.936579666666667,51.62015433333333,5,6,0,1,4,30,1,3,3,6
W06000011,Swansea,4,2020,-3.936579666666667,51.62015433333333,0,0,0,0,0,30,1,3,3,6
W06000011,Swansea,4,2021,-3.936579666666667,51.62015433333333,3,3,0,0,3,30,1,3,3,6
W06000011,Swansea,4,2022,-3.936579666666667,51.62015433333333,1,1,0,0,1,30,1,3,3,6
W06000011,Swansea,4,2023,-3.936579666666667,51.62015433333333,2,2,0,2,0,30,1,3,3,6
W06000011,Swansea,4,2024,-3.936579666666667,51.62015433333333,2,2,0,0,0,30,1,3,3,6
W06000011,Swansea,4,2025,-3.936579666666667,51.62015433333333,2,2,0,0,0,30,1,3,3,6
