la_code,la_name,cluster_id,year,centroid_lon,centroid_lat,n_collisions,n_casualties,n_fatal,n_serious,n_slight,speed_limit,urban_or_rural,first_road_class,road_type,junction_detail
E08000008,Tameside,1,2019,-2.059461833333333,53.491794166666665,1,1,0,0,1,30,1,6,6,3
E08000008,Tameside,1,2020,-2.059461833333333,53.491794166666665,1,2,0,0,1,30,1,6,6,3
E08000008,Tameside,1,2021,-2.059461833333333,53.491794166666665,0,0,0,0,0,30,1,6,6,3
E08000008,Tameside,1,2022,-2.059461833333333,53.491794166666665,1,3,0,1,0,30,1,6,6,3
E08000008,Tameside,1,2023,-2.059461833333333,53.491794166666665,0,0,0,0,0,30,1,6,6,3
E08000008,Tameside,1,2024,-2.059461833333333,53.491794166666665,2,2,0,0,0,30,1,6,6,3
E08000008,Tameside,1,2025,-2.059461833333333,53.491794166666665,1,1,0,0,0,30,1,6,6,3
E08000008,Tameside,2,2019,-2.083719,53.50832233333333,1,1,0,0,1,20,1,6,6,0
E08000008,Tameside,2,2020,-2.083719,53.50832233333333,1,1,0,1,0,20,1,6,6,0
E08000008,Tameside,2,2021,-2.083719,53.50832233333333,0,0,0,0,0,20,1,6,6,0
E08000008,Tameside,2,2022,-2.083719,53.50832233333333,0,0,0,0,0,20,1,6,6,0
E08000008,Tameside,2,2023,-2.083719,53.50832233333333,0,0,0,0,0,20,1,6,6,0
E08000008,Tameside,2,2024,-2.083719,53.50832233333333,1,1,0,0,0,20,1,6,6,0
E08000008,Tameside,3,2019,-2.0978299393939395,53.485981151515155,9,13,0,0,9,30,1,3,6,6
E08000008,Tameside,3,2020,-2.0978299393939395,53.485981151515155,4,6,0,2,2,30,1,3,6,6
E08000008,Tameside,3,2021,-2.0978299393939395,53.485981151515155,2,8,0,1,1,30,1,3,6,6
E08000008,Tameside,3,2022,-2.0978299393939395,53.485981151515155,4,4,0,3,1,30,1,3,6,6
E08000008,Tameside,3,2023,-2.0978299393939395,53.485981151515155,7,8,0,0,7,30,1,3,6,6
E08000008,Tameside,3,2024,-2.0978299393939395,53.485981151515155,5,5,0,0,0,30,1,3,6,6
E08000008,Tameside,3,2025,-2.0978299393939395,53.485981151515155,2,4,0,0,0,30,1,3,6,6
E08000008,Tameside,4,2019,-2.090760714285714,53.474116714285714,3,3,0,0,3,30,1,3,6,0
E08000008,Tameside,4,2020,-2.090760714285714,53.474116714285714,0,0,0,0,0,30,1,3,6,0
E08000008,Tameside,4,2021,-2.090760714285714,53.474116714285714,3,6,0,1,2,30,1,3,6,0
E08000008,Tameside,4,2022,-2.090760714285714,53.474116714285714,0,0,0,0,0,30,1,3,6,0
E08000008,Tameside,4,2023,-2.090760714285714,53.474116714285714,0,0,0,0,0,30,1,3,6,0
E08000008,Tameside,4,2024,-2.090760714285714,53.474116714285714,0,0,0,0,0,30,1,3,6,0
E08000008,Tameside,4,2025,-2.090760714285714,53.474116714285714,1,1,0,0,0,30,1,3,6,0
E08000008,Tameside,5,2019,-2.11272775,53.476843,2,2,0,0,2,30,1,3,6,6
E08000008,Tameside,5,2020,-2.11272775,53.476843,3,3,1,1,1,30,1,3,6,6
E08000008,Tameside,5,2021,-2.11272775,53.476843,1,1,0,1,0,30,1,3,6,6
E08000008,Tameside,5,2022,-2.11272775,53.476843,2,2,0,0,2,30,1,3,6,6
E08000008,Tameside,5,2023,-2.11272775,53.476843,2,2,0,0,2,30,1,3,6,6
E08000008,Tameside,5,2024,-2.11272775,53.476843,0,0,0,0,0,30,1,3,6,6
E08000008,Tameside,5,2025,-2.11272775,53.476843,2,2,0,0,0,30,1,3,6,6
E08000008,Tameside,6,2019,-2.0507178095238094,53.48358319047619,3,3,0,0,3,30,1,3,6,3
E08000008,Tameside,6,2020,-2.0507178095238094,53.48358319047619,3,4,0,0,3,30,1,3,6,3
E08000008,Tameside,6,2021,-2.0507178095238094,53.48358319047619,3,3,1,0,2,30,1,3,6,3
E08000008,Tameside,6,2022,-2.0507178095238094,53.48358319047619,1,2,0,1,0,30,1,3,6,3
E08000008,Tameside,6,2023,-2.0507178095238094,53.48358319047619,7,8,0,2,5,30,1,3,6,3
E08000008,Tameside,6,2024,-2.0507178095238094,53.48358319047619,3,3,0,0,0,30,1,3,6,3
