la_code,la_name,cluster_id,year,centroid_lon,centroid_lat,n_collisions,n_casualties,n_fatal,n_serious,n_slight,speed_limit,urban_or_rural,first_road_class,road_type,junction_detail
E06000027,Torbay,1,2019,-3.5265694210526317,50.46776405263158,5,6,0,2,3,30,1,6,6,0
E06000027,Torbay,1,2020,-3.5265694210526317,50.46776405263158,4,4,0,1,3,30,1,6,6,0
E06000027,Torbay,1,2021,-3.5265694210526317,50.46776405263158,2,3,0,0,2,30,1,6,6,0
E06000027,Torbay,1,2022,-3.5265694210526317,50.46776405263158,1,1,0,1,0,30,1,6,6,0
E06000027,Torbay,1,2023,-3.5265694210526317,50.46776405263158,4,5,0,0,4,30,1,6,6,0
E06000027,Torbay,1,2024,-3.5265694210526317,50.46776405263158,3,3,0,0,0,30,1,6,6,0
E06000027,Torbay,2,2019,-3.561075166666667,50.477645,2,4,0,1,1,30,1,6,6,0
E06000027,Torbay,2,2020,-3.561075166666667,50.477645,0,0,0,0,0,30,1,6,6,0
E06000027,Torbay,2,2021,-3.561075166666667,50.477645,1,1,0,0,1,30,1,6,6,0
E06000027,Torbay,2,2022,-3.561075166666667,50.477645,0,0,0,0,0,30,1,6,6,0
E06000027,Torbay,2,2023,-3.561075166666667,50.477645,2,3,0,0,2,30,1,6,6,0
E06000027,Torbay,2,2024,-3.561075166666667,50.477645,0,0,0,0,0,30,1,6,6,0
E06000027,Torbay,2,2025,-3.561075166666667,50.477645,1,1,0,0,0,30,1,6,6,0
E06000027,Torbay,3,2019,-3.5314414285714286,50.48680485714286,3,4,0,0,3,30,1,4,6,0
E06000027,Torbay,3,2020,-3.5314414285714286,50.48680485714286,1,1,0,0,1,30,1,4,6,0
E06000027,Torbay,3,2021,-3.5314414285714286,50.48680485714286,2,3,0,1,1,30,1,4,6,0
E06000027,Torbay,3,2022,-3.5314414285714286,50.48680485714286,0,0,0,0,0,30,1,4,6,0
E06000027,Torbay,3,2023,-3.5314414285714286,50.48680485714286,0,0,0,0,0,30,1,4,6,0
E06000027,Torbay,3,2024,-3.5314414285714286,50.48680485714286,1,4,0,0,0,30,1,4,6,0
E06000027,Torbay,4,2019,-3.5348462666666665,50.48289846666667,8,10,0,2,6,30,1,6,6,0
E06000027,Torbay,4,2020,-3.5348462666666665,50.48289846666667,3,3,0,1,2,30,1,6,6,0
E06000027,Torbay,4,2021,-3.5348462666666665,50.48289846666667,3,3,0,2,1,30,1,6,6,0
E06000027,Torbay,4,2022,-3.5348462666666665,50.48289846666667,5,6,0,0,5,30,1,6,6,0
E06000027,Torbay,4,2023,-3.5348462666666665,50.48289846666667,5,5,0,3,2,30,1,6,6,0
E06000027,Torbay,4,2024,-3.5348462666666665,50.48289846666667,5,6,0,0,0,30,1,6,6,0
E06000027,Torbay,4,2025,-3.5348462666666665,50.48289846666667,1,1,0,0,0,30,1,6,6,0
E06000027,Torbay,5,2019,-3.5266617916666667,50.46191258333333,5,5,1,2,2,30,1,3,3,0
E06000027,Torbay,5,2020,-3.5266617916666667,50.46191258333333,1,1,0,0,1,30,1,3,3,0
E06000027,Torbay,5,2021,-3.5266617916666667,50.46191258333333,3,3,0,1,2,30,1,3,3,0
E06000027,Torbay,5,2022,-3.5266617916666667,50.46191258333333,7,7,0,1,6,30,1,3,3,0
E06000027,Torbay,5,2023,-3.5266617916666667,50.46191258333333,6,8,0,0,6,30,1,3,3,0
E06000027,Torbay,5,2024,-3.5266617916666667,50.46191258333333,2,2,0,0,0,30,1,3,3,0
E06000027,Torbay,6,2019,-3.5287513846153846,50.47233915384616,4,4,0,2,2,30,1,6,6,3
E06000027,Torbay,6,2020,-3.5287513846153846,50.47233915384616,3,4,0,0,3,30,1,6,6,3
E06000027,Torbay,6,2021,-3.5287513846153846,50.47233915384616,2,2,0,0,2,30,1,6,6,3
E06000027,Torbay,6,2022,-3.5287513846153846,50.47233915384616,2,2,0,0,2,30,1,6,6,3
E06000027,Torbay,6,2023,-3.5287513846153846,50.47233915384616,0,0,0,0,0,30,1,6,6,3
E06000027,Torbay,6,2024,-3.5287513846153846,50.47233915384616,1,1,0,0,0,30,1,6,6,3
E06000027,Torbay,6,2025,-3.5287513846153846,50.47233915384616,1,1,0,0,0,30,1,6,6,3
E06000027,Torbay,7,2019,-3.568764263157895,50.43854636842105,2,2,0,0,2,30,1,3,6,3
E06000027,Torbay,7,2020,-3.568764263157895,50.43854636842105,0,0,0,0,0,30,1,3,6,3
E06000027,Torbay,7,2021,-3.568764263157895,50.43854636842105,6,8,0,0,6,30,1,3,6,3
E06000027,Torbay,7,2022,-3.568764263157895,50.43854636842105,3,3,0,0,3,30,1,3,6,3
E06000027,Torbay,7,2023,-3.568764263157895,50.43854636842105,5,9,0,2,3,30,1,3,6,3
E06000027,Torbay,7,2024,-3.568764263157895,50.43854636842105,2,2,0,0,0,30,1,3,6,3
E06000027,Torbay,7,2025,-3.568764263157895,50.43854636842105,1,1,0,0,0,30,1,3,6,3
E06000027,Torbay,8,2019,-3.571444076923077,50.48586776923077,3,3,0,1,2,40,2,3,3,0
E06000027,Torbay,8,2020,-3.571444076923077,50.48586776923077,2,2,0,1,1,40,2,3,3,0
E06000027,Torbay,8,2021,-3.571444076923077,50.48586776923077,2,2,0,1,1,40,2,3,3,0
E06000027,Torbay,8,2022,-3.571444076923077,50.48586776923077,1,2,0,0,1,40,2,3,3,0
E06000027,Torbay,8,2023,-3.571444076923077,50.48586776923077,3,3,0,0,3,40,2,3,3,0
E06000027,Torbay,8,2024,-3.571444076923077,50.48586776923077,1,2,0,0,0,40,2,3,3,0
E06000027,Torbay,8,2025,-3.571444076923077,50.48586776923077,1,1,0,0,0,40,2,3,3,0
E06000027,Torbay,9,2019,-3.5260464,50.385173,1,1,0,0,1,30,1,6,6,3
E06000027,Torbay,9,2020,-3.5260464,50.385173,0,0,0,0,0,30,1,6,6,3
E06000027,Torbay,9,2021,-3.5260464,50.385173,1,1,0,0,1,30,1,6,6,3
E06000027,Torbay,9,2022,-3.5260464,50.385173,0,0,0,0,0,30,1,6,6,3
E06000027,Torbay,9,2023,-3.5260464,50.385173,0,0,0,0,0,30,1,6,6,3
E06000027,Torbay,9,2024,-3.5260464,50.385173,2,2,0,0,0,30,1,6,6,3
E06000027,Torbay,9,2025,-3.5260464,50.385173,1,1,0,0,0,30,1,6,6,3
E06000027,Torbay,10,2019,-3.5254563076923078,50.389801769230765,3,4,0,1,2,30,1,3,6,3
E06000027,Torbay,10,2020,-3.5254563076923078,50.389801769230765,0,0,0,0,0,30,1,3,6,3
E06000027,Torbay,10,2021,-3.5254563076923078,50.389801769230765,2,2,0,0,2,30,1,3,6,3
E06000027,Torbay,10,2022,-3.5254563076923078,50.389801769230765,2,3,0,1,1,30,1,3,6,3
E06000027,Torbay,10,2023,-3.5254563076923078,50.389801769230765,2,3,0,0,2,30,1,3,6,3
E06000027,Torbay,10,2024,-3.5254563076923078,50.389801769230765,2,4,0,0,0,30,1,3,6,3
E06000027,Torbay,10,2025,-3.5254563076923078,50.389801769230765,2,2,0,0,0,30,1,3,6,3
E06000027,Torbay,11,2019,-3.506686733333334,50.46706973333333,5,6,0,0,5,30,1,6,6,0
E06000027,Torbay,11,2020,-3.506686733333334,50.46706973333333,1,1,0,0,1,30,1,6,6,0
E06000027,Torbay,11,2021,-3.506686733333334,50.46706973333333,1,1,0,0,1,30,1,6,6,0
E06000027,Torbay,11,2022,-3.506686733333334,50.46706973333333,2,2,0,0,2,30,1,6,6,0
E06000027,Torbay,11,2023,-3.506686733333334,50.46706973333333,3,3,0,0,3,30,1,6,6,0
E06000027,Torbay,11,2024,-3.506686733333334,50.46706973333333,3,5,0,0,0,30,1,6,6,0
E06000027,Torbay,12,2019,-3.5883762666666668,50.42502746666666,4,6,0,2,2,30,1,3,3,0
E06000027,Torbay,12,2020,-3.5883762666666668,50.42502746666666,0,0,0,0,0,30,1,3,3,0
E06000027,Torbay,12,2021,-3.5883762666666668,50.42502746666666,5,6,0,0,5,30,1,3,3,0
E06000027,Torbay,12,2022,-3.5883762666666668,50.42502746666666,2,2,0,1,1,30,1,3,3,0
E06000027,Torbay,12,2023,-3.5883762666666668,50.42502746666666,1,1,0,1,0,30,1,3,3,0
E06000027,Torbay,12,2024,-3.5883762666666668,50.42502746666666,3,3,0,0,0,30,1,3,3,0
E06000027,Torbay,13,2019,-3.5620323333333332,50.42025183333333,1,2,0,0,1,30,1,3,6,3
E06000027,Torbay,13,2020,-3.5620323333333332,50.42025183333333,0,0,0,0,0,30,1,3,6,3
E06000027,Torbay,13,2021,-3.5620323333333332,50.42025183333333,1,1,0,0,1,30,1,3,6,3
E06000027,Torbay,13,2022,-3.5620323333333332,50.42025183333333,3,4,0,1,2,30,1,3,6,3
E06000027,Torbay,13,2023,-3.5620323333333332,50.42025183333333,1,1,0,0,1,30,1,3,6,3
E06000027,Torbay,13,2024,-3.5620323333333332,50.42025183333333,0,0,0,0,0,30,1,3,6,3
E06000027,Torbay,14,2019,-3.5887685,50.42967496153846,6,7,0,2,4,30,1,3,6,0
E06000027,Torbay,14,2020,-3.5887685,50.42967496153846,7,7,0,0,7,30,1,3,6,0
E06000027,Torbay,14,2021,-3.5887685,50.42967496153846,3,4,0,1,2,30,1,3,6,0
E06000027,Torbay,14,2022,-3.5887685,50.42967496153846,4,9,1,2,1,30,1,3,6,0
E06000027,Torbay,14,2023,-3.5887685,50.42967496153846,3,5,0,1,2,30,1,3,6,0
E06000027,Torbay,14,2024,-3.5887685,50.42967496153846,3,3,0,0,0,30,1,3,6,0
