la_code,la_name,cluster_id,year,centroid_lon,centroid_lat,n_collisions,n_casualties,n_fatal,n_serious,n_slight,speed_limit,urban_or_rural,first_road_class,road_type,junction_detail
W06000020,Torfaen,1,2019,-3.02750775,51.6815025,2,2,0,0,2,30,1,6,6,0
W06000020,Torfaen,1,2020,-3.02750775,51.6815025,0,0,0,0,0,30,1,6,6,0
W06000020,Torfaen,1,2021,-3.02750775,51.6815025,0,0,0,0,0,30,1,6,6,0
W06000020,Torfaen,1,2022,-3.02750775,51.6815025,1,2,0,1,0,30,1,6,6,0
W06000020,Torfaen,1,2023,-3.02750775,51.6815025,1,1,0,0,1,30,1,6,6,0
W06000020,Torfaen,1,2024,-3.02750775,51.6815025,0,0,0,0,0,30,1,6,6,0
W06000020,Torfaen,2,2019,-3.0195676923076924,51.655838230769234,3,4,0,1,2,30,1,6,6,0
W06000020,Torfaen,2,2020,-3.0195676923076924,51.655838230769234,1,1,0,0,1,30,1,6,6,0
W06000020,Torfaen,2,2021,-3.0195676923076924,51.655838230769234,3,3,0,2,1,30,1,6,6,0
W06000020,Torfaen,2,2022,-3.0195676923076924,51.655838230769234,4,4,0,1,3,30,1,6,6,0
W06000020,Torfaen,2,2023,-3.0195676923076924,51.655838230769234,2,2,0,0,2,30,1,6,6,0
W06000020,Torfaen,2,2024,-3.0195676923076924,51.655838230769234,0,0,0,0,0,30,1,6,6,0
W06000020,Torfaen,3,2019,-3.0218216,51.6934743,7,7,0,0,7,50,1,3,1,1
W06000020,Torfaen,3,2020,-3.0218216,51.6934743,5,5,0,1,4,50,1,3,1,1
W06000020,Torfaen,3,2021,-3.0218216,51.6934743,2,2,0,1,1,50,1,3,1,1
W06000020,Torfaen,3,2022,-3.0218216,51.6934743,3,4,0,0,3,50,1,3,1,1
W06000020,Torfaen,3,2023,-3.0218216,51.6934743,3,4,0,1,2,50,1,3,1,1
W06000020,Torfaen,3,2024,-3.0218216,51.6934743,0,0,0,0,0,50,1,3,1,1
