la_code,la_name,cluster_id,year,centroid_lon,centroid_lat,n_collisions,n_casualties,n_fatal,n_serious,n_slight,speed_limit,urban_or_rural,first_road_class,road_type,junction_detail
E09000030,Tower Hamlets,1,2019,-0.00966345,51.499773,6,7,0,1,5,20,1,3,6,1
E09000030,Tower Hamlets,1,2020,-0.00966345,51.499773,8,8,0,2,6,20,1,3,6,1
E09000030,Tower Hamlets,1,2021,-0.00966345,51.499773,3,7,0,0,3,20,1,3,6,1
E09000030,Tower Hamlets,1,2022,-0.00966345,51.499773,3,3,0,0,3,20,1,3,6,1
E09000030,Tower Hamlets,1,2023,-0.00966345,51.499773,4,4,0,0,4,20,1,3,6,1
E09000030,Tower Hamlets,1,2024,-0.00966345,51.499773,0,0,0,0,0,20,1,3,6,1
E09000030,Tower Hamlets,2,2019,-0.03483293495934959,51.525095666666665,30,36,0,6,24,30,1,3,6,0
E09000030,Tower Hamlets,2,2020,-0.03483293495934959,51.525095666666665,24,25,0,4,20,30,1,3,6,0
E09000030,Tower Hamlets,2,2021,-0.03483293495934959,51.525095666666665,28,30,0,7,21,30,1,3,6,0
E09000030,Tower Hamlets,2,2022,-0.03483293495934959,51.525095666666665,21,22,0,3,18,30,1,3,6,0
E09000030,Tower Hamlets,2,2023,-0.03483293495934959,51.525095666666665,25,33,0,5,20,30,1,3,6,0
E09000030,Tower Hamlets,2,2024,-0.03483293495934959,51.525095666666665,0,0,0,0,0,30,1,3,6,0
E09000030,Tower Hamlets,3,2019,-0.06840142372881355,51.511611949152545,14,14,0,3,11,20,1,4,2,3
E09000030,Tower Hamlets,3,2020,-0.06840142372881355,51.511611949152545,10,10,0,1,9,20,1,4,2,3
E09000030,Tower Hamlets,3,2021,-0.06840142372881355,51.511611949152545,10,12,0,3,7,20,1,4,2,3
E09000030,Tower Hamlets,3,2022,-0.06840142372881355,51.511611949152545,11,11,0,2,9,20,1,4,2,3
E09000030,Tower Hamlets,3,2023,-0.06840142372881355,51.511611949152545,9,9,0,2,7,20,1,4,2,3
E09000030,Tower Hamlets,3,2024,-0.06840142372881355,51.511611949152545,0,0,0,0,0,20,1,4,2,3
E09000030,Tower Hamlets,4,2019,-0.04678353773584905,51.522126433962264,13,14,0,1,12,20,1,3,6,3
E09000030,Tower Hamlets,4,2020,-0.04678353773584905,51.522126433962264,23,26,0,1,22,20,1,3,6,3
E09000030,Tower Hamlets,4,2021,-0.04678353773584905,51.522126433962264,25,28,1,4,20,20,1,3,6,3
E09000030,Tower Hamlets,4,2022,-0.04678353773584905,51.522126433962264,18,18,0,0,18,20,1,3,6,3
E09000030,Tower Hamlets,4,2023,-0.04678353773584905,51.522126433962264,25,27,0,3,22,20,1,3,6,3
E09000030,Tower Hamlets,4,2024,-0.04678353773584905,51.522126433962264,0,0,0,0,0,20,1,3,6,3
E09000030,Tower Hamlets,5,2019,-0.02978348,51.50851338,14,20,0,2,12,30,1,3,6,0
E09000030,Tower Hamlets,5,2020,-0.02978348,51.50851338,7,12,0,1,6,30,1,3,6,0
E09000030,Tower Hamlets,5,2021,-0.02978348,51.50851338,5,6,0,1,4,30,1,3,6,0
E09000030,Tower Hamlets,5,2022,-0.02978348,51.50851338,14,15,0,2,12,30,1,3,6,0
E09000030,Tower Hamlets,5,2023,-0.02978348,51.50851338,4,5,0,0,4,30,1,3,6,0
E09000030,Tower Hamlets,5,2024,-0.02978348,51.50851338,0,0,0,0,0,30,1,3,6,0
E09000030,Tower Hamlets,6,2019,-0.04226591111111111,51.53328502222222,8,9,0,1,7,20,1,3,1,1
E09000030,Tower Hamlets,6,2020,-0.04226591111111111,51.53328502222222,5,5,0,2,3,20,1,3,1,1
E09000030,Tower Hamlets,6,2021,-0.04226591111111111,51.53328502222222,17,18,0,3,14,20,1,3,1,1
E09000030,Tower Hamlets,6,2022,-0.04226591111111111,51.53328502222222,8,8,0,1,7,20,1,3,1,1
E09000030,Tower Hamlets,6,2023,-0.04226591111111111,51.53328502222222,7,9,0,0,7,20,1,3,1,1
E09000030,Tower Hamlets,6,2024,-0.04226591111111111,51.53328502222222,0,0,0,0,0,20,1,3,1,1
E09000030,Tower Hamlets,7,2019,-0.02302151724137931,51.5178234137931,5,5,0,0,5,20,1,4,6,3
E09000030,Tower Hamlets,7,2020,-0.02302151724137931,51.5178234137931,3,3,0,0,3,20,1,4,6,3
E09000030,Tower Hamlets,7,2021,-0.02302151724137931,51.5178234137931,5,6,0,1,4,20,1,4,6,3
E09000030,Tower Hamlets,7,2022,-0.02302151724137931,51.5178234137931,13,14,0,5,8,20,1,4,6,3
E09000030,Tower Hamlets,7,2023,-0.02302151724137931,51.5178234137931,6,7,0,0,6,20,1,4,6,3
E09000030,Tower Hamlets,7,2024,-0.02302151724137931,51.5178234137931,0,0,0,0,0,20,1,4,6,3
E09000030,Tower Hamlets,8,2019,-0.02704914545454545,51.53642081818182,8,9,0,1,7,20,1,4,6,0
E09000030,Tower Hamlets,8,2020,-0.02704914545454545,51.53642081818182,6,6,0,2,4,20,1,4,6,0
E09000030,Tower Hamlets,8,2021,-0.02704914545454545,51.53642081818182,17,18,0,3,14,20,1,4,6,0
E09000030,Tower Hamlets,8,2022,-0.02704914545454545,51.53642081818182,12,15,0,0,12,20,1,4,6,0
E09000030,Tower Hamlets,8,2023,-0.02704914545454545,51.53642081818182,11,11,0,4,7,20,1,4,6,0
E09000030,Tower Hamlets,8,2024,-0.02704914545454545,51.53642081818182,0,0,0,0,0,20,1,4,6,0
E09000030,Tower Hamlets,9,2019,-0.07082430894308943,51.51536524390244,34,37,0,6,28,20,1,3,6,3
E09000030,Tower Hamlets,9,2020,-0.07082430894308943,51.51536524390244,23,24,0,5,18,20,1,3,6,3
E09000030,Tower Hamlets,9,2021,-0.07082430894308943,51.51536524390244,26,26,1,2,23,20,1,3,6,3
E09000030,Tower Hamlets,9,2022,-0.07082430894308943,51.51536524390244,37,40,0,3,34,20,1,3,6,3
E09000030,Tower Hamlets,9,2023,-0.07082430894308943,51.51536524390244,15,15,0,1,14,20,1,3,6,3
E09000030,Tower Hamlets,9,2024,-0.07082430894308943,51.51536524390244,0,0,0,0,0,20,1,3,6,3
E09000030,Tower Hamlets,10,2019,-0.04222236363636363,51.5129618,24,25,0,5,19,30,1,3,6,3
E09000030,Tower Hamlets,10,2020,-0.04222236363636363,51.5129618,22,23,0,3,19,30,1,3,6,3
E09000030,Tower Hamlets,10,2021,-0.04222236363636363,51.5129618,22,23,0,4,18,30,1,3,6,3
E09000030,Tower Hamlets,10,2022,-0.04222236363636363,51.5129618,23,26,0,3,20,30,1,3,6,3
E09000030,Tower Hamlets,10,2023,-0.04222236363636363,51.5129618,19,20,0,1,18,30,1,3,6,3
E09000030,Tower Hamlets,10,2024,-0.04222236363636363,51.5129618,0,0,0,0,0,30,1,3,6,3
E09000030,Tower Hamlets,11,2019,-0.04003151851851851,51.53028609259259,12,12,0,0,12,20,1,3,6,3
E09000030,Tower Hamlets,11,2020,-0.04003151851851851,51.53028609259259,15,18,0,1,14,20,1,3,6,3
E09000030,Tower Hamlets,11,2021,-0.04003151851851851,51.53028609259259,10,13,0,1,9,20,1,3,6,3
E09000030,Tower Hamlets,11,2022,-0.04003151851851851,51.53028609259259,11,11,0,1,10,20,1,3,6,3
E09000030,Tower Hamlets,11,2023,-0.04003151851851851,51.53028609259259,7,8,0,1,6,20,1,3,6,3
E09000030,Tower Hamlets,11,2024,-0.04003151851851851,51.53028609259259,0,0,0,0,0,20,1,3,6,3
E09000030,Tower Hamlets,12,2019,-0.02805678787878788,51.51453209090909,3,3,0,0,3,30,1,3,6,3
E09000030,Tower Hamlets,12,2020,-0.02805678787878788,51.51453209090909,8,10,0,1,7,30,1,3,6,3
E09000030,Tower Hamlets,12,2021,-0.02805678787878788,51.51453209090909,7,9,0,1,6,30,1,3,6,3
E09000030,Tower Hamlets,12,2022,-0.02805678787878788,51.51453209090909,9,10,0,0,9,30,1,3,6,3
E09000030,Tower Hamlets,12,2023,-0.02805678787878788,51.51453209090909,7,8,0,1,6,30,1,3,6,3
E09000030,Tower Hamlets,12,2024,-0.02805678787878788,51.51453209090909,0,0,0,0,0,30,1,3,6,3
E09000030,Tower Hamlets,13,2019,-0.02422034615384615,51.53175276923077,7,7,0,0,7,20,1,4,6,3
E09000030,Tower Hamlets,13,2020,-0.02422034615384615,51.53175276923077,5,6,0,1,4,20,1,4,6,3
E09000030,Tower Hamlets,13,2021,-0.02422034615384615,51.53175276923077,5,5,0,0,5,20,1,4,6,3
E09000030,Tower Hamlets,13,2022,-0.02422034615384615,51.53175276923077,3,3,1,0,2,20,1,4,6,3
