la_code,la_name,cluster_id,year,centroid_lon,centroid_lat,n_collisions,n_casualties,n_fatal,n_serious,n_slight,speed_limit,urban_or_rural,first_road_class,road_type,junction_detail
E08000009,Trafford,1,2019,-2.3823295,53.447137875,3,3,0,0,3,30,1,4,6,3
E08000009,Trafford,1,2020,-2.3823295,53.447137875,1,1,0,0,1,30,1,4,6,3
E08000009,Trafford,1,2021,-2.3823295,53.447137875,3,3,0,2,1,30,1,4,6,3
E08000009,Trafford,1,2022,-2.3823295,53.447137875,0,0,0,0,0,30,1,4,6,3
E08000009,Trafford,1,2023,-2.3823295,53.447137875,0,0,0,0,0,30,1,4,6,3
E08000009,Trafford,1,2024,-2.3823295,53.447137875,0,0,0,0,0,30,1,4,6,3
E08000009,Trafford,1,2025,-2.3823295,53.447137875,1,1,0,0,0,30,1,4,6,3
E08000009,Trafford,2,2019,-2.285705346153846,53.462486346153845,8,9,0,3,5,30,1,3,3,0
E08000009,Trafford,2,2020,-2.285705346153846,53.462486346153845,3,3,0,1,2,30,1,3,3,0
E08000009,Trafford,2,2021,-2.285705346153846,53.462486346153845,3,7,0,1,2,30,1,3,3,0
E08000009,Trafford,2,2022,-2.285705346153846,53.462486346153845,4,4,0,1,3,30,1,3,3,0
E08000009,Trafford,2,2023,-2.285705346153846,53.462486346153845,2,2,0,1,1,30,1,3,3,0
E08000009,Trafford,2,2024,-2.285705346153846,53.462486346153845,5,7,0,0,0,30,1,3,3,0
E08000009,Trafford,2,2025,-2.285705346153846,53.462486346153845,1,2,0,0,0,30,1,3,3,0
E08000009,Trafford,3,2019,-2.3173915000000003,53.462355125,1,1,0,0,1,30,1,3,6,6
E08000009,Trafford,3,2020,-2.3173915000000003,53.462355125,0,0,0,0,0,30,1,3,6,6
E08000009,Trafford,3,2021,-2.3173915000000003,53.462355125,5,7,0,0,5,30,1,3,6,6
E08000009,Trafford,3,2022,-2.3173915000000003,53.462355125,0,0,0,0,0,30,1,3,6,6
E08000009,Trafford,3,2023,-2.3173915000000003,53.462355125,0,0,0,0,0,30,1,3,6,6
E08000009,Trafford,3,2024,-2.3173915000000003,53.462355125,1,1,0,0,0,30,1,3,6,6
E08000009,Trafford,3,2025,-2.3173915000000003,53.462355125,1,1,0,0,0,30,1,3,6,6
E08000009,Trafford,4,2019,-2.2898,53.45916115,4,4,0,1,3,30,1,3,6,0
E08000009,Trafford,4,2020,-2.2898,53.45916115,1,1,0,0,1,30,1,3,6,0
E08000009,Trafford,4,2021,-2.2898,53.45916115,2,2,0,1,1,30,1,3,6,0
E08000009,Trafford,4,2022,-2.2898,53.45916115,4,4,0,1,3,30,1,3,6,0
E08000009,Trafford,4,2023,-2.2898,53.45916115,1,1,1,0,0,30,1,3,6,0
E08000009,Trafford,4,2024,-2.2898,53.45916115,7,9,0,0,0,30,1,3,6,0
E08000009,Trafford,4,2025,-2.2898,53.45916115,1,1,0,0,0,30,1,3,6,0
E08000009,Trafford,5,2019,-2.261685875,53.456778,1,1,0,0,1,30,1,4,6,3
E08000009,Trafford,5,2020,-2.261685875,53.456778,0,0,0,0,0,30,1,4,6,3
E08000009,Trafford,5,2021,-2.261685875,53.456778,0,0,0,0,0,30,1,4,6,3
E08000009,Trafford,5,2022,-2.261685875,53.456778,5,5,0,2,3,30,1,4,6,3
E08000009,Trafford,5,2023,-2.261685875,53.456778,2,2,0,1,1,30,1,4,6,3
E08000009,Trafford,5,2024,-2.261685875,53.456778,0,0,0,0,0,30,1,4,6,3
E08000009,Trafford,6,2019,-2.314308125,53.437817625,4,6,0,1,3,40,2,3,3,0
E08000009,Trafford,6,2020,-2.314308125,53.437817625,2,3,0,1,1,40,2,3,3,0
E08000009,Trafford,6,2021,-2.314308125,53.437817625,3,7,0,1,2,40,2,3,3,0
E08000009,Trafford,6,2022,-2.314308125,53.437817625,3,5,0,0,3,40,2,3,3,0
E08000009,Trafford,6,2023,-2.314308125,53.437817625,1,1,0,1,0,40,2,3,3,0
E08000009,Trafford,6,2024,-2.314308125,53.437817625,3,3,0,0,0,40,2,3,3,0
E08000009,Trafford,7,2019,-2.30709256,53.44597424,5,6,0,3,2,30,1,3,3,6
E08000009,Trafford,7,2020,-2.30709256,53.44597424,6,9,0,0,6,30,1,3,3,6
E08000009,Trafford,7,2021,-2.30709256,53.44597424,3,3,0,0,3,30,1,3,3,6
E08000009,Trafford,7,2022,-2.30709256,53.44597424,3,3,0,2,1,30,1,3,3,6
E08000009,Trafford,7,2023,-2.30709256,53.44597424,2,2,0,2,0,30,1,3,3,6
E08000009,Trafford,7,2024,-2.30709256,53.44597424,3,3,0,0,0,30,1,3,3,6
E08000009,Trafford,7,2025,-2.30709256,53.44597424,3,3,0,0,0,30,1,3,3,6
E08000009,Trafford,8,2019,-2.303775111111111,53.467704222222224,2,2,0,0,2,30,1,3,6,1
