la_code,la_name,cluster_id,year,centroid_lon,centroid_lat,n_collisions,n_casualties,n_fatal,n_serious,n_slight,speed_limit,urban_or_rural,first_road_class,road_type,junction_detail
W06000014,Vale of Glamorgan,1,2019,-3.2644098571428573,51.40163285714286,2,2,0,1,1,30,1,6,6,1
W06000014,Vale of Glamorgan,1,2020,-3.2644098571428573,51.40163285714286,1,1,0,0,1,30,1,6,6,1
W06000014,Vale of Glamorgan,1,2021,-3.2644098571428573,51.40163285714286,2,2,0,1,1,30,1,6,6,1
W06000014,Vale of Glamorgan,1,2022,-3.2644098571428573,51.40163285714286,0,0,0,0,0,30,1,6,6,1
W06000014,Vale of Glamorgan,1,2023,-3.2644098571428573,51.40163285714286,0,0,0,0,0,30,1,6,6,1
W06000014,Vale of Glamorgan,1,2024,-3.2644098571428573,51.40163285714286,1,1,0,0,0,30,1,6,6,1
W06000014,Vale of Glamorgan,1,2025,-3.2644098571428573,51.40163285714286,1,1,0,0,0,30,1,6,6,1
W06000014,Vale of Glamorgan,2,2019,-3.2129356,51.4348322,4,4,0,2,2,30,1,3,6,3
W06000014,Vale of Glamorgan,2,2020,-3.2129356,51.4348322,0,0,0,0,0,30,1,3,6,3
W06000014,Vale of Glamorgan,2,2021,-3.2129356,51.4348322,1,1,0,0,1,30,1,3,6,3
W06000014,Vale of Glamorgan,2,2022,-3.2129356,51.4348322,0,0,0,0,0,30,1,3,6,3
W06000014,Vale of Glamorgan,2,2023,-3.2129356,51.4348322,0,0,0,0,0,30,1,3,6,3
W06000014,Vale of Glamorgan,2,2024,-3.2129356,51.4348322,0,0,0,0,0,30,1,3,6,3
W06000014,Vale of Glamorgan,3,2019,-3.490052166666666,51.47213116666667,2,2,0,0,2,50,2,3,6,0
W06000014,Vale of Glamorgan,3,2020,-3.490052166666666,51.47213116666667,2,3,0,0,2,50,2,3,6,0
W06000014,Vale of Glamorgan,3,2021,-3.490052166666666,51.47213116666667,0,0,0,0,0,50,2,3,6,0
W06000014,Vale of Glamorgan,3,2022,-3.490052166666666,51.47213116666667,0,0,0,0,0,50,2,3,6,0
W06000014,Vale of Glamorgan,3,2023,-3.490052166666666,51.47213116666667,1,1,0,1,0,50,2,3,6,0
W06000014,Vale of Glamorgan,3,2024,-3.490052166666666,51.47213116666667,0,0,0,0,0,50,2,3,6,0
W06000014,Vale of Glamorgan,3,2025,-3.490052166666666,51.47213116666667,1,1,0,0,0,50,2,3,6,0
W06000014,Vale of Glamorgan,4,2019,-3.2566105555555556,51.41299733333333,3,3,0,0,3,30,1,6,6,3
W06000014,Vale of Glamorgan,4,2020,-3.2566105555555556,51.41299733333333,1,2,0,0,1,30,1,6,6,3
W06000014,Vale of Glamorgan,4,2021,-3.2566105555555556,51.41299733333333,0,0,0,0,0,30,1,6,6,3
W06000014,Vale of Glamorgan,4,2022,-3.2566105555555556,51.41299733333333,1,1,0,0,1,30,1,6,6,3
W06000014,Vale of Glamorgan,4,2023,-3.2566105555555556,51.41299733333333,3,5,0,0,3,30,1,6,6,3
W06000014,Vale of Glamorgan,4,2024,-3.2566105555555556,51.41299733333333,0,0,0,0,0,30,1,6,6,3
W06000014,Vale of Glamorgan,4,2025,-3.2566105555555556,51.41299733333333,1,1,0,0,0,30,1,6,6,3
W06000014,Vale of Glamorgan,5,2019,-3.331109,51.487339,1,1,0,0,1,60,2,6,6,0
W06000014,Vale of Glamorgan,5,2020,-3.331109,51.487339,0,0,0,0,0,60,2,6,6,0
W06000014,Vale of Glamorgan,5,2021,-3.331109,51.487339,0,0,0,0,0,60,2,6,6,0
W06000014,Vale of Glamorgan,5,2022,-3.331109,51.487339,0,0,0,0,0,60,2,6,6,0
W06000014,Vale of Glamorgan,5,2023,-3.331109,51.487339,0,0,0,0,0,60,2,6,6,0
W06000014,Vale of Glamorgan,5,2024,-3.331109,51.487339,0,0,0,0,0,60,2,6,6,0
W06000014,Vale of Glamorgan,6,2019,-3.432073,51.466087,2,2,0,1,1,30,2,3,6,0
W06000014,Vale of Glamorgan,6,2020,-3.432073,51.466087,0,0,0,0,0,30,2,3,6,0
W06000014,Vale of Glamorgan,6,2021,-3.432073,51.466087,0,0,0,0,0,30,2,3,6,0
W06000014,Vale of Glamorgan,6,2022,-3.432073,51.466087,0,0,0,0,0,30,2,3,6,0
W06000014,Vale of Glamorgan,6,2023,-3.432073,51.466087,0,0,0,0,0,30,2,3,6,0
W06000014,Vale of Glamorgan,6,2024,-3.432073,51.466087,0,0,0,0,0,30,2,3,6,0
W06000014,Vale of Glamorgan,7,2019,-3.2708816666666665,51.40693388888889,4,8,0,0,4,30,1,6,6,0
W06000014,Vale of Glamorgan,7,2020,-3.2708816666666665,51.40693388888889,1,1,0,0,1,30,1,6,6,0
W06000014,Vale of Glamorgan,7,2021,-3.2708816666666665,51.40693388888889,2,2,0,0,2,30,1,6,6,0
W06000014,Vale of Glamorgan,7,2022,-3.2708816666666665,51.40693388888889,1,1,0,0,1,30,1,6,6,0
W06000014,Vale of Glamorgan,7,2023,-3.2708816666666665,51.40693388888889,1,1,0,1,0,30,1,6,6,0
W06000014,Vale of Glamorgan,7,2024,-3.2708816666666665,51.40693388888889,0,0,0,0,0,30,1,6,6,0
W06000014,Vale of Glamorgan,8,2019,-3.346127,51.4105335,1,1,0,0,1,60,2,3,6,0
W06000014,Vale of Glamorgan,8,2020,-3.346127,51.4105335,0,0,0,0,0,60,2,3,6,0
W06000014,Vale of Glamorgan,8,2021,-3.346127,51.4105335,0,0,0,0,0,60,2,3,6,0
W06000014,Vale of Glamorgan,8,2022,-3.346127,51.4105335,0,0,0,0,0,60,2,3,6,0
W06000014,Vale of Glamorgan,8,2023,-3.346127,51.4105335,0,0,0,0,0,60,2,3,6,0
W06000014,Vale of Glamorgan,8,2024,-3.346127,51.4105335,0,0,0,0,0,60,2,3,6,0
W06000014,Vale of Glamorgan,8,2025,-3.346127,51.4105335,1,2,0,0,0,60,2,3,6,0
W06000014,Vale of Glamorgan,9,2019,-3.27324356,51.40283612,9,12,0,1,8,30,1,6,6,1
W06000014,Vale of Glamorgan,9,2020,-3.27324356,51.40283612,2,2,0,0,2,30,1,6,6,1
W06000014,Vale of Glamorgan,9,2021,-3.27324356,51.40283612,2,5,0,0,2,30,1,6,6,1
W06000014,Vale of Glamorgan,9,2022,-3.27324356,51.40283612,3,3,0,0,3,30,1,6,6,1
W06000014,Vale of Glamorgan,9,2023,-3.27324356,51.40283612,3,3,0,0,3,30,1,6,6,1
W06000014,Vale of Glamorgan,9,2024,-3.27324356,51.40283612,3,3,0,0,0,30,1,6,6,1
W06000014,Vale of Glamorgan,9,2025,-3.27324356,51.40283612,3,3,0,0,0,30,1,6,6,1
W06000014,Vale of Glamorgan,10,2019,-3.2622795555555557,51.411017666666666,5,5,0,0,5,30,1,6,6,3
W06000014,Vale of Glamorgan,10,2020,-3.2622795555555557,51.411017666666666,2,2,0,0,2,30,1,6,6,3
W06000014,Vale of Glamorgan,10,2021,-3.2622795555555557,51.411017666666666,2,2,0,0,2,30,1,6,6,3
W06000014,Vale of Glamorgan,10,2022,-3.2622795555555557,51.411017666666666,2,3,0,0,2,30,1,6,6,3
W06000014,Vale of Glamorgan,10,2023,-3.2622795555555557,51.411017666666666,3,5,0,1,2,30,1,6,6,3
W06000014,Vale of Glamorgan,10,2024,-3.2622795555555557,51.411017666666666,3,3,0,0,0,30,1,6,6,3
W06000014,Vale of Glamorgan,10,2025,-3.2622795555555557,51.411017666666666,1,2,0,0,0,30,1,6,6,3
W06000014,Vale of Glamorgan,11,2019,-3.5522976666666666,51.491417,1,1,0,0,1,40,2,3,3,0
W06000014,Vale of Glamorgan,11,2020,-3.5522976666666666,51.491417,0,0,0,0,0,40,2,3,3,0
W06000014,Vale of Glamorgan,11,2021,-3.5522976666666666,51.491417,1,1,0,1,0,40,2,3,3,0
W06000014,Vale of Glamorgan,11,2022,-3.5522976666666666,51.491417,0,0,0,0,0,40,2,3,3,0
W06000014,Vale of Glamorgan,11,2023,-3.5522976666666666,51.491417,1,1,0,0,1,40,2,3,3,0
