la_code,la_name,cluster_id,year,centroid_lon,centroid_lat,n_collisions,n_casualties,n_fatal,n_serious,n_slight,speed_limit,urban_or_rural,first_road_class,road_type,junction_detail
E08000036,Wakefield,1,2019,-1.3768941666666668,53.688645,3,4,0,0,3,30,2,6,6,3
E08000036,Wakefield,1,2020,-1.3768941666666668,53.688645,1,4,0,1,0,30,2,6,6,3
E08000036,Wakefield,1,2021,-1.3768941666666668,53.688645,1,1,0,1,0,30,2,6,6,3
E08000036,Wakefield,1,2022,-1.3768941666666668,53.688645,0,0,0,0,0,30,2,6,6,3
E08000036,Wakefield,1,2023,-1.3768941666666668,53.688645,1,2,0,0,1,30,2,6,6,3
E08000036,Wakefield,1,2024,-1.3768941666666668,53.688645,0,0,0,0,0,30,2,6,6,3
E08000036,Wakefield,2,2019,-1.4354155,53.7058615,3,5,0,1,2,30,1,6,6,0
E08000036,Wakefield,2,2020,-1.4354155,53.7058615,0,0,0,0,0,30,1,6,6,0
E08000036,Wakefield,2,2021,-1.4354155,53.7058615,0,0,0,0,0,30,1,6,6,0
E08000036,Wakefield,2,2022,-1.4354155,53.7058615,0,0,0,0,0,30,1,6,6,0
E08000036,Wakefield,2,2023,-1.4354155,53.7058615,1,1,0,0,1,30,1,6,6,0
E08000036,Wakefield,2,2024,-1.4354155,53.7058615,0,0,0,0,0,30,1,6,6,0
E08000036,Wakefield,3,2019,-1.473087,53.613011,1,2,1,0,0,30,2,6,6,3
E08000036,Wakefield,3,2020,-1.473087,53.613011,0,0,0,0,0,30,2,6,6,3
E08000036,Wakefield,3,2021,-1.473087,53.613011,0,0,0,0,0,30,2,6,6,3
E08000036,Wakefield,3,2022,-1.473087,53.613011,0,0,0,0,0,30,2,6,6,3
E08000036,Wakefield,3,2023,-1.473087,53.613011,0,0,0,0,0,30,2,6,6,3
E08000036,Wakefield,3,2024,-1.473087,53.613011,0,0,0,0,0,30,2,6,6,3
E08000036,Wakefield,4,2019,-1.3640014444444444,53.72191188888889,4,6,1,0,3,30,1,6,6,0
E08000036,Wakefield,4,2020,-1.3640014444444444,53.72191188888889,2,2,0,1,1,30,1,6,6,0
E08000036,Wakefield,4,2021,-1.3640014444444444,53.72191188888889,0,0,0,0,0,30,1,6,6,0
E08000036,Wakefield,4,2022,-1.3640014444444444,53.72191188888889,2,3,0,0,2,30,1,6,6,0
E08000036,Wakefield,4,2023,-1.3640014444444444,53.72191188888889,1,1,0,0,1,30,1,6,6,0
E08000036,Wakefield,4,2024,-1.3640014444444444,53.72191188888889,0,0,0,0,0,30,1,6,6,0
E08000036,Wakefield,5,2019,-1.2577308333333332,53.700671666666665,2,2,0,0,2,30,1,6,6,3
E08000036,Wakefield,5,2020,-1.2577308333333332,53.700671666666665,0,0,0,0,0,30,1,6,6,3
E08000036,Wakefield,5,2021,-1.2577308333333332,53.700671666666665,2,2,0,1,1,30,1,6,6,3
E08000036,Wakefield,5,2022,-1.2577308333333332,53.700671666666665,2,2,0,1,1,30,1,6,6,3
E08000036,Wakefield,5,2023,-1.2577308333333332,53.700671666666665,0,0,0,0,0,30,1,6,6,3
E08000036,Wakefield,5,2024,-1.2577308333333332,53.700671666666665,0,0,0,0,0,30,1,6,6,3
E08000036,Wakefield,6,2019,-1.31728835,53.6929047,3,3,0,0,3,30,1,3,6,3
E08000036,Wakefield,6,2020,-1.31728835,53.6929047,0,0,0,0,0,30,1,3,6,3
E08000036,Wakefield,6,2021,-1.31728835,53.6929047,3,4,0,0,3,30,1,3,6,3
E08000036,Wakefield,6,2022,-1.31728835,53.6929047,9,12,0,2,7,30,1,3,6,3
E08000036,Wakefield,6,2023,-1.31728835,53.6929047,5,5,0,1,4,30,1,3,6,3
E08000036,Wakefield,6,2024,-1.31728835,53.6929047,0,0,0,0,0,30,1,3,6,3
E08000036,Wakefield,7,2019,-1.4158621818181818,53.699239363636366,3,3,0,1,2,30,1,6,6,0
E08000036,Wakefield,7,2020,-1.4158621818181818,53.699239363636366,1,1,0,0,1,30,1,6,6,0
E08000036,Wakefield,7,2021,-1.4158621818181818,53.699239363636366,2,2,0,0,2,30,1,6,6,0
E08000036,Wakefield,7,2022,-1.4158621818181818,53.699239363636366,1,1,0,0,1,30,1,6,6,0
E08000036,Wakefield,7,2023,-1.4158621818181818,53.699239363636366,4,6,0,1,3,30,1,6,6,0
E08000036,Wakefield,7,2024,-1.4158621818181818,53.699239363636366,0,0,0,0,0,30,1,6,6,0
E08000036,Wakefield,8,2019,-1.5125564444444444,53.658767222222224,2,2,0,1,1,40,2,3,3,0
E08000036,Wakefield,8,2020,-1.5125564444444444,53.658767222222224,2,2,0,0,2,40,2,3,3,0
E08000036,Wakefield,8,2021,-1.5125564444444444,53.658767222222224,2,2,0,0,2,40,2,3,3,0
E08000036,Wakefield,8,2022,-1.5125564444444444,53.658767222222224,1,1,0,0,1,40,2,3,3,0
E08000036,Wakefield,8,2023,-1.5125564444444444,53.658767222222224,2,2,0,1,1,40,2,3,3,0
E08000036,Wakefield,8,2024,-1.5125564444444444,53.658767222222224,0,0,0,0,0,40,2,3,3,0
E08000036,Wakefield,9,2019,-1.5051464615384615,53.69970461538461,2,2,0,0,2,30,1,3,3,0
E08000036,Wakefield,9,2020,-1.5051464615384615,53.69970461538461,0,0,0,0,0,30,1,3,3,0
E08000036,Wakefield,9,2021,-1.5051464615384615,53.69970461538461,2,2,0,0,2,30,1,3,3,0
E08000036,Wakefield,9,2022,-1.5051464615384615,53.69970461538461,7,12,1,5,1,30,1,3,3,0
E08000036,Wakefield,9,2023,-1.5051464615384615,53.69970461538461,2,2,0,0,2,30,1,3,3,0
E08000036,Wakefield,9,2024,-1.5051464615384615,53.69970461538461,0,0,0,0,0,30,1,3,3,0
E08000036,Wakefield,10,2019,-1.3331655714285713,53.716528571428576,3,3,0,0,3,30,1,6,6,0
E08000036,Wakefield,10,2020,-1.3331655714285713,53.716528571428576,0,0,0,0,0,30,1,6,6,0
E08000036,Wakefield,10,2021,-1.3331655714285713,53.716528571428576,3,3,0,0,3,30,1,6,6,0
E08000036,Wakefield,10,2022,-1.3331655714285713,53.716528571428576,1,1,0,0,1,30,1,6,6,0
E08000036,Wakefield,10,2023,-1.3331655714285713,53.716528571428576,0,0,0,0,0,30,1,6,6,0
E08000036,Wakefield,10,2024,-1.3331655714285713,53.716528571428576,0,0,0,0,0,30,1,6,6,0
E08000036,Wakefield,11,2019,-1.4916527391304348,53.678084,3,3,0,1,2,30,1,3,6,0
E08000036,Wakefield,11,2020,-1.4916527391304348,53.678084,1,1,0,0,1,30,1,3,6,0
E08000036,Wakefield,11,2021,-1.4916527391304348,53.678084,5,6,0,1,4,30,1,3,6,0
E08000036,Wakefield,11,2022,-1.4916527391304348,53.678084,9,9,0,1,8,30,1,3,6,0
E08000036,Wakefield,11,2023,-1.4916527391304348,53.678084,5,5,0,2,3,30,1,3,6,0
E08000036,Wakefield,11,2024,-1.4916527391304348,53.678084,0,0,0,0,0,30,1,3,6,0
E08000036,Wakefield,12,2019,-1.350335,53.72098425,4,4,0,0,4,30,1,6,6,0
E08000036,Wakefield,12,2020,-1.350335,53.72098425,1,1,0,1,0,30,1,6,6,0
E08000036,Wakefield,12,2021,-1.350335,53.72098425,2,2,0,0,2,30,1,6,6,0
E08000036,Wakefield,12,2022,-1.350335,53.72098425,2,3,0,0,2,30,1,6,6,0
E08000036,Wakefield,12,2023,-1.350335,53.72098425,3,3,0,0,3,30,1,6,6,0
E08000036,Wakefield,12,2024,-1.350335,53.72098425,0,0,0,0,0,30,1,6,6,0
E08000036,Wakefield,13,2019,-1.4922068,53.6819625,3,3,0,1,2,30,1,6,6,0
E08000036,Wakefield,13,2020,-1.4922068,53.6819625,3,3,0,1,2,30,1,6,6,0
E08000036,Wakefield,13,2021,-1.4922068,53.6819625,3,3,0,1,2,30,1,6,6,0
E08000036,Wakefield,13,2022,-1.4922068,53.6819625,7,8,0,2,5,30,1,6,6,0
E08000036,Wakefield,13,2023,-1.4922068,53.6819625,4,6,0,1,3,30,1,6,6,0
E08000036,Wakefield,13,2024,-1.4922068,53.6819625,0,0,0,0,0,30,1,6,6,0
E08000036,Wakefield,14,2019,-1.49952,53.67876055555555,3,3,0,0,3,30,1,3,1,0
E08000036,Wakefield,14,2020,-1.49952,53.67876055555555,4,4,0,1,3,30,1,3,1,0
E08000036,Wakefield,14,2021,-1.49952,53.67876055555555,1,1,0,0,1,30,1,3,1,0
E08000036,Wakefield,14,2022,-1.49952,53.67876055555555,4,5,0,2,2,30,1,3,1,0
E08000036,Wakefield,14,2023,-1.49952,53.67876055555555,6,6,0,2,4,30,1,3,1,0
E08000036,Wakefield,14,2024,-1.49952,53.67876055555555,0,0,0,0,0,30,1,3,1,0
E08000036,Wakefield,15,2019,-1.4765008,53.66989135,5,7,0,1,4,30,1,3,6,6
E08000036,Wakefield,15,2020,-1.4765008,53.66989135,2,2,0,0,2,30,1,3,6,6
E08000036,Wakefield,15,2021,-1.4765008,53.66989135,3,4,0,2,1,30,1,3,6,6
E08000036,Wakefield,15,2022,-1.4765008,53.66989135,5,5,0,0,5,30,1,3,6,6
E08000036,Wakefield,15,2023,-1.4765008,53.66989135,5,5,0,2,3,30,1,3,6,6
E08000036,Wakefield,15,2024,-1.4765008,53.66989135,0,0,0,0,0,30,1,3,6,6
E08000036,Wakefield,16,2019,-1.392698,53.602712,1,2,0,0,1,30,2,6,6,0
E08000036,Wakefield,16,2020,-1.392698,53.602712,0,0,0,0,0,30,2,6,6,0
E08000036,Wakefield,16,2021,-1.392698,53.602712,0,0,0,0,0,30,2,6,6,0
E08000036,Wakefield,16,2022,-1.392698,53.602712,0,0,0,0,0,30,2,6,6,0
E08000036,Wakefield,16,2023,-1.392698,53.602712,1,1,0,0,1,30,2,6,6,0
