la_code,la_name,cluster_id,year,centroid_lon,centroid_lat,n_collisions,n_casualties,n_fatal,n_serious,n_slight,speed_limit,urban_or_rural,first_road_class,road_type,junction_detail
E08000030,Walsall,1,2019,-1.98388992,52.58042696,8,12,0,0,8,30,1,6,6,0
E08000030,Walsall,1,2020,-1.98388992,52.58042696,3,3,0,1,2,30,1,6,6,0
E08000030,Walsall,1,2021,-1.98388992,52.58042696,4,5,0,0,4,30,1,6,6,0
E08000030,Walsall,1,2022,-1.98388992,52.58042696,7,8,0,2,5,30,1,6,6,0
E08000030,Walsall,1,2023,-1.98388992,52.58042696,1,1,0,0,1,30,1,6,6,0
E08000030,Walsall,1,2024,-1.98388992,52.58042696,0,0,0,0,0,30,1,6,6,0
E08000030,Walsall,1,2025,-1.98388992,52.58042696,2,3,0,0,0,30,1,6,6,0
E08000030,Walsall,2,2019,-1.9509735384615383,52.656084538461535,3,3,0,2,1,40,2,3,3,1
E08000030,Walsall,2,2020,-1.9509735384615383,52.656084538461535,2,3,0,1,1,40,2,3,3,1
E08000030,Walsall,2,2021,-1.9509735384615383,52.656084538461535,1,1,0,0,1,40,2,3,3,1
E08000030,Walsall,2,2022,-1.9509735384615383,52.656084538461535,2,2,0,0,2,40,2,3,3,1
E08000030,Walsall,2,2023,-1.9509735384615383,52.656084538461535,1,1,0,0,1,40,2,3,3,1
E08000030,Walsall,2,2024,-1.9509735384615383,52.656084538461535,3,5,0,0,0,40,2,3,3,1
E08000030,Walsall,2,2025,-1.9509735384615383,52.656084538461535,1,1,0,0,0,40,2,3,3,1
E08000030,Walsall,3,2019,-1.9832346363636364,52.60778990909091,1,1,0,1,0,30,1,6,6,0
E08000030,Walsall,3,2020,-1.9832346363636364,52.60778990909091,2,2,0,0,2,30,1,6,6,0
E08000030,Walsall,3,2021,-1.9832346363636364,52.60778990909091,1,2,0,0,1,30,1,6,6,0
E08000030,Walsall,3,2022,-1.9832346363636364,52.60778990909091,5,8,0,1,4,30,1,6,6,0
E08000030,Walsall,3,2023,-1.9832346363636364,52.60778990909091,2,3,0,1,1,30,1,6,6,0
E08000030,Walsall,3,2024,-1.9832346363636364,52.60778990909091,0,0,0,0,0,30,1,6,6,0
E08000030,Walsall,4,2019,-1.9808546206896551,52.56867782758621,7,11,0,3,4,30,1,3,6,0
E08000030,Walsall,4,2020,-1.9808546206896551,52.56867782758621,4,5,0,1,3,30,1,3,6,0
E08000030,Walsall,4,2021,-1.9808546206896551,52.56867782758621,4,4,0,0,4,30,1,3,6,0
