la_code,la_name,cluster_id,year,centroid_lon,centroid_lat,n_collisions,n_casualties,n_fatal,n_serious,n_slight,speed_limit,urban_or_rural,first_road_class,road_type,junction_detail
E09000032,Wandsworth,1,2019,-0.147500475,51.4791707625,17,20,1,3,13,30,1,3,6,0
E09000032,Wandsworth,1,2020,-0.147500475,51.4791707625,22,24,0,4,18,30,1,3,6,0
E09000032,Wandsworth,1,2021,-0.147500475,51.4791707625,16,19,0,2,14,30,1,3,6,0
E09000032,Wandsworth,1,2022,-0.147500475,51.4791707625,15,18,0,4,11,30,1,3,6,0
E09000032,Wandsworth,1,2023,-0.147500475,51.4791707625,10,10,0,0,10,30,1,3,6,0
E09000032,Wandsworth,1,2024,-0.147500475,51.4791707625,0,0,0,0,0,30,1,3,6,0
E09000032,Wandsworth,2,2019,-0.2181686263736264,51.46135151648352,22,27,1,2,19,30,1,3,6,6
E09000032,Wandsworth,2,2020,-0.2181686263736264,51.46135151648352,20,20,0,3,17,30,1,3,6,6
E09000032,Wandsworth,2,2021,-0.2181686263736264,51.46135151648352,22,22,0,4,18,30,1,3,6,6
E09000032,Wandsworth,2,2022,-0.2181686263736264,51.46135151648352,14,15,0,2,12,30,1,3,6,6
E09000032,Wandsworth,2,2023,-0.2181686263736264,51.46135151648352,13,13,0,0,13,30,1,3,6,6
E09000032,Wandsworth,2,2024,-0.2181686263736264,51.46135151648352,0,0,0,0,0,30,1,3,6,6
E09000032,Wandsworth,3,2019,-0.1897021111111111,51.45088644444444,5,5,0,0,5,20,1,3,6,3
E09000032,Wandsworth,3,2020,-0.1897021111111111,51.45088644444444,3,3,0,1,2,20,1,3,6,3
E09000032,Wandsworth,3,2021,-0.1897021111111111,51.45088644444444,2,3,0,0,2,20,1,3,6,3
E09000032,Wandsworth,3,2022,-0.1897021111111111,51.45088644444444,3,3,0,1,2,20,1,3,6,3
E09000032,Wandsworth,3,2023,-0.1897021111111111,51.45088644444444,5,5,0,1,4,20,1,3,6,3
E09000032,Wandsworth,3,2024,-0.1897021111111111,51.45088644444444,0,0,0,0,0,20,1,3,6,3
E09000032,Wandsworth,4,2019,-0.16182708695652173,51.467318847826085,7,7,0,0,7,30,1,3,6,3
E09000032,Wandsworth,4,2020,-0.16182708695652173,51.467318847826085,11,11,0,1,10,30,1,3,6,3
E09000032,Wandsworth,4,2021,-0.16182708695652173,51.467318847826085,10,10,0,1,9,30,1,3,6,3
E09000032,Wandsworth,4,2022,-0.16182708695652173,51.467318847826085,5,5,0,1,4,30,1,3,6,3
E09000032,Wandsworth,4,2023,-0.16182708695652173,51.467318847826085,13,15,0,1,12,30,1,3,6,3
E09000032,Wandsworth,4,2024,-0.16182708695652173,51.467318847826085,0,0,0,0,0,30,1,3,6,3
E09000032,Wandsworth,5,2019,-0.175311,51.4244804,5,5,0,0,5,20,1,5,6,0
