la_code,la_name,cluster_id,year,centroid_lon,centroid_lat,n_collisions,n_casualties,n_fatal,n_serious,n_slight,speed_limit,urban_or_rural,first_road_class,road_type,junction_detail
E06000007,Warrington,1,2019,-2.6657976,53.3962852,3,5,0,0,3,30,1,6,6,1
E06000007,Warrington,1,2020,-2.6657976,53.3962852,0,0,0,0,0,30,1,6,6,1
E06000007,Warrington,1,2021,-2.6657976,53.3962852,0,0,0,0,0,30,1,6,6,1
E06000007,Warrington,1,2022,-2.6657976,53.3962852,1,1,0,1,0,30,1,6,6,1
E06000007,Warrington,1,2023,-2.6657976,53.3962852,0,0,0,0,0,30,1,6,6,1
E06000007,Warrington,1,2024,-2.6657976,53.3962852,0,0,0,0,0,30,1,6,6,1
E06000007,Warrington,1,2025,-2.6657976,53.3962852,1,1,0,0,0,30,1,6,6,1
E06000007,Warrington,2,2019,-2.56474125,53.3359365,2,5,0,1,1,70,2,1,3,0
E06000007,Warrington,2,2020,-2.56474125,53.3359365,1,1,0,0,1,70,2,1,3,0
E06000007,Warrington,2,2021,-2.56474125,53.3359365,0,0,0,0,0,70,2,1,3,0
E06000007,Warrington,2,2022,-2.56474125,53.3359365,0,0,0,0,0,70,2,1,3,0
E06000007,Warrington,2,2023,-2.56474125,53.3359365,0,0,0,0,0,70,2,1,3,0
E06000007,Warrington,2,2024,-2.56474125,53.3359365,1,1,0,0,0,70,2,1,3,0
E06000007,Warrington,3,2019,-2.597142761904762,53.38684376190477,4,4,0,0,4,30,1,3,6,0
E06000007,Warrington,3,2020,-2.597142761904762,53.38684376190477,1,1,0,0,1,30,1,3,6,0
E06000007,Warrington,3,2021,-2.597142761904762,53.38684376190477,2,3,0,0,2,30,1,3,6,0
E06000007,Warrington,3,2022,-2.597142761904762,53.38684376190477,5,6,0,2,3,30,1,3,6,0
E06000007,Warrington,3,2023,-2.597142761904762,53.38684376190477,5,5,0,0,5,30,1,3,6,0
E06000007,Warrington,3,2024,-2.597142761904762,53.38684376190477,3,3,0,0,0,30,1,3,6,0
E06000007,Warrington,3,2025,-2.597142761904762,53.38684376190477,1,1,0,0,0,30,1,3,6,0
E06000007,Warrington,4,2019,-2.6468594999999997,53.432068,1,1,0,0,1,30,2,5,6,3
E06000007,Warrington,4,2020,-2.6468594999999997,53.432068,0,0,0,0,0,30,2,5,6,3
E06000007,Warrington,4,2021,-2.6468594999999997,53.432068,1,4,0,0,1,30,2,5,6,3
E06000007,Warrington,4,2022,-2.6468594999999997,53.432068,2,2,0,0,2,30,2,5,6,3
E06000007,Warrington,4,2023,-2.6468594999999997,53.432068,0,0,0,0,0,30,2,5,6,3
E06000007,Warrington,4,2024,-2.6468594999999997,53.432068,0,0,0,0,0,30,2,5,6,3
E06000007,Warrington,5,2019,-2.493426,53.465125,1,3,0,1,0,30,2,3,6,0
E06000007,Warrington,5,2020,-2.493426,53.465125,0,0,0,0,0,30,2,3,6,0
E06000007,Warrington,5,2021,-2.493426,53.465125,0,0,0,0,0,30,2,3,6,0
E06000007,Warrington,5,2022,-2.493426,53.465125,1,1,0,1,0,30,2,3,6,0
E06000007,Warrington,5,2023,-2.493426,53.465125,0,0,0,0,0,30,2,3,6,0
E06000007,Warrington,5,2024,-2.493426,53.465125,0,0,0,0,0,30,2,3,6,0
E06000007,Warrington,6,2019,-2.5930803333333334,53.416628,1,1,0,0,1,20,1,6,6,0
E06000007,Warrington,6,2020,-2.5930803333333334,53.416628,0,0,0,0,0,20,1,6,6,0
E06000007,Warrington,6,2021,-2.5930803333333334,53.416628,0,0,0,0,0,20,1,6,6,0
E06000007,Warrington,6,2022,-2.5930803333333334,53.416628,0,0,0,0,0,20,1,6,6,0
E06000007,Warrington,6,2023,-2.5930803333333334,53.416628,0,0,0,0,0,20,1,6,6,0
E06000007,Warrington,6,2024,-2.5930803333333334,53.416628,1,1,0,0,0,20,1,6,6,0
E06000007,Warrington,6,2025,-2.5930803333333334,53.416628,1,1,0,0,0,20,1,6,6,0
E06000007,Warrington,7,2019,-2.5501438333333333,53.42187716666667,3,7,0,0,3,70,2,1,3,5
E06000007,Warrington,7,2020,-2.5501438333333333,53.42187716666667,0,0,0,0,0,70,2,1,3,5
E06000007,Warrington,7,2021,-2.5501438333333333,53.42187716666667,0,0,0,0,0,70,2,1,3,5
E06000007,Warrington,7,2022,-2.5501438333333333,53.42187716666667,1,1,0,0,1,70,2,1,3,5
E06000007,Warrington,7,2023,-2.5501438333333333,53.42187716666667,1,1,0,0,1,70,2,1,3,5
E06000007,Warrington,7,2024,-2.5501438333333333,53.42187716666667,1,1,0,0,0,70,2,1,3,5
E06000007,Warrington,8,2019,-2.6090997857142857,53.397887142857144,2,3,0,0,2,30,1,6,6,0
E06000007,Warrington,8,2020,-2.6090997857142857,53.397887142857144,2,4,0,0,2,30,1,6,6,0
E06000007,Warrington,8,2021,-2.6090997857142857,53.397887142857144,2,4,0,0,2,30,1,6,6,0
E06000007,Warrington,8,2022,-2.6090997857142857,53.397887142857144,2,2,0,2,0,30,1,6,6,0
E06000007,Warrington,8,2023,-2.6090997857142857,53.397887142857144,0,0,0,0,0,30,1,6,6,0
E06000007,Warrington,8,2024,-2.6090997857142857,53.397887142857144,4,5,0,0,0,30,1,6,6,0
E06000007,Warrington,8,2025,-2.6090997857142857,53.397887142857144,2,2,0,0,0,30,1,6,6,0
E06000007,Warrington,9,2019,-2.5889595,53.380548,1,1,1,0,0,30,1,3,6,3
E06000007,Warrington,9,2020,-2.5889595,53.380548,1,2,0,0,1,30,1,3,6,3
E06000007,Warrington,9,2021,-2.5889595,53.380548,0,0,0,0,0,30,1,3,6,3
E06000007,Warrington,9,2022,-2.5889595,53.380548,0,0,0,0,0,30,1,3,6,3
E06000007,Warrington,9,2023,-2.5889595,53.380548,0,0,0,0,0,30,1,3,6,3
E06000007,Warrington,9,2024,-2.5889595,53.380548,0,0,0,0,0,30,1,3,6,3
E06000007,Warrington,10,2019,-2.672878,53.38071725,1,1,0,0,1,50,1,3,3,0
E06000007,Warrington,10,2020,-2.672878,53.38071725,1,1,0,0,1,50,1,3,3,0
E06000007,Warrington,10,2021,-2.672878,53.38071725,0,0,0,0,0,50,1,3,3,0
E06000007,Warrington,10,2022,-2.672878,53.38071725,1,1,0,0,1,50,1,3,3,0
E06000007,Warrington,10,2023,-2.672878,53.38071725,1,3,0,1,0,50,1,3,3,0
E06000007,Warrington,10,2024,-2.672878,53.38071725,0,0,0,0,0,50,1,3,3,0
E06000007,Warrington,11,2019,-2.5991886,53.4176852,2,2,0,0,2,40,1,3,3,0
E06000007,Warrington,11,2020,-2.5991886,53.4176852,1,1,0,1,0,40,1,3,3,0
E06000007,Warrington,11,2021,-2.5991886,53.4176852,1,1,0,0,1,40,1,3,3,0
E06000007,Warrington,11,2022,-2.5991886,53.4176852,0,0,0,0,0,40,1,3,3,0
E06000007,Warrington,11,2023,-2.5991886,53.4176852,1,1,0,0,1,40,1,3,3,0
E06000007,Warrington,11,2024,-2.5991886,53.4176852,0,0,0,0,0,40,1,3,3,0
E06000007,Warrington,12,2019,-2.6607236666666667,53.40222266666667,3,3,0,1,2,30,2,6,6,1
E06000007,Warrington,12,2020,-2.6607236666666667,53.40222266666667,0,0,0,0,0,30,2,6,6,1
E06000007,Warrington,12,2021,-2.6607236666666667,53.40222266666667,0,0,0,0,0,30,2,6,6,1
E06000007,Warrington,12,2022,-2.6607236666666667,53.40222266666667,2,2,0,0,2,30,2,6,6,1
E06000007,Warrington,12,2023,-2.6607236666666667,53.40222266666667,0,0,0,0,0,30,2,6,6,1
E06000007,Warrington,12,2024,-2.6607236666666667,53.40222266666667,1,1,0,0,0,30,2,6,6,1
E06000007,Warrington,13,2019,-2.5963317142857143,53.37581042857143,2,5,0,0,2,30,1,3,6,3
E06000007,Warrington,13,2020,-2.5963317142857143,53.37581042857143,1,1,0,1,0,30,1,3,6,3
E06000007,Warrington,13,2021,-2.5963317142857143,53.37581042857143,0,0,0,0,0,30,1,3,6,3
E06000007,Warrington,13,2022,-2.5963317142857143,53.37581042857143,3,3,1,1,1,30,1,3,6,3
E06000007,Warrington,13,2023,-2.5963317142857143,53.37581042857143,1,2,0,0,1,30,1,3,6,3
E06000007,Warrington,13,2024,-2.5963317142857143,53.37581042857143,0,0,0,0,0,30,1,3,6,3
E06000007,Warrington,14,2019,-2.5680239411764707,53.38135776470588,5,5,0,1,4,30,1,3,2,3
E06000007,Warrington,14,2020,-2.5680239411764707,53.38135776470588,5,5,0,1,4,30,1,3,2,3
E06000007,Warrington,14,2021,-2.5680239411764707,53.38135776470588,2,2,0,1,1,30,1,3,2,3
E06000007,Warrington,14,2022,-2.5680239411764707,53.38135776470588,1,1,0,0,1,30,1,3,2,3
E06000007,Warrington,14,2023,-2.5680239411764707,53.38135776470588,2,2,0,1,1,30,1,3,2,3
E06000007,Warrington,14,2024,-2.5680239411764707,53.38135776470588,1,2,0,0,0,30,1,3,2,3
E06000007,Warrington,14,2025,-2.5680239411764707,53.38135776470588,1,1,0,0,0,30,1,3,2,3
