la_code,la_name,cluster_id,year,centroid_lon,centroid_lat,n_collisions,n_casualties,n_fatal,n_serious,n_slight,speed_limit,urban_or_rural,first_road_class,road_type,junction_detail
S12000039,West Dunbartonshire,1,2019,-4.448831666666667,55.924449,2,3,0,1,1,50,1,3,3,0
S12000039,West Dunbartonshire,1,2020,-4.448831666666667,55.924449,2,2,0,2,0,50,1,3,3,0
S12000039,West Dunbartonshire,1,2021,-4.448831666666667,55.924449,0,0,0,0,0,50,1,3,3,0
S12000039,West Dunbartonshire,1,2022,-4.448831666666667,55.924449,0,0,0,0,0,50,1,3,3,0
S12000039,West Dunbartonshire,1,2023,-4.448831666666667,55.924449,1,1,0,1,0,50,1,3,3,0
S12000039,West Dunbartonshire,1,2024,-4.448831666666667,55.924449,0,0,0,0,0,50,1,3,3,0
S12000039,West Dunbartonshire,1,2025,-4.448831666666667,55.924449,1,1,0,0,0,50,1,3,3,0
S12000039,West Dunbartonshire,2,2019,-4.388951285714286,55.891767571428574,2,2,0,0,2,30,1,3,6,0
S12000039,West Dunbartonshire,2,2020,-4.388951285714286,55.891767571428574,1,1,0,0,1,30,1,3,6,0
S12000039,West Dunbartonshire,2,2021,-4.388951285714286,55.891767571428574,1,1,0,0,1,30,1,3,6,0
S12000039,West Dunbartonshire,2,2022,-4.388951285714286,55.891767571428574,0,0,0,0,0,30,1,3,6,0
S12000039,West Dunbartonshire,2,2023,-4.388951285714286,55.891767571428574,1,1,0,0,1,30,1,3,6,0
S12000039,West Dunbartonshire,2,2024,-4.388951285714286,55.891767571428574,1,1,0,0,0,30,1,3,6,0
S12000039,West Dunbartonshire,2,2025,-4.388951285714286,55.891767571428574,1,2,0,0,0,30,1,3,6,0
S12000039,West Dunbartonshire,3,2019,-4.513161,56.047454,2,2,0,2,0,60,2,3,6,3
S12000039,West Dunbartonshire,3,2020,-4.513161,56.047454,0,0,0,0,0,60,2,3,6,3
S12000039,West Dunbartonshire,3,2021,-4.513161,56.047454,0,0,0,0,0,60,2,3,6,3
S12000039,West Dunbartonshire,3,2022,-4.513161,56.047454,0,0,0,0,0,60,2,3,6,3
S12000039,West Dunbartonshire,3,2023,-4.513161,56.047454,0,0,0,0,0,60,2,3,6,3
S12000039,West Dunbartonshire,3,2024,-4.513161,56.047454,0,0,0,0,0,60,2,3,6,3
S12000039,West Dunbartonshire,4,2019,-4.569202,55.940002,1,1,0,1,0,30,1,6,6,0
S12000039,West Dunbartonshire,4,2020,-4.569202,55.940002,0,0,0,0,0,30,1,6,6,0
S12000039,West Dunbartonshire,4,2021,-4.569202,55.940002,0,0,0,0,0,30,1,6,6,0
S12000039,West Dunbartonshire,4,2022,-4.569202,55.940002,0,0,0,0,0,30,1,6,6,0
S12000039,West Dunbartonshire,4,2023,-4.569202,55.940002,0,0,0,0,0,30,1,6,6,0
S12000039,West Dunbartonshire,4,2024,-4.569202,55.940002,0,0,0,0,0,30,1,6,6,0
S12000039,West Dunbartonshire,5,2019,-4.544542571428571,55.94422028571429,4,8,1,0,3,40,1,3,3,0
S12000039,West Dunbartonshire,5,2020,-4.544542571428571,55.94422028571429,1,1,0,1,0,40,1,3,3,0
S12000039,West Dunbartonshire,5,2021,-4.544542571428571,55.94422028571429,0,0,0,0,0,40,1,3,3,0
S12000039,West Dunbartonshire,5,2022,-4.544542571428571,55.94422028571429,0,0,0,0,0,40,1,3,3,0
S12000039,West Dunbartonshire,5,2023,-4.544542571428571,55.94422028571429,0,0,0,0,0,40,1,3,3,0
S12000039,West Dunbartonshire,5,2024,-4.544542571428571,55.94422028571429,2,5,0,0,0,40,1,3,3,0
S12000039,West Dunbartonshire,6,2019,-4.555253333333333,55.954091,1,3,0,0,1,30,1,6,6,3
S12000039,West Dunbartonshire,6,2020,-4.555253333333333,55.954091,0,0,0,0,0,30,1,6,6,3
S12000039,West Dunbartonshire,6,2021,-4.555253333333333,55.954091,0,0,0,0,0,30,1,6,6,3
S12000039,West Dunbartonshire,6,2022,-4.555253333333333,55.954091,2,4,0,0,2,30,1,6,6,3
S12000039,West Dunbartonshire,6,2023,-4.555253333333333,55.954091,0,0,0,0,0,30,1,6,6,3
S12000039,West Dunbartonshire,6,2024,-4.555253333333333,55.954091,0,0,0,0,0,30,1,6,6,3
S12000039,West Dunbartonshire,7,2019,-4.386728125,55.9078875,3,3,0,0,3,30,1,3,3,0
S12000039,West Dunbartonshire,7,2020,-4.386728125,55.9078875,0,0,0,0,0,30,1,3,3,0
S12000039,West Dunbartonshire,7,2021,-4.386728125,55.9078875,3,4,0,1,2,30,1,3,3,0
S12000039,West Dunbartonshire,7,2022,-4.386728125,55.9078875,0,0,0,0,0,30,1,3,3,0
S12000039,West Dunbartonshire,7,2023,-4.386728125,55.9078875,1,1,0,0,1,30,1,3,3,0
S12000039,West Dunbartonshire,7,2024,-4.386728125,55.9078875,1,2,0,0,0,30,1,3,3,0
S12000039,West Dunbartonshire,8,2019,-4.433821,55.91899325,2,9,0,2,0,30,1,6,6,0
S12000039,West Dunbartonshire,8,2020,-4.433821,55.91899325,0,0,0,0,0,30,1,6,6,0
S12000039,West Dunbartonshire,8,2021,-4.433821,55.91899325,0,0,0,0,0,30,1,6,6,0
S12000039,West Dunbartonshire,8,2022,-4.433821,55.91899325,0,0,0,0,0,30,1,6,6,0
