la_code,la_name,cluster_id,year,centroid_lon,centroid_lat,n_collisions,n_casualties,n_fatal,n_serious,n_slight,speed_limit,urban_or_rural,first_road_class,road_type,junction_detail
E09000033,Westminster,1,2019,-0.11611684615384615,51.513254,12,15,0,4,8,20,1,3,6,3
E09000033,Westminster,1,2020,-0.11611684615384615,51.513254,7,7,0,1,6,20,1,3,6,3
E09000033,Westminster,1,2021,-0.11611684615384615,51.513254,6,7,0,0,6,20,1,3,6,3
E09000033,Westminster,1,2022,-0.11611684615384615,51.513254,8,8,0,0,8,20,1,3,6,3
E09000033,Westminster,1,2023,-0.11611684615384615,51.513254,9,12,0,1,8,20,1,3,6,3
E09000033,Westminster,1,2024,-0.11611684615384615,51.513254,10,11,0,0,0,20,1,3,6,3
E09000033,Westminster,1,2025,-0.11611684615384615,51.513254,6,8,0,0,0,20,1,3,6,3
E09000033,Westminster,2,2019,-0.140781575,51.5160912375,33,36,0,9,24,20,1,3,6,6
E09000033,Westminster,2,2020,-0.140781575,51.5160912375,11,12,0,3,8,20,1,3,6,6
E09000033,Westminster,2,2021,-0.140781575,51.5160912375,16,17,0,6,10,20,1,3,6,6
E09000033,Westminster,2,2022,-0.140781575,51.5160912375,16,19,0,5,11,20,1,3,6,6
E09000033,Westminster,2,2023,-0.140781575,51.5160912375,19,20,0,8,11,20,1,3,6,6
E09000033,Westminster,2,2024,-0.140781575,51.5160912375,9,14,0,0,0,20,1,3,6,6
E09000033,Westminster,2,2025,-0.140781575,51.5160912375,11,11,0,0,0,20,1,3,6,6
E09000033,Westminster,3,2019,-0.14645568888888888,51.49126186666667,22,25,0,2,20,20,1,3,6,6
E09000033,Westminster,3,2020,-0.14645568888888888,51.49126186666667,4,4,0,1,3,20,1,3,6,6
E09000033,Westminster,3,2021,-0.14645568888888888,51.49126186666667,10,10,0,1,9,20,1,3,6,6
E09000033,Westminster,3,2022,-0.14645568888888888,51.49126186666667,17,17,0,5,12,20,1,3,6,6
E09000033,Westminster,3,2023,-0.14645568888888888,51.49126186666667,6,7,0,0,6,20,1,3,6,6
E09000033,Westminster,3,2024,-0.14645568888888888,51.49126186666667,5,7,0,0,0,20,1,3,6,6
E09000033,Westminster,3,2025,-0.14645568888888888,51.49126186666667,6,6,0,0,0,20,1,3,6,6
E09000033,Westminster,4,2019,-0.12813341860465116,51.50770068604651,30,34,1,8,21,20,1,3,6,1
E09000033,Westminster,4,2020,-0.12813341860465116,51.50770068604651,16,17,0,2,14,20,1,3,6,1
E09000033,Westminster,4,2021,-0.12813341860465116,51.50770068604651,22,22,0,2,20,20,1,3,6,1
E09000033,Westminster,4,2022,-0.12813341860465116,51.50770068604651,34,38,0,8,26,20,1,3,6,1
E09000033,Westminster,4,2023,-0.12813341860465116,51.50770068604651,26,32,0,2,24,20,1,3,6,1
E09000033,Westminster,4,2024,-0.12813341860465116,51.50770068604651,26,28,0,0,0,20,1,3,6,1
E09000033,Westminster,4,2025,-0.12813341860465116,51.50770068604651,5,9,0,0,0,20,1,3,6,1
E09000033,Westminster,5,2019,-0.17421439705882352,51.52301208823529,14,15,0,3,11,20,1,3,6,3
E09000033,Westminster,5,2020,-0.17421439705882352,51.52301208823529,14,14,0,2,12,20,1,3,6,3
E09000033,Westminster,5,2021,-0.17421439705882352,51.52301208823529,15,17,0,2,13,20,1,3,6,3
E09000033,Westminster,5,2022,-0.17421439705882352,51.52301208823529,18,19,0,3,15,20,1,3,6,3
E09000033,Westminster,5,2023,-0.17421439705882352,51.52301208823529,21,23,0,6,15,20,1,3,6,3
E09000033,Westminster,5,2024,-0.17421439705882352,51.52301208823529,15,15,0,0,0,20,1,3,6,3
E09000033,Westminster,5,2025,-0.17421439705882352,51.52301208823529,10,11,0,0,0,20,1,3,6,3
E09000033,Westminster,6,2019,-0.154826,51.51432173626374,36,43,0,5,31,20,1,3,6,6
E09000033,Westminster,6,2020,-0.154826,51.51432173626374,20,22,0,3,17,20,1,3,6,6
E09000033,Westminster,6,2021,-0.154826,51.51432173626374,15,17,0,5,10,20,1,3,6,6
E09000033,Westminster,6,2022,-0.154826,51.51432173626374,13,13,0,2,11,20,1,3,6,6
E09000033,Westminster,6,2023,-0.154826,51.51432173626374,20,21,0,3,17,20,1,3,6,6
E09000033,Westminster,6,2024,-0.154826,51.51432173626374,15,18,0,0,0,20,1,3,6,6
E09000033,Westminster,6,2025,-0.154826,51.51432173626374,6,6,0,0,0,20,1,3,6,6
E09000033,Westminster,7,2019,-0.17202594444444444,51.51669591666666,12,12,0,3,9,20,1,3,6,6
E09000033,Westminster,7,2020,-0.17202594444444444,51.51669591666666,4,5,0,0,4,20,1,3,6,6
E09000033,Westminster,7,2021,-0.17202594444444444,51.51669591666666,12,15,0,2,10,20,1,3,6,6
E09000033,Westminster,7,2022,-0.17202594444444444,51.51669591666666,15,16,0,3,12,20,1,3,6,6
E09000033,Westminster,7,2023,-0.17202594444444444,51.51669591666666,9,16,0,4,5,20,1,3,6,6
E09000033,Westminster,7,2024,-0.17202594444444444,51.51669591666666,7,7,0,0,0,20,1,3,6,6
E09000033,Westminster,7,2025,-0.17202594444444444,51.51669591666666,6,6,0,0,0,20,1,3,6,6
E09000033,Westminster,8,2019,-0.16027377419354838,51.52114511827957,22,29,0,2,20,20,1,3,6,6
E09000033,Westminster,8,2020,-0.16027377419354838,51.52114511827957,21,23,0,2,19,20,1,3,6,6
E09000033,Westminster,8,2021,-0.16027377419354838,51.52114511827957,21,22,0,3,18,20,1,3,6,6
E09000033,Westminster,8,2022,-0.16027377419354838,51.52114511827957,17,18,0,3,14,20,1,3,6,6
E09000033,Westminster,8,2023,-0.16027377419354838,51.52114511827957,21,24,0,2,19,20,1,3,6,6
E09000033,Westminster,8,2024,-0.16027377419354838,51.52114511827957,14,14,0,0,0,20,1,3,6,6
E09000033,Westminster,8,2025,-0.16027377419354838,51.52114511827957,6,6,0,0,0,20,1,3,6,6
E09000033,Westminster,9,2019,-0.1572891038961039,51.5116057012987,25,27,0,2,23,20,1,3,3,3
E09000033,Westminster,9,2020,-0.1572891038961039,51.5116057012987,10,13,0,2,8,20,1,3,3,3
E09000033,Westminster,9,2021,-0.1572891038961039,51.5116057012987,23,30,0,3,20,20,1,3,3,3
E09000033,Westminster,9,2022,-0.1572891038961039,51.5116057012987,25,28,0,6,19,20,1,3,3,3
E09000033,Westminster,9,2023,-0.1572891038961039,51.5116057012987,19,21,0,2,17,20,1,3,3,3
E09000033,Westminster,9,2024,-0.1572891038961039,51.5116057012987,13,17,0,0,0,20,1,3,3,3
E09000033,Westminster,9,2025,-0.1572891038961039,51.5116057012987,7,7,0,0,0,20,1,3,3,3
