la_code,la_name,cluster_id,year,centroid_lon,centroid_lat,n_collisions,n_casualties,n_fatal,n_serious,n_slight,speed_limit,urban_or_rural,first_road_class,road_type,junction_detail
E08000010,Wigan,1,2019,-2.519967,53.47564,1,1,0,0,1,60,2,3,3,3
E08000010,Wigan,1,2020,-2.519967,53.47564,0,0,0,0,0,60,2,3,3,3
E08000010,Wigan,1,2021,-2.519967,53.47564,1,1,0,1,0,60,2,3,3,3
E08000010,Wigan,1,2022,-2.519967,53.47564,0,0,0,0,0,60,2,3,3,3
E08000010,Wigan,1,2023,-2.519967,53.47564,0,0,0,0,0,60,2,3,3,3
E08000010,Wigan,1,2024,-2.519967,53.47564,0,0,0,0,0,60,2,3,3,3
E08000010,Wigan,2,2019,-2.5720442500000003,53.463766,1,1,0,1,0,30,1,3,6,3
E08000010,Wigan,2,2020,-2.5720442500000003,53.463766,0,0,0,0,0,30,1,3,6,3
E08000010,Wigan,2,2021,-2.5720442500000003,53.463766,1,1,0,0,1,30,1,3,6,3
E08000010,Wigan,2,2022,-2.5720442500000003,53.463766,2,2,0,2,0,30,1,3,6,3
E08000010,Wigan,2,2023,-2.5720442500000003,53.463766,0,0,0,0,0,30,1,3,6,3
E08000010,Wigan,2,2024,-2.5720442500000003,53.463766,0,0,0,0,0,30,1,3,6,3
E08000010,Wigan,3,2019,-2.4345654999999997,53.52135625,1,1,0,1,0,30,1,3,6,0
E08000010,Wigan,3,2020,-2.4345654999999997,53.52135625,0,0,0,0,0,30,1,3,6,0
E08000010,Wigan,3,2021,-2.4345654999999997,53.52135625,3,5,0,0,3,30,1,3,6,0
E08000010,Wigan,3,2022,-2.4345654999999997,53.52135625,0,0,0,0,0,30,1,3,6,0
E08000010,Wigan,3,2023,-2.4345654999999997,53.52135625,0,0,0,0,0,30,1,3,6,0
E08000010,Wigan,3,2024,-2.4345654999999997,53.52135625,0,0,0,0,0,30,1,3,6,0
E08000010,Wigan,4,2019,-2.633510142857143,53.54213623809524,4,4,0,0,4,30,1,3,6,3
E08000010,Wigan,4,2020,-2.633510142857143,53.54213623809524,5,8,0,1,4,30,1,3,6,3
E08000010,Wigan,4,2021,-2.633510142857143,53.54213623809524,2,2,0,0,2,30,1,3,6,3
E08000010,Wigan,4,2022,-2.633510142857143,53.54213623809524,2,2,0,0,2,30,1,3,6,3
E08000010,Wigan,4,2023,-2.633510142857143,53.54213623809524,4,4,0,0,4,30,1,3,6,3
E08000010,Wigan,4,2024,-2.633510142857143,53.54213623809524,3,3,0,0,0,30,1,3,6,3
E08000010,Wigan,4,2025,-2.633510142857143,53.54213623809524,1,1,0,0,0,30,1,3,6,3
E08000010,Wigan,5,2019,-2.66008275,53.53664525,1,4,0,0,1,30,1,3,6,13
E08000010,Wigan,5,2020,-2.66008275,53.53664525,1,1,0,1,0,30,1,3,6,13
E08000010,Wigan,5,2021,-2.66008275,53.53664525,0,0,0,0,0,30,1,3,6,13
E08000010,Wigan,5,2022,-2.66008275,53.53664525,0,0,0,0,0,30,1,3,6,13
E08000010,Wigan,5,2023,-2.66008275,53.53664525,0,0,0,0,0,30,1,3,6,13
E08000010,Wigan,5,2024,-2.66008275,53.53664525,2,3,0,0,0,30,1,3,6,13
E08000010,Wigan,6,2019,-2.6336692499999996,53.56560475,2,2,0,0,2,30,1,3,6,0
E08000010,Wigan,6,2020,-2.6336692499999996,53.56560475,0,0,0,0,0,30,1,3,6,0
E08000010,Wigan,6,2021,-2.6336692499999996,53.56560475,0,0,0,0,0,30,1,3,6,0
E08000010,Wigan,6,2022,-2.6336692499999996,53.56560475,1,3,0,0,1,30,1,3,6,0
E08000010,Wigan,6,2023,-2.6336692499999996,53.56560475,0,0,0,0,0,30,1,3,6,0
E08000010,Wigan,6,2024,-2.6336692499999996,53.56560475,1,3,0,0,0,30,1,3,6,0
E08000010,Wigan,7,2019,-2.6637775,53.531451,1,1,0,0,1,30,1,3,6,3
E08000010,Wigan,7,2020,-2.6637775,53.531451,0,0,0,0,0,30,1,3,6,3
E08000010,Wigan,7,2021,-2.6637775,53.531451,1,1,0,0,1,30,1,3,6,3
E08000010,Wigan,7,2022,-2.6637775,53.531451,0,0,0,0,0,30,1,3,6,3
E08000010,Wigan,7,2023,-2.6637775,53.531451,0,0,0,0,0,30,1,3,6,3
E08000010,Wigan,7,2024,-2.6637775,53.531451,0,0,0,0,0,30,1,3,6,3
E08000010,Wigan,8,2019,-2.699438,53.559153499999994,1,1,0,0,1,30,2,4,6,0
E08000010,Wigan,8,2020,-2.699438,53.559153499999994,0,0,0,0,0,30,2,4,6,0
E08000010,Wigan,8,2021,-2.699438,53.559153499999994,1,1,0,0,1,30,2,4,6,0
E08000010,Wigan,8,2022,-2.699438,53.559153499999994,0,0,0,0,0,30,2,4,6,0
E08000010,Wigan,8,2023,-2.699438,53.559153499999994,0,0,0,0,0,30,2,4,6,0
E08000010,Wigan,8,2024,-2.699438,53.559153499999994,0,0,0,0,0,30,2,4,6,0
E08000010,Wigan,9,2019,-2.670152,53.5495762,1,1,0,0,1,20,1,6,6,0
E08000010,Wigan,9,2020,-2.670152,53.5495762,0,0,0,0,0,20,1,6,6,0
E08000010,Wigan,9,2021,-2.670152,53.5495762,1,1,0,1,0,20,1,6,6,0
E08000010,Wigan,9,2022,-2.670152,53.5495762,0,0,0,0,0,20,1,6,6,0
E08000010,Wigan,9,2023,-2.670152,53.5495762,0,0,0,0,0,20,1,6,6,0
E08000010,Wigan,9,2024,-2.670152,53.5495762,2,2,0,0,0,20,1,6,6,0
E08000010,Wigan,9,2025,-2.670152,53.5495762,1,1,0,0,0,20,1,6,6,0
E08000010,Wigan,10,2019,-2.630168705882353,53.544659823529415,5,5,0,1,4,30,1,3,6,0
E08000010,Wigan,10,2020,-2.630168705882353,53.544659823529415,0,0,0,0,0,30,1,3,6,0
E08000010,Wigan,10,2021,-2.630168705882353,53.544659823529415,2,4,0,0,2,30,1,3,6,0
E08000010,Wigan,10,2022,-2.630168705882353,53.544659823529415,1,1,0,0,1,30,1,3,6,0
E08000010,Wigan,10,2023,-2.630168705882353,53.544659823529415,3,3,0,2,1,30,1,3,6,0
E08000010,Wigan,10,2024,-2.630168705882353,53.544659823529415,4,4,0,0,0,30,1,3,6,0
E08000010,Wigan,10,2025,-2.630168705882353,53.544659823529415,2,2,0,0,0,30,1,3,6,0
E08000010,Wigan,11,2019,-2.68541275,53.53689575,2,2,0,0,2,30,1,3,6,3
E08000010,Wigan,11,2020,-2.68541275,53.53689575,1,2,0,0,1,30,1,3,6,3
E08000010,Wigan,11,2021,-2.68541275,53.53689575,3,3,0,2,1,30,1,3,6,3
E08000010,Wigan,11,2022,-2.68541275,53.53689575,0,0,0,0,0,30,1,3,6,3
E08000010,Wigan,11,2023,-2.68541275,53.53689575,2,2,0,0,2,30,1,3,6,3
E08000010,Wigan,11,2024,-2.68541275,53.53689575,0,0,0,0,0,30,1,3,6,3
E08000010,Wigan,12,2019,-2.6376893076923076,53.486094,2,3,0,0,2,30,1,6,6,3
E08000010,Wigan,12,2020,-2.6376893076923076,53.486094,2,2,0,0,2,30,1,6,6,3
