la_code,la_name,cluster_id,year,centroid_lon,centroid_lat,n_collisions,n_casualties,n_fatal,n_serious,n_slight,speed_limit,urban_or_rural,first_road_class,road_type,junction_detail
E06000041,Wokingham,1,2019,-0.9403440909090908,51.43454972727272,1,1,0,0,1,30,1,6,6,0
E06000041,Wokingham,1,2020,-0.9403440909090908,51.43454972727272,2,3,0,0,2,30,1,6,6,0
E06000041,Wokingham,1,2021,-0.9403440909090908,51.43454972727272,0,0,0,0,0,30,1,6,6,0
E06000041,Wokingham,1,2022,-0.9403440909090908,51.43454972727272,3,4,0,0,3,30,1,6,6,0
E06000041,Wokingham,1,2023,-0.9403440909090908,51.43454972727272,3,3,0,2,1,30,1,6,6,0
E06000041,Wokingham,1,2024,-0.9403440909090908,51.43454972727272,1,1,0,0,0,30,1,6,6,0
E06000041,Wokingham,1,2025,-0.9403440909090908,51.43454972727272,1,1,0,0,0,30,1,6,6,0
E06000041,Wokingham,2,2019,-0.896894,51.409738,1,2,0,1,0,60,2,4,6,0
E06000041,Wokingham,2,2020,-0.896894,51.409738,0,0,0,0,0,60,2,4,6,0
E06000041,Wokingham,2,2021,-0.896894,51.409738,0,0,0,0,0,60,2,4,6,0
E06000041,Wokingham,2,2022,-0.896894,51.409738,0,0,0,0,0,60,2,4,6,0
E06000041,Wokingham,2,2023,-0.896894,51.409738,0,0,0,0,0,60,2,4,6,0
E06000041,Wokingham,2,2024,-0.896894,51.409738,0,0,0,0,0,60,2,4,6,0
E06000041,Wokingham,2,2025,-0.896894,51.409738,1,1,0,0,0,60,2,4,6,0
E06000041,Wokingham,3,2019,-0.8032333333333334,51.37638666666667,2,3,0,0,2,30,1,6,6,0
E06000041,Wokingham,3,2020,-0.8032333333333334,51.37638666666667,0,0,0,0,0,30,1,6,6,0
E06000041,Wokingham,3,2021,-0.8032333333333334,51.37638666666667,1,1,0,0,1,30,1,6,6,0
E06000041,Wokingham,3,2022,-0.8032333333333334,51.37638666666667,0,0,0,0,0,30,1,6,6,0
E06000041,Wokingham,3,2023,-0.8032333333333334,51.37638666666667,0,0,0,0,0,30,1,6,6,0
E06000041,Wokingham,3,2024,-0.8032333333333334,51.37638666666667,2,2,0,0,0,30,1,6,6,0
E06000041,Wokingham,3,2025,-0.8032333333333334,51.37638666666667,1,2,0,0,0,30,1,6,6,0
E06000041,Wokingham,4,2019,-0.8213711428571429,51.41166328571428,4,4,0,2,2,30,1,3,6,3
E06000041,Wokingham,4,2020,-0.8213711428571429,51.41166328571428,1,1,0,0,1,30,1,3,6,3
E06000041,Wokingham,4,2021,-0.8213711428571429,51.41166328571428,5,5,0,1,4,30,1,3,6,3
