la_code,la_name,cluster_id,year,centroid_lon,centroid_lat,n_collisions,n_casualties,n_fatal,n_serious,n_slight,speed_limit,urban_or_rural,first_road_class,road_type,junction_detail
W06000006,Wrexham,1,2019,-2.937977,52.96158225,1,5,0,1,0,50,2,3,6,0
W06000006,Wrexham,1,2020,-2.937977,52.96158225,0,0,0,0,0,50,2,3,6,0
W06000006,Wrexham,1,2021,-2.937977,52.96158225,1,1,0,0,1,50,2,3,6,0
W06000006,Wrexham,1,2022,-2.937977,52.96158225,0,0,0,0,0,50,2,3,6,0
W06000006,Wrexham,1,2023,-2.937977,52.96158225,2,3,0,1,1,50,2,3,6,0
W06000006,Wrexham,1,2024,-2.937977,52.96158225,0,0,0,0,0,50,2,3,6,0
W06000006,Wrexham,2,2019,-3.030410333333333,53.026412666666666,2,3,0,0,2,30,2,3,1,1
W06000006,Wrexham,2,2020,-3.030410333333333,53.026412666666666,2,3,0,2,0,30,2,3,1,1
W06000006,Wrexham,2,2021,-3.030410333333333,53.026412666666666,2,6,0,0,2,30,2,3,1,1
W06000006,Wrexham,2,2022,-3.030410333333333,53.026412666666666,1,1,0,0,1,30,2,3,1,1
W06000006,Wrexham,2,2023,-3.030410333333333,53.026412666666666,2,2,0,2,0,30,2,3,1,1
W06000006,Wrexham,2,2024,-3.030410333333333,53.026412666666666,0,0,0,0,0,30,2,3,1,1
W06000006,Wrexham,3,2019,-2.99967475,53.06662,1,1,0,0,1,50,2,3,3,0
W06000006,Wrexham,3,2020,-2.99967475,53.06662,0,0,0,0,0,50,2,3,3,0
W06000006,Wrexham,3,2021,-2.99967475,53.06662,2,3,0,2,0,50,2,3,3,0
W06000006,Wrexham,3,2022,-2.99967475,53.06662,0,0,0,0,0,50,2,3,3,0
W06000006,Wrexham,3,2023,-2.99967475,53.06662,1,1,0,0,1,50,2,3,3,0
W06000006,Wrexham,3,2024,-2.99967475,53.06662,0,0,0,0,0,50,2,3,3,0
W06000006,Wrexham,4,2019,-3.0016985,53.0396895,2,2,0,0,2,30,1,4,6,3
W06000006,Wrexham,4,2020,-3.0016985,53.0396895,1,1,0,0,1,30,1,4,6,3
W06000006,Wrexham,4,2021,-3.0016985,53.0396895,1,2,0,1,0,30,1,4,6,3
W06000006,Wrexham,4,2022,-3.0016985,53.0396895,0,0,0,0,0,30,1,4,6,3
W06000006,Wrexham,4,2023,-3.0016985,53.0396895,2,2,0,0,2,30,1,4,6,3
W06000006,Wrexham,4,2024,-3.0016985,53.0396895,0,0,0,0,0,30,1,4,6,3
W06000006,Wrexham,5,2019,-2.9179135,53.039932,1,1,0,0,1,40,2,6,6,7
W06000006,Wrexham,5,2020,-2.9179135,53.039932,0,0,0,0,0,40,2,6,6,7
W06000006,Wrexham,5,2021,-2.9179135,53.039932,0,0,0,0,0,40,2,6,6,7
W06000006,Wrexham,5,2022,-2.9179135,53.039932,0,0,0,0,0,40,2,6,6,7
W06000006,Wrexham,5,2023,-2.9179135,53.039932,1,1,0,0,1,40,2,6,6,7
W06000006,Wrexham,5,2024,-2.9179135,53.039932,0,0,0,0,0,40,2,6,6,7
W06000006,Wrexham,6,2019,-2.948703,53.0734575,2,3,0,0,2,30,2,6,6,0
W06000006,Wrexham,6,2020,-2.948703,53.0734575,0,0,0,0,0,30,2,6,6,0
W06000006,Wrexham,6,2021,-2.948703,53.0734575,0,0,0,0,0,30,2,6,6,0
W06000006,Wrexham,6,2022,-2.948703,53.0734575,0,0,0,0,0,30,2,6,6,0
W06000006,Wrexham,6,2023,-2.948703,53.0734575,0,0,0,0,0,30,2,6,6,0
W06000006,Wrexham,6,2024,-2.948703,53.0734575,0,0,0,0,0,30,2,6,6,0
W06000006,Wrexham,7,2019,-3.078553,53.058453,1,1,0,0,1,30,2,3,6,3
W06000006,Wrexham,7,2020,-3.078553,53.058453,0,0,0,0,0,30,2,3,6,3
W06000006,Wrexham,7,2021,-3.078553,53.058453,0,0,0,0,0,30,2,3,6,3
W06000006,Wrexham,7,2022,-3.078553,53.058453,0,0,0,0,0,30,2,3,6,3
W06000006,Wrexham,7,2023,-3.078553,53.058453,0,0,0,0,0,30,2,3,6,3
W06000006,Wrexham,7,2024,-3.078553,53.058453,0,0,0,0,0,30,2,3,6,3
W06000006,Wrexham,8,2019,-2.9898557142857145,53.059874,1,1,0,0,1,30,1,6,6,0
W06000006,Wrexham,8,2020,-2.9898557142857145,53.059874,2,2,0,0,2,30,1,6,6,0
W06000006,Wrexham,8,2021,-2.9898557142857145,53.059874,2,4,0,1,1,30,1,6,6,0
W06000006,Wrexham,8,2022,-2.9898557142857145,53.059874,1,2,0,0,1,30,1,6,6,0
W06000006,Wrexham,8,2023,-2.9898557142857145,53.059874,1,1,0,0,1,30,1,6,6,0
W06000006,Wrexham,8,2024,-2.9898557142857145,53.059874,0,0,0,0,0,30,1,6,6,0
W06000006,Wrexham,9,2019,-2.9753088,53.0424194,2,2,0,0,2,30,1,6,6,3
W06000006,Wrexham,9,2020,-2.9753088,53.0424194,1,1,0,0,1,30,1,6,6,3
W06000006,Wrexham,9,2021,-2.9753088,53.0424194,2,2,0,0,2,30,1,6,6,3
